IB connected 127.0.0.1:4002 (PAPER)  accounts=['DUQ159823']  serverVersion=178
Error 10090, reqId 85: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900383305, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7620.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07620000', tradingClass='SPXW')
Error 10090, reqId 86: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900383060, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7620.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07620000', tradingClass='SPXW')
Error 10090, reqId 87: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900383325, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7630.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07630000', tradingClass='SPXW')
Error 10090, reqId 88: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900383080, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7630.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07630000', tradingClass='SPXW')
Error 10090, reqId 89: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907121689, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7635.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07635000', tradingClass='SPXW')
Error 10090, reqId 90: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907121104, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7635.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07635000', tradingClass='SPXW')
Error 10090, reqId 91: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900383354, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7640.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07640000', tradingClass='SPXW')
Error 10090, reqId 92: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900383091, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7640.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07640000', tradingClass='SPXW')
Error 10090, reqId 93: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907121731, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7645.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07645000', tradingClass='SPXW')
Error 10090, reqId 94: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907121138, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7645.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07645000', tradingClass='SPXW')
Error 10090, reqId 95: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=897222464, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7650.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07650000', tradingClass='SPXW')
