date,win,pnl_usd,exit,gex_M,cr_minus_open,cr_minus_open_atr,cr_minus_hvl,cr_minus_prevclose,gap,touch_bar,touch_min,morning_atr,approach_pts,approach_bars_up,q_momentum,q_volatility,q_option,open_above_hvl
2025-08-01,1,438,target,-89.2,-38.5,-2.43,105.0,-94.2,-55.8,2,10,15.88,2.5,0,2.0,3.0,0.0,1
2025-10-14,1,438,target,-70.7,-4.8,-0.31,100.0,-63.0,-58.2,0,0,15.25,0.0,0,3.0,4.0,0.0,1
2025-11-05,1,438,target,-8.2,30.8,2.75,175.0,26.0,-4.8,7,35,11.18,39.5,4,4.0,2.0,4.0,1
2025-11-10,0,-312,stop,-21.5,13.5,1.23,190.0,68.8,55.2,1,5,11.0,15.8,1,4.0,3.0,5.0,1
2025-11-18,1,438,target,-127.0,22.5,0.67,125.0,-20.8,-43.2,0,0,33.5,0.0,0,2.0,4.0,1.0,1
2025-12-19,1,438,target,-105.1,41.8,4.94,140.0,67.2,25.5,24,120,8.45,21.0,4,4.0,1.0,3.0,1
2026-01-02,1,438,target,-78.1,11.2,0.87,110.0,41.5,30.2,4,20,12.94,27.2,2,4.0,1.0,0.0,1
2026-01-20,1,438,target,-16.6,17.2,1.44,70.0,-87.0,-104.2,2,10,12.0,18.0,1,2.0,3.0,0.0,1
2026-01-21,1,438,target,-178.8,36.2,3.43,100.0,49.5,13.2,9,45,10.58,32.8,4,2.0,2.0,0.0,1
2026-02-04,0,-312,stop,-83.4,-10.2,-0.69,100.0,-2.8,7.5,0,0,14.75,0.0,0,2.0,3.0,0.0,1
2026-02-06,0,-312,stop,-208.7,32.8,0.9,80.0,73.2,40.5,1,5,36.5,38.8,1,4.0,3.0,3.0,1
2026-02-18,1,438,target,-91.9,15.2,1.02,100.0,27.2,12.0,2,10,15.0,27.5,1,2.0,4.0,1.0,1
2026-02-19,0,-312,stop,-63.4,18.2,1.29,100.0,-4.2,-22.5,5,25,14.2,32.0,3,2.0,4.0,1.0,1
2026-02-20,0,-312,stop,-101.0,36.2,2.52,100.0,10.8,-25.5,6,30,14.38,41.8,4,4.0,2.0,3.0,1
2026-02-23,0,-312,stop,-6.6,-69.0,-5.97,75.0,-89.0,-20.0,18,90,11.56,1.5,1,2.0,4.0,1.0,1
2026-02-24,0,-312,stop,-65.2,-8.5,-0.52,50.0,-19.0,-10.5,0,0,16.5,0.0,0,2.0,3.0,1.0,1
2026-05-20,0,-312,stop,-48.3,43.8,3.7,95.0,64.0,20.2,21,105,11.81,24.2,3,4.0,1.0,5.0,1
2026-06-09,1,438,target,-106.9,30.2,2.57,140.0,75.5,45.2,3,15,11.75,34.2,2,2.0,2.0,1.0,1
