ct_time,chain_rows,delta,verdict,live_state,spx,live_ts
14:43:21,3515,0,flat/delayed,live,7717.6,13:30:22
14:44:51,3515,0,flat/delayed,live,7717.6,13:30:22
14:46:21,3515,0,flat/delayed,live,7717.6,13:30:22
14:47:51,3515,0,flat/delayed,live,7717.6,13:30:22
14:49:21,3515,0,flat/delayed,live,7717.6,13:30:22
14:50:51,3515,0,flat/delayed,live,7717.6,13:30:22
14:52:21,3515,0,flat/delayed,live,7717.6,13:30:22
14:53:51,3515,0,flat/delayed,live,7717.6,13:30:22
14:55:21,3515,0,flat/delayed,live,7717.6,13:30:22
14:56:51,3515,0,flat/delayed,live,7717.6,13:30:22
14:58:21,3515,0,flat/delayed,live,7717.6,13:30:22
14:59:51,3515,0,flat/delayed,live,7717.6,13:30:22
15:01:21,3515,0,flat/delayed,live,7717.6,13:30:22
15:02:51,3515,0,flat/delayed,live,7717.6,13:30:22
15:04:21,3515,0,flat/delayed,live,7717.6,13:30:22
15:05:51,3515,0,flat/delayed,live,7717.6,13:30:22
