trade_id,strategy,sell,buy,worst_cross,mid,best,fill,pos,through_best,worse_than_cross,conservative
xsp_auto_20260825_084230,eodic_c,773C,776C,0.02,0.03,0.04,0.02,0.0,False,False,True
xsp_auto_20260825_084252,eodfly_p,766P,763P,0.29,0.305,0.32,0.28,-0.333,False,True,True
xsp_auto_20260825_084313,eodfly_c,766C,768C,1.05,1.3,1.55,1.15,0.2,False,False,True
xsp_auto_20260825_090642,openfly_p,767P,764P,0.66,0.68,0.7,0.7,1.0,False,False,False
xsp_auto_20260825_090720,openfly_c,767C,770C,0.82,0.845,0.87,0.82,0.0,False,False,True
xsp_auto_20260825_090742,gx_bps,765P,762P,0.24,0.25,0.26,0.23,-0.5,False,True,True
xsp_auto_20260825_090803,gx_bcs,766C,769C,1.23,1.33,1.43,1.24,0.05,False,False,True
xsp_auto_20260826_083028,eodic_p,760P,758P,0.01,0.025,0.04,0.03,0.667,False,False,False
xsp_auto_20260826_083315,eodfly_c,768C,770C,0.51,0.525,0.54,0.51,0.0,False,False,True
xsp_auto_20260826_083339,eodfly_p,768P,765P,1.03,1.095,1.16,1.03,0.0,False,False,True
xsp_auto_20260826_090549,openfly_p,768P,766P,0.43,0.45,0.47,0.45,0.5,False,False,True
xsp_auto_20260826_090613,openfly_c,768C,771C,1.01,1.03,1.05,1.01,0.0,False,False,True
xsp_auto_20260826_090646,gx_bcs,770C,772C,0.26,0.275,0.29,0.26,0.0,False,False,True
xsp_auto_20260827_083041,eodic_c,775C,778C,0.07,0.08,0.09,0.07,0.0,False,False,True
xsp_auto_20260827_083122,eodfly_p,768P,765P,0.59,0.61,0.63,0.58,-0.25,False,True,True
xsp_auto_20260827_083242,eodfly_c,768C,770C,1.06,1.135,1.21,1.04,-0.133,False,True,True
xsp_auto_20260827_090522,openic_p,764P,761P,0.04,0.055,0.07,0.03,-0.333,False,True,True
xsp_auto_20260827_090552,openfly_p,770P,768P,0.56,0.58,0.6,0.54,-0.5,False,True,True
xsp_auto_20260827_090905,gx_bps,768P,765P,0.3,0.315,0.33,0.3,0.0,False,False,True
xsp_auto_20260827_091012,gx_bcs,772C,775C,0.54,0.555,0.57,0.52,-0.667,False,True,True
xsp_auto_20260827_091109,openfly_c,770C,773C,1.2,1.22,1.24,1.24,1.0,False,False,False
xsp_auto_20260828_083044,eodic_p,766P,764P,0.07,0.085,0.1,0.08,0.333,False,False,True
xsp_auto_20260828_083142,eodic_c,780C,782C,0.03,0.05,0.07,0.04,0.25,False,False,True
xsp_auto_20260828_083205,eodfly_p,773P,770P,0.81,0.825,0.84,0.83,0.667,False,False,False
xsp_auto_20260828_083227,eodfly_c,773C,776C,1.28,1.295,1.31,1.3,0.667,False,False,False
xsp_auto_20260828_090522,openic_p,766P,764P,0.07,0.085,0.1,0.07,0.0,False,False,True
xsp_auto_20260828_090601,openic_c,780C,783C,0.01,0.02,0.03,0.01,0.0,False,False,True
xsp_auto_20260828_090638,openfly_p,774P,771P,1.18,1.235,1.29,1.26,0.727,False,False,False
xsp_auto_20260828_090735,openfly_c,774C,776C,0.59,0.605,0.62,0.66,2.333,True,False,False
xsp_auto_20260828_090756,gx_bps,770P,768P,0.28,0.295,0.31,0.27,-0.333,False,True,True
xsp_auto_20260828_090818,gx_bcs,775C,778C,0.46,0.48,0.5,0.48,0.5,False,False,True
xsp_auto_20260831_083122,eodic_p,764P,762P,0.12,0.14,0.16,0.13,0.25,False,False,True
xsp_auto_20260831_083206,eodfly_p,771P,768P,1.85,1.93,2.01,1.77,-0.5,False,True,True
xsp_auto_20260831_083342,eodfly_c,771C,774C,0.24,0.255,0.27,0.24,0.0,False,False,True
xsp_auto_20260831_083403,openic_p,762P,759P,0.06,0.075,0.09,0.08,0.667,False,False,False
xsp_auto_20260831_083447,openfly_p,769P,766P,1.39,1.42,1.45,1.27,-2.0,False,True,True
xsp_auto_20260831_083526,openfly_c,769C,772C,0.66,0.68,0.7,0.67,0.25,False,False,True
xsp_auto_20260831_083547,gx_bps,770P,768P,1.14,1.205,1.27,1.17,0.231,False,False,True
xsp_auto_20260831_083610,gx_bcs,775C,778C,0.01,0.025,0.04,0.01,0.0,False,False,True
xsp_auto_20260901_083038,eodic_p,761P,758P,0.43,0.465,0.5,0.43,-0.0,False,False,True
xsp_auto_20260901_083120,eodfly_p,768P,766P,1.17,1.675,2.18,1.16,-0.01,False,True,True
xsp_auto_20260901_083143,eodfly_c,768C,771C,0.08,0.095,0.11,0.09,0.333,False,False,True
xsp_auto_20260901_090550,openfly_p,764P,762P,0.56,0.58,0.6,0.54,-0.5,False,True,True
