entry,exp,adte,vix,bucket,spot,credit,pnl,coll,breach,yr
2010-02-10,2010-02-18,8.0,25.4,3 20-30,1068.15,193.12499999999997,185.12499999999997,4806.875,0,2010
2010-03-11,2010-03-18,6.96,18.06,2 15-20,1149.96,158.37500000000003,150.37500000000003,4841.625,0,2010
2010-03-25,2010-03-31,6.0,18.4,2 15-20,1165.82,157.5,149.5,4842.5,0,2010
2010-04-01,2010-04-08,7.0,17.47,2 15-20,1177.89,260.0,252.0,4740.0,0,2010
2010-05-10,2010-05-20,10.0,28.84,3 20-30,1159.59,318.99999999999994,-1027.000000000011,4681.0,1,2010
2010-06-09,2010-06-17,8.0,33.73,4 >30,1055.84,219.0,211.0,4781.0,0,2010
2010-06-23,2010-06-30,7.0,26.91,3 20-30,1091.73,139.0,131.0,4861.0,0,2010
2010-07-08,2010-07-15,7.0,25.71,3 20-30,1070.07,224.5,216.5,4775.5,0,2010
2010-07-15,2010-07-22,7.0,25.14,3 20-30,1096.2,224.125,216.125,4775.875,0,2010
2010-07-22,2010-07-29,7.0,24.63,3 20-30,1093.55,276.25,268.25,4723.75,0,2010
2010-07-29,2010-08-05,7.0,24.13,3 20-30,1101.61,238.875,230.875,4761.125,0,2010
2010-08-05,2010-08-12,7.0,22.1,3 20-30,1125.46,141.0,133.0,4859.0,0,2010
2010-08-12,2010-08-19,7.0,25.73,3 20-30,1083.51,241.25000000000006,233.25000000000006,4758.75,0,2010
2010-08-19,2010-08-26,7.0,26.44,3 20-30,1075.37,335.0,327.0,4665.0,0,2010
2010-09-02,2010-09-09,7.0,23.19,3 20-30,1089.89,189.75000000000003,181.75000000000003,4810.25,0,2010
2010-09-10,2010-09-16,6.0,21.99,3 20-30,1109.54,111.49999999999997,103.49999999999997,4888.5,0,2010
2010-09-17,2010-09-23,6.0,22.01,3 20-30,1125.7,105.87499999999999,97.87499999999999,4894.125,0,2010
2010-09-24,2010-09-30,6.0,21.71,3 20-30,1148.25,127.49999999999999,119.49999999999999,5872.5,0,2010
2010-10-01,2010-10-07,6.0,22.5,3 20-30,1146.1,139.0,131.0,4861.0,0,2010
2010-10-08,2010-10-14,6.0,20.71,3 20-30,1164.69,139.125,131.125,4860.875,0,2010
2010-10-15,2010-10-21,6.0,19.03,2 15-20,1176.13,209.49999999999997,201.49999999999997,4790.5,0,2010
