date,strat,right,K,spx_close,credit,settle_liab,settle_gross,realized,stopped,close_reason,settle_net
2026-08-04,gx_bcs,C,7630.0,7736.52001953125,20.099999999999998,25.0,-490.0,-71.3,True,level ACCEPTED: spot 7671 held above the,-492.6
2026-08-05,gx_bcs,C,7750.0,7723.5498046875,14.999999999999998,0.0,1500.0,108.7,True,level ACCEPTED: spot 7764 held above the,1497.4
2026-08-06,gx_bps,P,7700.0,7709.9599609375,2.35,0.0,235.0,232.4,False,expired,232.4
2026-08-06,gx_bcs,C,7800.0,7709.9599609375,0.45,0.0,45.0,42.4,False,expired,42.400000000000006
2026-08-10,gx_bps,P,7730.0,7753.10986328125,1.5,0.0,150.0,147.4,False,expired,147.4
2026-08-10,gx_bcs,C,7775.0,7753.10986328125,3.1,0.0,310.0,307.4,False,expired,307.4
2026-08-11,gx_bps,P,7700.0,7728.2001953125,0.65,0.0,65.0,62.4,False,expired,62.400000000000006
2026-08-11,gx_bcs,C,7775.0,7728.2001953125,3.85,0.0,385.0,382.4,False,expired,382.4
2026-08-12,gx_bcs,C,7800.0,7748.5,0.45,0.0,45.0,42.4,False,expired,42.400000000000006
2026-08-13,gx_bps,P,7725.0,7798.990234375,0.85,0.0,85.0,82.4,False,expired,82.4
2026-08-13,gx_bcs,C,7750.0,7798.990234375,16.6,25.0,-840.0,-241.3,True,level ACCEPTED: spot 7781 held above the,-842.6
2026-08-14,gx_bcs,C,7800.0,7785.759765625,11.3,0.0,1130.0,173.7,True,level ACCEPTED: spot 7804 held above the,1127.4
2026-08-17,gx_bps,P,7775.0,7745.06005859375,4.95,25.0,-2005.0,-81.3,True,level ACCEPTED: spot 7774 held below the,-2007.6
2026-08-18,gx_bps,P,7725.0,7691.759765625,12.7,25.0,-1230.0,-101.3,True,level ACCEPTED: spot 7707 held below the,-1232.6
2026-08-19,gx_bps,P,7630.0,7707.97998046875,0.1,0.0,10.0,7.4,False,expired,7.400000000000006
2026-08-19,gx_bcs,C,7725.0,7707.97998046875,5.85,0.0,585.0,582.4,False,expired,582.4
2026-08-20,gx_bps,P,7700.0,7641.16015625,12.0,25.0,-1300.0,238.7,True,level ACCEPTED: spot 7695 held below the,-1302.6
2026-08-20,gx_bcs,C,7755.0,7641.16015625,0.15,0.0,15.0,12.4,False,expired,12.400000000000006
2026-08-21,gx_bps,P,7640.0,7674.3701171875,2.75,0.0,275.0,272.4,False,expired,272.4
2026-08-21,gx_bcs,C,7700.0,7674.3701171875,2.05,0.0,205.0,202.4,False,expired,202.4
2026-08-24,gx_bps,P,7630.0,7652.85986328125,2.8,0.0,280.0,277.4,False,expired,277.4
2026-08-25,gx_bps,P,7650.0,7677.27978515625,2.25,0.0,225.0,222.4,False,expired,222.4
2026-08-25,gx_bcs,C,7665.0,7677.27978515625,10.1,12.28,-217.98,-21.3,True,level ACCEPTED: spot 7671 held above the,-220.57999999999998
2026-08-26,gx_bcs,C,7700.0,7675.7001953125,2.65,0.0,265.0,262.4,False,expired,262.4
2026-08-27,gx_bps,P,7675.0,7730.990234375,3.2,0.0,320.0,317.4,False,expired,317.4
2026-08-27,gx_bcs,C,7725.0,7730.990234375,3.4499999999999997,5.99,-254.02,-486.3,True,level ACCEPTED: spot 7727 held above the,-256.62
2026-08-28,gx_bps,P,7700.0,7711.759765625,3.9,0.0,390.0,387.4,False,expired,387.4
2026-08-28,gx_bcs,C,7750.0,7711.759765625,4.75,0.0,475.0,-946.3,True,level ACCEPTED: spot 7763 held above the,472.4
2026-08-31,gx_bps,P,7700.0,7686.14013671875,14.5,13.86,64.01,-111.3,True,level ACCEPTED: spot 7678 held below the,61.41000000000001
2026-08-31,gx_bcs,C,7750.0,7686.14013671875,0.15,0.0,15.0,12.4,False,expired,12.400000000000006
2026-09-01,gx_bps,P,7675.0,7631.47021484375,19.1,25.0,-590.0,238.7,True,level ACCEPTED: spot 7651 held below the,-592.6
2026-09-01,gx_bcs,C,7715.0,7631.47021484375,0.1,0.0,10.0,7.4,False,expired,7.400000000000006
2026-09-02,gx_bcs,C,7700.0,7666.60009765625,0.35,0.0,35.0,32.4,False,expired,32.400000000000006
2026-09-03,gx_bps,P,7650.0,7747.7099609375,0.8,0.0,80.0,77.4,False,expired,77.4
2026-09-03,gx_bcs,C,7675.0,7747.7099609375,18.4,25.0,-660.0,-271.3,True,level ACCEPTED: spot 7714 held above the,-662.6
