day,n_marks,intraday_trough,peak_to_trough_dd,day_close_mtm
2026-07-16,36,-6425,7260,-530
2026-07-29,170,-3310,5135,2578
2026-08-24,134,-3253,1068,-1819
2026-08-28,147,-2494,2659,-684
2026-07-24,161,-2420,5798,-2420
2026-07-17,189,-2400,1880,5155
2026-08-04,179,-2232,1810,-564
2026-08-13,177,-1981,952,1240
2026-08-05,155,-1844,1159,328
2026-07-20,155,-1820,1785,-602
2026-07-30,156,-1762,2558,-308
2026-08-25,140,-1486,628,-346
2026-08-06,173,-1463,1684,69
2026-07-23,156,-1415,2958,592
2026-08-31,137,-1374,582,1248
2026-08-20,177,-1258,1369,-1178
2026-07-27,169,-1242,3668,-628
2026-08-21,163,-1210,970,-132
2026-09-03,16,-1181,478,-866
2026-08-26,178,-1076,830,-125
2026-09-02,149,-853,275,2032
2026-08-17,41,-845,363,931
2026-08-27,169,-768,486,1968
2026-07-31,88,-690,1920,-132
2026-07-22,38,-630,1088,-32
2026-07-14,25,-602,895,392
2026-07-15,79,-542,1692,-448
2026-08-03,156,-415,550,-255
2026-07-28,173,-400,2220,342
2026-08-14,180,-393,160,1194
2026-08-07,176,-373,722,2992
2026-08-18,172,-299,292,2523
2026-09-01,160,-233,998,764
2026-07-21,153,-129,1170,694
2026-08-12,177,-58,680,1931
2026-08-19,19,-14,365,1319
2026-08-11,177,-13,368,2170
