trade_id,strategy_id,source,symbol,entry_dt,exit_dt,dte,structure,legs,credit,exit_cost,fill_model,slippage,pnl,roc,collateral,hold_days,win,vix,vix_rank,er10,adx,gex_regime,hvl_side,dow,event,commentary,grade,max_gain,max_loss,pop,close_reason,entry_valid,entry_lag_min,feed_age_s,entry_note,day,side
auto_20260813_083216,eodfly_c,auto_trigger,SPXW,2026-08-13 08:32:00,2026-08-13 08:44,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""C"", ""strike"": 7775.0, ""expiry"": ""20260813"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""C"", ""strike"": 7750.0, ""expiry"": ""20260813"", ""qty"": 1}]",15.0,19.1,paper_fill,,-411.3000000000001,-0.4113000000000001,1000.0,0.0,False,,,,,unknown,,Thu,,"AUTO-TRIGGER [eodfly_c] fired: reached 08:30, regime unknown. credit 15.00 = 60% of width, short -17pt ITM. Projected C premarket. Path —.",B,1500.0,1000.0,0.41,level ACCEPTED: spot 7781 held above the 7750 short strike for 10min (>10) — the wall we sold did not hold,True,2.3,2.0,ok,2026-08-13,CALL
auto_20260813_083327,openfly_c,auto_trigger,SPXW,2026-08-13 08:33:00,2026-08-13 08:44,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""C"", ""strike"": 7790.0, ""expiry"": ""20260813"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""C"", ""strike"": 7765.0, ""expiry"": ""20260813"", ""qty"": 1}]",10.5,13.7,paper_fill,,-321.29999999999995,-0.2215862068965517,1450.0,0.0,False,,,,,unknown,,Thu,,"AUTO-TRIGGER [openfly_c] fired: reached 08:30, regime unknown. credit 10.50 = 42% of width, short -2pt ITM. Projected C premarket. Path —.",C,1050.0,1450.0,0.49,level ACCEPTED: spot 7781 held above the 7765 short strike for 10min (>10) — the wall we sold did not hold,True,3.5,3.0,ok,2026-08-13,CALL
auto_20260814_083129,eodfly_p,auto_trigger,SPXW,2026-08-14 08:31:00,2026-08-14 09:30,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""P"", ""strike"": 7775.0, ""expiry"": ""20260814"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""P"", ""strike"": 7800.0, ""expiry"": ""20260814"", ""qty"": 1}]",6.7,9.2,paper_fill,,-251.29999999999993,-0.13732240437158466,1830.0,0.0,False,,,,,unknown,,Fri,,"AUTO-TRIGGER [eodfly_p] fired: reached 08:30, regime unknown. credit 6.70 = 27% of width, short 4pt OTM. Projected C premarket. Path —.",C,670.0,1830.0,0.52,level ACCEPTED: spot 7794 held below the 7800 short strike for 10min (>10) — the wall we sold did not hold,True,1.5,3.0,ok,2026-08-14,PUT
auto_20260813_083408,gx_bcs,auto_trigger,SPXW,2026-08-13 08:34:00,2026-08-13 08:44,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""C"", ""strike"": 7775.0, ""expiry"": ""20260813"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""C"", ""strike"": 7750.0, ""expiry"": ""20260813"", ""qty"": 1}]",16.6,19.0,paper_fill,,-241.29999999999987,-0.28726190476190466,839.9999999999999,0.0,False,,,,,unknown,,Thu,,"AUTO-TRIGGER [gx_bcs] fired: reached 08:30, regime unknown. credit 16.60 = 66% of width, short -17pt ITM. Projected C premarket. Path —.",B,1660.0,840.0,0.41,level ACCEPTED: spot 7781 held above the 7750 short strike for 10min (>10) — the wall we sold did not hold,True,4.1,5.0,ok,2026-08-13,PUT
auto_20260811_083142,eodfly_p,auto_trigger,SPXW,2026-08-11 08:31:00,2026-08-11 10:17,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""P"", ""strike"": 7730.0, ""expiry"": ""20260811"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""P"", ""strike"": 7755.0, ""expiry"": ""20260811"", ""qty"": 1}]",6.6,8.9,paper_fill,,-231.30000000000007,-0.1257065217391305,1839.9999999999998,0.0,False,,,,,unknown,,Tue,,"AUTO-TRIGGER [eodfly_p] fired: reached 08:30, regime unknown. credit 6.60 = 26% of width, short 8pt OTM. Projected C premarket. Path —.",C,660.0,1840.0,0.54,level ACCEPTED: spot 7749 held below the 7755 short strike for 10min (>10) — the wall we sold did not hold,True,1.7,3.0,ok,2026-08-11,PUT
auto_20260814_090604,openfly_p,auto_trigger,SPXW,2026-08-14 09:06:00,2026-08-14 09:17,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""P"", ""strike"": 7785.0, ""expiry"": ""20260814"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""P"", ""strike"": 7810.0, ""expiry"": ""20260814"", ""qty"": 1}]",7.05,9.3,paper_fill,,-226.3000000000001,-0.12607242339832875,1795.0,0.0,False,,,,,unknown,,Fri,,"AUTO-TRIGGER [openfly_p] fired: reached 09:05, regime unknown. credit 7.05 = 28% of width, short -2pt ITM. Projected C premarket. Path —.",C,705.0,1795.0,0.49,level ACCEPTED: spot 7804 held below the 7810 short strike for 10min (>10) — the wall we sold did not hold,True,1.1,2.0,ok,2026-08-14,PUT
auto_20260810_090158,eodfly_c,auto_trigger,SPXW,2026-08-10 09:01:00,2026-08-10 09:17,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""C"", ""strike"": 7785.0, ""expiry"": ""20260810"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""C"", ""strike"": 7760.0, ""expiry"": ""20260810"", ""qty"": 1}]",7.9,9.9,paper_fill,,-201.3,-0.11771929824561403,1710.0000000000002,0.0,False,,,,,unknown,,Mon,,"AUTO-TRIGGER [eodfly_c] fired: reached 08:30, regime unknown. credit 7.90 = 32% of width, short 2pt OTM. Projected C premarket. Path —.",C,790.0,1710.0,0.51,level ACCEPTED: spot 7765 held above the 7760 short strike for 10min (>10) — the wall we sold did not hold,True,32.0,4.0,late fill +32min (fixed strike; fill only),2026-08-10,CALL
auto_20260810_090308,openfly_c,auto_trigger,SPXW,2026-08-10 09:03:00,2026-08-10 09:17,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""C"", ""strike"": 7785.0, ""expiry"": ""20260810"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""C"", ""strike"": 7760.0, ""expiry"": ""20260810"", ""qty"": 1}]",7.9,9.65,paper_fill,,-176.3,-0.10309941520467836,1710.0000000000002,0.0,False,,,,,unknown,,Mon,,"AUTO-TRIGGER [openfly_c] fired: reached 08:30, regime unknown. credit 7.90 = 32% of width, short 2pt OTM. Projected C premarket. Path —.",C,790.0,1710.0,0.51,level ACCEPTED: spot 7765 held above the 7760 short strike for 10min (>10) — the wall we sold did not hold,True,33.1,4.0,late fill +33min (fixed strike; fill only),2026-08-10,CALL
auto_20260812_090624,openfly_c,auto_trigger,SPXW,2026-08-12 09:06:00,2026-08-12 09:17,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""C"", ""strike"": 7765.0, ""expiry"": ""20260812"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""C"", ""strike"": 7740.0, ""expiry"": ""20260812"", ""qty"": 1}]",11.0,11.6,paper_fill,,-61.29999999999996,-0.04378571428571426,1400.0,0.0,False,,,,,unknown,,Wed,,"AUTO-TRIGGER [openfly_c] fired: reached 09:05, regime unknown. credit 11.00 = 44% of width, short -2pt ITM. Projected C premarket. Path —.",C,1100.0,1400.0,0.49,level ACCEPTED: spot 7748 held above the 7740 short strike for 10min (>10) — the wall we sold did not hold,True,1.4,5.0,ok,2026-08-12,CALL
auto_20260811_083254,openfly_p,auto_trigger,SPXW,2026-08-11 08:32:00,2026-08-11 08:44,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""P"", ""strike"": 7740.0, ""expiry"": ""20260811"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""P"", ""strike"": 7765.0, ""expiry"": ""20260811"", ""qty"": 1}]",10.1,10.5,paper_fill,,-41.30000000000003,-0.02771812080536915,1490.0,0.0,False,,,,,unknown,,Tue,,"AUTO-TRIGGER [openfly_p] fired: reached 08:30, regime unknown. credit 10.10 = 40% of width, short -2pt ITM. Projected C premarket. Path —.",C,1010.0,1490.0,0.49,level ACCEPTED: spot 7756 held below the 7765 short strike for 10min (>10) — the wall we sold did not hold,True,2.9,5.0,ok,2026-08-11,PUT
