ts_et,strike,side,bid,ask
15:59:08,7435.0,buy,31.2,31.6
15:59:08,7385.0,sell,23.2,23.6
15:59:13,7435.0,buy,31.0,31.4
15:59:13,7385.0,sell,23.1,23.4
15:59:18,7435.0,buy,31.4,31.8
15:59:18,7385.0,sell,23.4,23.7
15:59:23,7435.0,buy,31.2,31.6
15:59:23,7385.0,sell,23.2,23.6
15:59:28,7435.0,buy,31.1,31.6
15:59:28,7385.0,sell,23.0,23.4
15:59:33,7435.0,buy,30.8,31.2
15:59:33,7385.0,sell,22.8,23.2
15:59:38,7435.0,buy,30.8,31.2
15:59:38,7385.0,sell,22.9,23.2
15:59:43,7435.0,buy,31.0,31.4
15:59:43,7385.0,sell,23.0,23.4
15:59:48,7435.0,buy,31.4,32.0
15:59:48,7385.0,sell,23.4,23.8
15:59:53,7435.0,buy,31.8,32.3
15:59:53,7385.0,sell,23.6,24.2
15:59:58,7435.0,buy,31.8,32.2
15:59:58,7385.0,sell,23.6,24.0
16:00:03,7435.0,buy,31.6,32.0
16:00:03,7385.0,sell,23.4,24.0
16:00:08,7435.0,buy,31.9,32.4
16:00:08,7385.0,sell,23.8,24.1
16:00:13,7435.0,buy,31.8,32.2
16:00:13,7385.0,sell,23.6,24.0
16:00:18,7435.0,buy,32.0,32.4
16:00:18,7385.0,sell,23.8,24.2
16:00:23,7435.0,buy,32.0,32.4
16:00:23,7385.0,sell,23.9,24.2
16:00:28,7435.0,buy,32.2,32.6
16:00:28,7385.0,sell,24.0,24.3
16:00:33,7435.0,buy,32.2,32.6
16:00:33,7385.0,sell,24.0,24.4
16:00:38,7435.0,buy,32.2,32.6
16:00:38,7385.0,sell,24.0,24.3
16:00:43,7435.0,buy,32.1,32.4
16:00:43,7385.0,sell,23.8,24.2
16:00:48,7435.0,buy,32.0,32.3
16:00:48,7385.0,sell,23.8,24.1
16:00:53,7435.0,buy,32.2,32.5
16:00:53,7385.0,sell,23.9,24.2
16:00:58,7435.0,buy,32.2,32.5
16:00:58,7385.0,sell,23.9,24.3
16:01:03,7435.0,buy,32.0,32.5
16:01:03,7385.0,sell,23.9,24.2
16:01:08,7435.0,buy,32.3,32.6
16:01:08,7385.0,sell,24.0,24.3
16:01:13,7435.0,buy,32.2,32.7
16:01:13,7385.0,sell,24.1,24.4
16:01:18,7435.0,buy,32.2,32.5
16:01:18,7385.0,sell,23.9,24.3
16:01:23,7435.0,buy,31.8,32.3
16:01:23,7385.0,sell,23.7,24.1
16:01:28,7435.0,buy,31.8,32.2
16:01:28,7385.0,sell,23.6,24.0
16:01:33,7435.0,buy,31.9,32.2
16:01:33,7385.0,sell,23.7,24.0
16:01:38,7435.0,buy,31.7,32.2
16:01:38,7385.0,sell,23.6,23.9
16:01:43,7435.0,buy,32.0,32.3
16:01:43,7385.0,sell,23.8,24.2
16:01:48,7435.0,buy,31.8,32.2
16:01:48,7385.0,sell,23.7,24.0
16:01:53,7435.0,buy,31.8,32.2
16:01:53,7385.0,sell,23.6,24.0
16:01:58,7435.0,buy,31.8,32.2
16:01:58,7385.0,sell,23.6,24.0
16:02:03,7435.0,buy,32.0,32.3
16:02:03,7385.0,sell,23.8,24.1
16:02:08,7435.0,buy,32.0,32.3
16:02:08,7385.0,sell,23.8,24.1
