ts_et,strike,side,bid,ask
15:59:06,7325.0,sell,46.0,46.4
15:59:06,7225.0,buy,28.7,29.2
15:59:11,7325.0,sell,46.6,47.1
15:59:11,7225.0,buy,29.1,29.5
15:59:16,7325.0,sell,46.5,46.9
15:59:16,7225.0,buy,29.0,29.4
15:59:21,7325.0,sell,46.2,46.7
15:59:21,7225.0,buy,28.9,29.2
15:59:26,7325.0,sell,46.0,46.5
15:59:26,7225.0,buy,28.7,29.1
15:59:31,7325.0,sell,45.3,46.0
15:59:31,7225.0,buy,28.2,28.8
15:59:36,7325.0,sell,45.2,45.7
15:59:36,7225.0,buy,28.2,28.5
15:59:41,7325.0,sell,45.8,46.5
15:59:41,7225.0,buy,28.6,29.0
15:59:46,7325.0,sell,46.2,46.7
15:59:46,7225.0,buy,28.9,29.3
15:59:51,7325.0,sell,45.8,46.4
15:59:51,7225.0,buy,28.5,29.1
15:59:56,7325.0,sell,45.8,46.3
15:59:56,7225.0,buy,28.6,29.0
16:00:01,7325.0,sell,44.0,47.5
16:00:01,7225.0,buy,27.8,28.6
16:00:06,7325.0,sell,44.6,45.2
16:00:06,7225.0,buy,27.8,28.2
16:00:11,7325.0,sell,44.0,44.8
16:00:11,7225.0,buy,27.4,27.8
16:00:16,7325.0,sell,44.4,44.8
16:00:16,7225.0,buy,27.6,28.1
16:00:21,7325.0,sell,42.9,43.8
16:00:21,7225.0,buy,26.6,27.4
16:00:26,7325.0,sell,43.4,44.0
16:00:26,7225.0,buy,27.0,27.5
16:00:31,7325.0,sell,44.0,44.6
16:00:31,7225.0,buy,27.4,27.9
16:00:36,7325.0,sell,44.0,44.4
16:00:36,7225.0,buy,27.4,27.8
16:00:41,7325.0,sell,44.0,44.4
16:00:41,7225.0,buy,27.4,27.8
16:00:46,7325.0,sell,43.8,44.3
16:00:46,7225.0,buy,27.3,27.8
16:00:51,7325.0,sell,43.8,44.2
16:00:51,7225.0,buy,27.3,27.7
16:00:56,7325.0,sell,43.7,44.1
16:00:56,7225.0,buy,27.2,27.6
16:01:01,7325.0,sell,43.6,44.1
16:01:01,7225.0,buy,27.2,27.6
16:01:06,7325.0,sell,43.9,44.4
16:01:06,7225.0,buy,27.4,27.8
16:01:11,7325.0,sell,44.0,44.4
16:01:11,7225.0,buy,27.5,27.8
16:01:16,7325.0,sell,44.3,44.7
16:01:16,7225.0,buy,27.6,28.0
16:01:21,7325.0,sell,44.4,44.8
16:01:21,7225.0,buy,27.7,28.1
16:01:26,7325.0,sell,44.4,44.8
16:01:26,7225.0,buy,27.7,28.0
16:01:31,7325.0,sell,44.5,44.8
16:01:31,7225.0,buy,27.8,28.1
16:01:36,7325.0,sell,44.5,44.9
16:01:36,7225.0,buy,27.8,28.1
16:01:41,7325.0,sell,44.6,45.0
16:01:41,7225.0,buy,27.9,28.2
16:01:46,7325.0,sell,44.2,44.6
16:01:46,7225.0,buy,27.6,28.0
16:01:51,7325.0,sell,44.4,44.8
16:01:51,7225.0,buy,27.8,28.1
16:01:56,7325.0,sell,44.4,44.9
16:01:56,7225.0,buy,27.8,28.2
16:02:01,7325.0,sell,44.7,45.1
16:02:01,7225.0,buy,27.8,28.3
16:02:06,7325.0,sell,44.7,45.1
