date,n,trough,trough_ct,crossed_warn,warn_ct,warn_fill,crossed_stop,stop_ct,stop_fill,end_pnl,would_help,day_swing,mid_event,vix,updated_ct
2026-08-06,10,-1160,12:01,False,,,False,,,-387,n/a (never triggered),1565,,15.3,14:43:08
2026-08-07,8,-375,10:13,False,,,False,,,1365,n/a (never triggered),1755,,14.9,14:43:08
2026-08-10,,,,False,,,False,,,284,no marks,,,,14:43:08
2026-08-11,9,-30,09:32,False,,,False,,,969,n/a (never triggered),1008,,15.3,14:43:08
2026-08-12,9,18,10:35,False,,,False,,,1229,n/a (never triggered),1252,,14.4,14:43:08
2026-08-13,9,-1008,09:41,False,,,False,,,124,n/a (never triggered),978,,14.6,14:43:08
2026-08-14,8,-78,09:32,False,,,False,,,434,n/a (never triggered),658,,14.3,14:43:08
2026-08-17,7,-408,09:34,False,,,False,,,1030,n/a (never triggered),1325,,15.2,14:43:08
2026-08-18,8,-125,09:34,False,,,False,,,1167,n/a (never triggered),1540,,15.8,14:43:08
2026-08-19,9,-48,09:50,False,,,False,,,2023,n/a (never triggered),1332,FOMC Minutes 14:00 ET,15.2,14:43:08
2026-08-20,9,-18,09:32,False,,,False,,,451,n/a (never triggered),770,,16.0,14:43:08
2026-08-21,10,-88,11:53,False,,,False,,,746,n/a (never triggered),778,,15.2,14:43:08
2026-08-24,7,-998,12:22,False,,,False,,,-500,n/a (never triggered),995,,15.7,14:43:08
2026-08-25,8,-275,10:30,False,,,False,,,254,n/a (never triggered),515,,15.5,14:43:08
2026-08-26,6,-638,15:04,False,,,False,,,-425,n/a (never triggered),742,,15.4,14:43:08
2026-08-27,8,-465,10:08,False,,,False,,,497,n/a (never triggered),982,,14.5,14:43:08
2026-08-28,10,-2222,13:02,True,12:22,-2078,False,,,-1345,n/a (never triggered),2500,,14.4,14:43:09
2026-08-31,9,-680,09:46,False,,,False,,,299,n/a (never triggered),1015,,15.0,14:43:09
2026-09-01,8,-285,14:47,False,,,False,,,254,n/a (never triggered),1030,,16.4,14:43:09
2026-09-02,8,-75,09:46,False,,,False,,,590,n/a (never triggered),730,Fed Beige Book 14:00 ET,15.1,14:43:09
2026-09-03,9,-1800,11:31,False,,,False,,,-1407,n/a (never triggered),1820,,14.3,14:43:09
2026-09-04,10,18,09:32,False,,,False,,,1564,n/a (never triggered),1618,,14.1,14:43:09
2026-09-08,8,-802,09:44,False,,,False,,,275,n/a (never triggered),1212,,15.6,15:11:25
2026-09-09,9,-118,09:34,False,,,False,,,1128,n/a (never triggered),1260,,16.2,15:11:21
2026-09-10,8,-162,09:34,False,,,False,,,290,n/a (never triggered),452,,17.9,15:11:20
2026-09-11,7,-538,10:29,False,,,False,,,320,n/a (never triggered),858,,15.8,15:11:21
