Error 200, reqId 26: No security definition has been found for the request, contract: Option(symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7010.0, right='P', exchange='SMART', tradingClass='SPXW')
Error 200, reqId 27: No security definition has been found for the request, contract: Option(symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=6990.0, right='P', exchange='SMART', tradingClass='SPXW')
Error 200, reqId 28: No security definition has been found for the request, contract: Option(symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=6970.0, right='P', exchange='SMART', tradingClass='SPXW')
Error 200, reqId 30: No security definition has been found for the request, contract: Option(symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=6930.0, right='P', exchange='SMART', tradingClass='SPXW')
Error 200, reqId 31: No security definition has been found for the request, contract: Option(symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=6910.0, right='P', exchange='SMART', tradingClass='SPXW')
Unknown contract: Option(symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7010.0, right='P', exchange='SMART', tradingClass='SPXW')
Unknown contract: Option(symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=6990.0, right='P', exchange='SMART', tradingClass='SPXW')
Unknown contract: Option(symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=6970.0, right='P', exchange='SMART', tradingClass='SPXW')
Unknown contract: Option(symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=6930.0, right='P', exchange='SMART', tradingClass='SPXW')
Unknown contract: Option(symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=6910.0, right='P', exchange='SMART', tradingClass='SPXW')
Error 10090, reqId 32: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=899495846, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7410.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07410000', tradingClass='SPXW')
Error 10090, reqId 33: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=899495824, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7390.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07390000', tradingClass='SPXW')
Error 10090, reqId 34: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=899495786, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7370.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07370000', tradingClass='SPXW')
Error 10090, reqId 35: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=898069204, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7350.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07350000', tradingClass='SPXW')
Error 10090, reqId 36: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=901395773, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7330.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07330000', tradingClass='SPXW')
Error 10090, reqId 37: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=901395747, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7310.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07310000', tradingClass='SPXW')
Error 10090, reqId 38: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=901395728, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7290.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07290000', tradingClass='SPXW')
Error 10090, reqId 39: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=901395706, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7270.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07270000', tradingClass='SPXW')
Error 10090, reqId 40: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=898069115, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7250.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07250000', tradingClass='SPXW')
Error 10090, reqId 41: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=902728071, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7230.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07230000', tradingClass='SPXW')
Error 10090, reqId 42: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=903249245, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7210.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07210000', tradingClass='SPXW')
Error 10090, reqId 43: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=903249240, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7190.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07190000', tradingClass='SPXW')
Error 10090, reqId 44: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=903249234, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7170.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07170000', tradingClass='SPXW')
Error 10090, reqId 45: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=898069040, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7150.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07150000', tradingClass='SPXW')
Error 10090, reqId 46: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=904434672, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7130.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07130000', tradingClass='SPXW')
Error 10090, reqId 47: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=904815099, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7110.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07110000', tradingClass='SPXW')
Error 10090, reqId 48: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=904815062, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7090.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07090000', tradingClass='SPXW')
Error 10090, reqId 49: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=904815005, symbol='SPX', lastTradeDateOrContractMonth='20260811', strike=7070.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260811P07070000', tradingClass='SPXW')
