date,r2,td_pw,td_cw,gl_pw,gl_cw,pub_pw,pub_cw,dpw_corr,dcw_corr,dpw_pub,dcw_pub
2026-05-13,0.3253294641069041,7350.0,7450.0,7365.0,7425.0,7375.0,7450.0,15.0,25.0,25.0,0.0
2026-05-14,0.5863698153717952,7365.0,7500.0,7335.0,7500.0,7400.0,7500.0,30.0,0.0,35.0,0.0
2026-05-15,0.7017315833797646,7375.0,7560.0,7375.0,7560.0,7500.0,7525.0,0.0,0.0,125.0,35.0
2026-05-18,0.19077026643892403,7300.0,7450.0,7350.0,7475.0,7350.0,7500.0,50.0,25.0,50.0,50.0
2026-05-19,0.981095361898373,7360.0,7500.0,7360.0,7500.0,7400.0,7425.0,0.0,0.0,40.0,75.0
2026-05-20,0.9942926831046517,7340.0,7450.0,7340.0,7450.0,7340.0,7400.0,0.0,0.0,0.0,50.0
2026-05-21,0.94751312206772,7375.0,7435.0,7375.0,7475.0,7400.0,7475.0,0.0,40.0,25.0,40.0
2026-05-22,0.994687749533953,7300.0,7500.0,7300.0,7500.0,7400.0,7500.0,0.0,0.0,100.0,0.0
2026-05-26,0.9905102717603597,7375.0,7500.0,7375.0,7500.0,7375.0,7500.0,0.0,0.0,0.0,0.0
2026-05-27,0.9892825732341513,7450.0,7530.0,7450.0,7530.0,7450.0,7530.0,0.0,0.0,0.0,0.0
2026-05-28,0.9679028892934073,7475.0,7530.0,7475.0,7530.0,7475.0,7530.0,0.0,0.0,0.0,0.0
2026-05-29,0.9487495189534048,7485.0,7600.0,7485.0,7600.0,7550.0,7600.0,0.0,0.0,65.0,0.0
2026-06-01,0.9854162161406713,7475.0,7600.0,7475.0,7600.0,7550.0,7600.0,0.0,0.0,75.0,0.0
2026-06-02,0.9609940496773163,7550.0,7615.0,7550.0,7615.0,7550.0,7615.0,0.0,0.0,0.0,0.0
2026-06-03,0.9888561005278009,7555.0,7630.0,7555.0,7630.0,7580.0,7630.0,0.0,0.0,25.0,0.0
2026-06-04,0.8659674652056685,7500.0,7625.0,7540.0,7625.0,7550.0,7600.0,40.0,0.0,50.0,25.0
2026-06-05,0.9283208666282177,7500.0,7625.0,7500.0,7625.0,7550.0,7600.0,0.0,0.0,50.0,25.0
2026-06-08,0.9137109040348219,7375.0,7505.0,7375.0,7505.0,7375.0,7500.0,0.0,0.0,0.0,5.0
2026-06-09,0.9967683321922818,7375.0,7500.0,7375.0,7500.0,7375.0,7450.0,0.0,0.0,0.0,50.0
2026-06-10,0.9254275418894429,7355.0,7525.0,7355.0,7525.0,7355.0,7525.0,0.0,0.0,0.0,0.0
2026-06-11,0.9967248106661593,7220.0,7330.0,7220.0,7330.0,7220.0,7350.0,0.0,0.0,0.0,20.0
2026-06-12,0.9854085623148273,7320.0,7430.0,7320.0,7500.0,7350.0,7450.0,0.0,70.0,30.0,20.0
2026-06-15,0.819339238697063,,7500.0,,7500.0,7400.0,7600.0,,0.0,,100.0
2026-06-22,0.9851144444442358,7500.0,7575.0,7500.0,7575.0,7500.0,7550.0,0.0,0.0,0.0,25.0
2026-06-23,0.9787517578902224,7450.0,7530.0,7450.0,7530.0,7450.0,7500.0,0.0,0.0,0.0,30.0
2026-06-24,0.9610462769103603,7330.0,7515.0,7330.0,7515.0,7350.0,7500.0,0.0,0.0,20.0,15.0
2026-06-25,0.9871853770804424,7320.0,7425.0,7320.0,7425.0,7320.0,7375.0,0.0,0.0,0.0,50.0
2026-06-26,0.9901061149694375,7325.0,7415.0,7325.0,7415.0,7325.0,7400.0,0.0,0.0,0.0,15.0
2026-06-29,0.9475800996302721,7325.0,7425.0,7325.0,7425.0,7325.0,7400.0,0.0,0.0,0.0,25.0
2026-06-30,0.9799377264619208,7300.0,7450.0,7300.0,7450.0,7400.0,7450.0,0.0,0.0,100.0,0.0
2026-07-01,0.9379771031353823,7475.0,7540.0,7475.0,7540.0,7450.0,7540.0,0.0,0.0,25.0,0.0
2026-07-02,0.9688102031518131,7400.0,7500.0,7400.0,7500.0,7450.0,7500.0,0.0,0.0,50.0,0.0
2026-07-06,0.8189808916094534,7425.0,7520.0,7425.0,7520.0,7450.0,7500.0,0.0,0.0,25.0,20.0
2026-07-07,0.9628797907705342,7425.0,7550.0,7475.0,7550.0,7500.0,7550.0,50.0,0.0,75.0,0.0
2026-07-08,0.9613821376691154,7475.0,7525.0,7475.0,7525.0,7475.0,7525.0,0.0,0.0,0.0,0.0
2026-07-09,0.9186280783051737,7475.0,7550.0,7475.0,7550.0,7475.0,7500.0,0.0,0.0,0.0,50.0
2026-07-10,0.9799571494823759,7450.0,7550.0,7450.0,7550.0,7500.0,7550.0,0.0,0.0,50.0,0.0
2026-07-13,0.9965867925111586,7440.0,7600.0,7440.0,7600.0,7525.0,7600.0,0.0,0.0,85.0,0.0
2026-07-14,0.9931803052000334,7475.0,7550.0,7475.0,7550.0,7500.0,7550.0,0.0,0.0,25.0,0.0
2026-07-15,0.9935147971382708,7535.0,7600.0,7535.0,7600.0,7500.0,7550.0,0.0,0.0,35.0,50.0
2026-07-16,0.8870995732695601,7555.0,7600.0,7555.0,7600.0,7550.0,7600.0,0.0,0.0,5.0,0.0
2026-07-17,0.6921956495440122,7520.0,7580.0,7520.0,7550.0,7500.0,7550.0,0.0,30.0,20.0,30.0
2026-07-20,0.9965978339095604,7450.0,7565.0,7450.0,7565.0,7450.0,7500.0,0.0,0.0,0.0,65.0
2026-07-21,0.9811707280712535,7410.0,7540.0,7410.0,7540.0,7410.0,7500.0,0.0,0.0,0.0,40.0
2026-07-22,0.9975264599873225,7450.0,7550.0,7450.0,7550.0,7500.0,7550.0,0.0,0.0,50.0,0.0
2026-07-23,0.9907280055898636,7485.0,7545.0,7485.0,7545.0,7485.0,7500.0,0.0,0.0,0.0,45.0
2026-07-24,0.9604107138636065,7400.0,7470.0,7300.0,7470.0,7400.0,7500.0,100.0,0.0,0.0,30.0
2026-07-27,0.9752210870570612,7400.0,7500.0,7400.0,7500.0,7400.0,7500.0,0.0,0.0,0.0,0.0
2026-07-28,0.9858574299854694,7400.0,7525.0,7400.0,7525.0,7400.0,7450.0,0.0,0.0,0.0,75.0
2026-07-29,0.9863978564077824,7300.0,7490.0,7300.0,7490.0,7300.0,7450.0,0.0,0.0,0.0,40.0
2026-07-30,0.9801344793888049,7300.0,7450.0,7300.0,7450.0,7300.0,7450.0,0.0,0.0,0.0,0.0
2026-07-31,0.9696708169704655,7400.0,7500.0,7400.0,7500.0,7400.0,7500.0,0.0,0.0,0.0,0.0
2026-08-03,0.9578047344682903,7350.0,7530.0,7350.0,7530.0,7425.0,7530.0,0.0,0.0,75.0,0.0
2026-08-04,0.4194493238750431,7475.0,7630.0,7525.0,7630.0,7525.0,7630.0,50.0,0.0,50.0,0.0
2026-08-05,0.9588179953555578,7565.0,7750.0,7565.0,7750.0,7565.0,7750.0,0.0,0.0,0.0,0.0
2026-08-06,0.09193560551557323,7675.0,7750.0,7700.0,7770.0,7700.0,7800.0,25.0,20.0,25.0,50.0
2026-08-07,0.9945419534072929,7650.0,7750.0,7650.0,7750.0,7650.0,7750.0,0.0,0.0,0.0,0.0
2026-08-10,0.980150104047736,7600.0,7775.0,7600.0,7775.0,7730.0,7775.0,0.0,0.0,130.0,0.0
2026-08-11,0.9850845461607995,7730.0,7775.0,7730.0,7775.0,7700.0,7775.0,0.0,0.0,30.0,0.0
2026-08-12,0.91749180206531,7670.0,7800.0,7670.0,7800.0,7650.0,7800.0,0.0,0.0,20.0,0.0
2026-08-13,0.9778518924147596,7660.0,7760.0,7660.0,7760.0,7725.0,7750.0,0.0,0.0,65.0,10.0
2026-08-14,0.9918567154892991,7685.0,7800.0,7685.0,7800.0,7700.0,7800.0,0.0,0.0,15.0,0.0
2026-08-17,0.9742082507574508,7775.0,7850.0,7775.0,7850.0,7775.0,7850.0,0.0,0.0,0.0,0.0
2026-08-18,0.9818153037353075,7725.0,7790.0,7725.0,7790.0,7725.0,7800.0,0.0,0.0,0.0,10.0
2026-08-19,0.9819140458130885,7630.0,7725.0,7630.0,7725.0,7630.0,7725.0,0.0,0.0,0.0,0.0
2026-08-20,0.9854321233694754,7650.0,7755.0,7650.0,7755.0,7700.0,7755.0,0.0,0.0,50.0,0.0
2026-08-21,0.6791769046561664,7640.0,7750.0,7640.0,7700.0,7640.0,7700.0,0.0,50.0,0.0,50.0
2026-08-24,0.9967194525278368,7630.0,7725.0,7630.0,7725.0,7630.0,7725.0,0.0,0.0,0.0,0.0
2026-08-25,0.9914599083109247,7600.0,7700.0,7600.0,7665.0,7650.0,7665.0,0.0,35.0,50.0,35.0
2026-08-26,0.9768939399873765,7600.0,7700.0,7600.0,7700.0,7600.0,7700.0,0.0,0.0,0.0,0.0
2026-08-27,0.8624497698178633,7675.0,7725.0,7675.0,7725.0,7675.0,7725.0,0.0,0.0,0.0,0.0
2026-08-28,0.9773711633013722,7650.0,7800.0,7650.0,7800.0,7700.0,7750.0,0.0,0.0,50.0,50.0
2026-08-31,0.9812107778684789,7650.0,7750.0,7650.0,7750.0,7700.0,7750.0,0.0,0.0,50.0,0.0
2026-09-01,0.9836401472981232,7675.0,7710.0,7675.0,7710.0,7675.0,7715.0,0.0,0.0,0.0,5.0
2026-09-02,0.9781261770682893,7550.0,7680.0,7550.0,7680.0,7550.0,7700.0,0.0,0.0,0.0,20.0
2026-09-03,0.9727827417681002,7550.0,7680.0,7550.0,7680.0,7650.0,7675.0,0.0,0.0,100.0,5.0
2026-09-04,0.9711162724179245,7650.0,7750.0,7650.0,7800.0,7675.0,7750.0,0.0,50.0,25.0,0.0
