trade_id,strategy,closed,sim_pnl,sim_comm,real_comm,sim_at_realcomm,td_gross,td_net,commission_adj,entry_fill_diff,exit_settle_diff,total_diff
auto_20260806_084246,eodic_p,expired,62.4,1.3,3.17,60.53,65.0,61.83,-1.87,-0.0,1.3,-0.57
auto_20260806_084323,eodic_c,expired,37.4,1.3,3.08,35.62,40.0,36.92,-1.78,0.0,1.3,-0.48
auto_20260806_084344,eodfly_p,order,-471.3,1.3,4.89,-474.89,-430.0,-434.89,-3.59,-20.0,60.0,36.41
auto_20260806_084404,eodfly_c,order,-131.3,1.3,6.52,-136.52,-130.0,-136.52,-5.22,10.0,-10.0,-5.22
auto_20260806_090522,openic_p,expired,52.4,1.3,3.17,50.53,55.0,51.83,-1.87,-0.0,1.3,-0.57
auto_20260806_090543,openic_c,expired,12.4,1.3,3.08,10.62,15.0,11.92,-1.78,0.0,1.3,-0.48
auto_20260806_090604,openfly_p,order,-41.3,1.3,6.52,-46.52,-60.0,-66.52,-5.22,-10.0,-10.0,-25.22
auto_20260806_090641,openfly_c,order,-181.3,1.3,4.89,-184.89,-230.0,-234.89,-3.59,-30.0,-20.0,-53.59
auto_20260806_090701,gx_bps,expired,232.4,1.3,3.26,230.44,230.0,226.74,-1.96,-5.0,1.3,-5.66
auto_20260806_090722,gx_bcs,expired,42.4,1.3,3.08,40.62,45.0,41.92,-1.78,-0.0,1.3,-0.48
auto_20260807_083034,eodic_p,expired,42.4,1.3,3.17,40.53,40.0,36.83,-1.87,-5.0,1.3,-5.57
auto_20260807_083055,eodic_c,expired,157.4,1.3,3.17,155.53,160.0,156.83,-1.87,-0.0,1.3,-0.57
auto_20260807_083117,eodfly_p,expired,497.4,1.3,3.26,495.44,500.0,496.74,-1.96,-0.0,1.3,-0.66
auto_20260807_083138,eodfly_c,order,-211.3,1.3,6.52,-216.52,-180.0,-186.52,-5.22,20.0,10.0,24.78
auto_20260807_083159,openic_p,expired,67.4,1.3,3.17,65.53,70.0,66.83,-1.87,0.0,1.3,-0.57
