occ_root,theta_root,theta_root_alt,expiry,date,right,right_v3,strike,strike_v3,strike_v2,n_trades,n_legs,n_order_fills,first_fill_ts_et,last_fill_ts_et
SPXW,SPXW,SPX,20260806,20260806,P,put,7620.0,7620.000,7620000,1,1,1,2026-08-06 09:42:42,2026-08-06 09:42:42
SPXW,SPXW,SPX,20260806,20260806,P,put,7635.0,7635.000,7635000,1,1,1,2026-08-06 10:05:16,2026-08-06 10:05:16
SPXW,SPXW,SPX,20260806,20260806,P,put,7645.0,7645.000,7645000,1,1,1,2026-08-06 09:42:42,2026-08-06 09:42:42
SPXW,SPXW,SPX,20260806,20260806,P,put,7660.0,7660.000,7660000,1,1,1,2026-08-06 10:05:16,2026-08-06 10:05:16
SPXW,SPXW,SPX,20260806,20260806,P,put,7675.0,7675.000,7675000,1,1,1,2026-08-06 10:06:57,2026-08-06 10:06:57
SPXW,SPXW,SPX,20260806,20260806,P,put,7700.0,7700.000,7700000,2,2,4,2026-08-06 09:43:43,2026-08-06 11:25:22
SPXW,SPXW,SPX,20260806,20260806,P,put,7710.0,7710.000,7710000,1,1,2,2026-08-06 10:05:58,2026-08-06 10:35:44
SPXW,SPXW,SPX,20260806,20260806,C,call,7725.0,7725.000,7725000,1,1,2,2026-08-06 09:44:00,2026-08-06 09:54:11
SPXW,SPXW,SPX,20260806,20260806,P,put,7725.0,7725.000,7725000,1,1,3,2026-08-06 09:43:43,2026-08-06 11:25:22
SPXW,SPXW,SPX,20260806,20260806,C,call,7735.0,7735.000,7735000,1,1,4,2026-08-06 10:06:31,2026-08-06 16:20:00
SPXW,SPXW,SPX,20260806,20260806,P,put,7735.0,7735.000,7735000,1,1,2,2026-08-06 10:05:58,2026-08-06 10:35:44
SPXW,SPXW,SPX,20260806,20260806,C,call,7750.0,7750.000,7750000,1,1,2,2026-08-06 09:44:00,2026-08-06 09:54:11
SPXW,SPXW,SPX,20260806,20260806,C,call,7760.0,7760.000,7760000,1,1,3,2026-08-06 10:06:31,2026-08-06 10:17:31
SPXW,SPXW,SPX,20260806,20260806,C,call,7800.0,7800.000,7800000,2,2,2,2026-08-06 09:43:15,2026-08-06 10:07:17
SPXW,SPXW,SPX,20260806,20260806,C,call,7815.0,7815.000,7815000,1,1,1,2026-08-06 10:05:37,2026-08-06 10:05:37
