book,trade_id,strategy,source,structure,occ_root,leg_idx,side,right,strike,expiry,qty,entry_dt_ct,exit_dt_ct,fill_model,close_reason,credit,exit_cost
SPX,auto_20260804_083337,eodic_c,auto_trigger,vertical 25pt,SPXW,0,buy,C,7700.0,20260804,1,2026-08-04 08:33,2026-08-04 09:51,paper_fill,level ACCEPTED: spot 7682 held above the 7675 short strike for 10min (>10) — the wall we sold did not hold,1.9500000000000002,10.600000000000001
SPX,auto_20260804_083337,eodic_c,auto_trigger,vertical 25pt,SPXW,1,sell,C,7675.0,20260804,1,2026-08-04 08:33,2026-08-04 09:51,paper_fill,level ACCEPTED: spot 7682 held above the 7675 short strike for 10min (>10) — the wall we sold did not hold,1.9500000000000002,10.600000000000001
SPX,auto_20260804_083352,eodfly_p,auto_trigger,vertical 25pt,SPXW,0,buy,P,7575.0,20260804,1,2026-08-04 08:33,2026-08-04 16:00,cash_settle,expired,1.65,0.0
SPX,auto_20260804_083352,eodfly_p,auto_trigger,vertical 25pt,SPXW,1,sell,P,7600.0,20260804,1,2026-08-04 08:33,2026-08-04 16:00,cash_settle,expired,1.65,0.0
SPX,auto_20260804_083406,eodfly_c,auto_trigger,vertical 25pt,SPXW,0,buy,C,7625.0,20260804,1,2026-08-04 08:34,2026-08-04 08:49,paper_fill,level ACCEPTED: spot 7647 held above the 7600 short strike for 15min (>10) — the wall we sold did not hold,20.6,21.6
SPX,auto_20260804_083406,eodfly_c,auto_trigger,vertical 25pt,SPXW,1,sell,C,7600.0,20260804,1,2026-08-04 08:34,2026-08-04 08:49,paper_fill,level ACCEPTED: spot 7647 held above the 7600 short strike for 15min (>10) — the wall we sold did not hold,20.6,21.6
SPX,auto_20260804_090516,openic_p,auto_trigger,vertical 25pt,SPXW,0,buy,P,7560.0,20260804,1,2026-08-04 09:05,2026-08-04 16:00,cash_settle,expired,0.35,0.0
SPX,auto_20260804_090516,openic_p,auto_trigger,vertical 25pt,SPXW,1,sell,P,7585.0,20260804,1,2026-08-04 09:05,2026-08-04 16:00,cash_settle,expired,0.35,0.0
SPX,auto_20260804_090532,openic_c,auto_trigger,vertical 25pt,SPXW,0,buy,C,7760.0,20260804,1,2026-08-04 09:05,2026-08-04 12:22,paper_fill,level ACCEPTED: spot 7736 held above the 7735 short strike for 10min (>10) — the wall we sold did not hold,0.35,8.2
SPX,auto_20260804_090532,openic_c,auto_trigger,vertical 25pt,SPXW,1,sell,C,7735.0,20260804,1,2026-08-04 09:05,2026-08-04 12:22,paper_fill,level ACCEPTED: spot 7736 held above the 7735 short strike for 10min (>10) — the wall we sold did not hold,0.35,8.2
SPX,auto_20260804_090713,openfly_c,auto_trigger,vertical 25pt,SPXW,0,buy,C,7685.0,20260804,1,2026-08-04 09:07,2026-08-04 09:18,paper_fill,level ACCEPTED: spot 7676 held above the 7660 short strike for 10min (>10) — the wall we sold did not hold,11.2,13.9
SPX,auto_20260804_090713,openfly_c,auto_trigger,vertical 25pt,SPXW,1,sell,C,7660.0,20260804,1,2026-08-04 09:07,2026-08-04 09:18,paper_fill,level ACCEPTED: spot 7676 held above the 7660 short strike for 10min (>10) — the wall we sold did not hold,11.2,13.9
