ts_et,trade_id,spot,net_mid,net_spread,unreal_pnl,pop,ev,p_maxloss,sigma,max_gain,max_loss
2026-07-16 12:34:35,bull_cs_wk_20260714_1221,7547.8,25.8,0.4,180.0,0.4649,-92,0.4083,73.4,2600,-2400
2026-07-16 12:34:35,auto_20260716_084837,7547.8,22.95,0.3,-875.0,0.481,420,0.0122,43.1,15359,-3139
2026-07-16 12:34:35,auto_20260716_090019,7547.8,-9.65,0.3,25.0,0.5223,-139,0.3416,43.1,990,-1510
2026-07-16 12:34:35,auto_20260716_090044,7547.8,-0.1,0.1,25.0,0.8896,-139,0.0372,43.1,35,-2465
2026-07-16 12:34:35,auto_20260716_090122,7547.8,0.8,0.2,-175.0,0.2019,26,0.7735,43.1,2221,-255
2026-07-16 12:34:35,auto_20260716_090626,7547.8,-9.65,0.3,-175.0,0.5096,-339,0.3416,43.1,790,-1710
2026-07-16 15:39:13,bull_cs_wk_20260714_1221,7515.62,15.55,0.3,-845.0,0.2637,-1075,0.5979,61.0,2600,-2400
2026-07-16 15:39:13,auto_20260716_084837,7515.62,18.98,0.25,-1272.5,0.183,-1135,0.0141,13.7,4254,-3163
2026-07-16 15:39:13,auto_20260716_090019,7515.62,-24.4,0.4,-1450.0,0.0157,-1407,0.8564,13.7,990,-1510
2026-07-16 15:39:13,auto_20260716_090044,7515.62,-0.0,2.1,35.0,1.0,35,1.0,13.7,35,35
2026-07-16 15:39:13,auto_20260716_090122,7515.62,-0.0,4.2,-255.0,0.0,-255,1.0,13.7,-255,-255
2026-07-16 15:39:13,auto_20260716_090626,7515.62,-24.4,0.4,-1650.0,0.0108,-1607,0.86,13.7,790,-1710
2026-07-16 15:41:27,bull_cs_wk_20260714_1221,7516.1,15.25,0.5,-875.0,0.2689,-1065,0.5917,60.8,2600,-2400
2026-07-16 15:41:27,auto_20260716_084837,7516.1,19.52,0.25,-1217.5,0.1625,-1197,0.0155,13.0,3902,-3166
2026-07-16 15:41:27,auto_20260716_090019,7516.1,-24.5,0.6,-1460.0,0.0128,-1417,0.8635,13.0,990,-1510
2026-07-16 15:41:27,auto_20260716_090044,7516.1,-0.0,2.1,35.0,1.0,35,1.0,13.0,35,35
2026-07-16 15:41:27,auto_20260716_090122,7516.1,-0.0,4.2,-255.0,0.0,-255,1.0,13.0,-255,-255
2026-07-16 15:41:27,auto_20260716_090626,7516.1,-24.5,0.6,-1660.0,0.0083,-1617,0.8635,13.0,790,-1710
2026-07-16 15:43:42,bull_cs_wk_20260714_1221,7514.62,14.75,0.3,-925.0,0.2585,-1107,0.6041,60.6,2600,-2400
2026-07-16 15:43:42,auto_20260716_084837,7514.62,21.13,0.35,-1057.5,0.1746,-1085,0.0109,12.1,3727,-3167
2026-07-16 15:43:42,auto_20260716_090019,7514.62,-24.7,1.2,-1480.0,0.0061,-1451,0.9012,12.1,990,-1510
2026-07-16 15:43:42,auto_20260716_090044,7514.62,-0.0,2.1,35.0,1.0,35,1.0,12.1,35,35
2026-07-16 15:43:42,auto_20260716_090122,7514.62,-0.0,4.2,-255.0,0.0,-255,1.0,12.1,-255,-255
2026-07-16 15:43:42,auto_20260716_090626,7514.62,-24.7,1.2,-1680.0,0.0037,-1651,0.9012,12.1,790,-1710
2026-07-16 15:45:56,bull_cs_wk_20260714_1221,7510.93,14.0,0.3,-1000.0,0.2382,-1203,0.6286,60.5,2600,-2400
2026-07-16 15:45:56,auto_20260716_084837,7510.93,24.07,0.45,-762.5,0.2482,-750,0.0052,11.3,3750,-3164
2026-07-16 15:45:56,auto_20260716_090019,7510.93,-24.85,1.5,-1495.0,0.0012,-1489,0.9573,11.3,990,-1510
2026-07-16 15:45:56,auto_20260716_090044,7510.93,-0.0,2.1,35.0,1.0,35,1.0,11.3,35,35
2026-07-16 15:45:56,auto_20260716_090122,7510.93,-0.0,4.2,-255.0,0.0,-255,1.0,11.3,-255,-255
2026-07-16 15:45:56,auto_20260716_090626,7510.93,-24.85,1.5,-1695.0,0.0006,-1689,0.9573,11.3,790,-1710
2026-07-16 15:48:10,bull_cs_wk_20260714_1221,7506.75,12.75,0.3,-1125.0,0.2189,-1308,0.6525,60.3,2600,-2400
2026-07-16 15:48:10,auto_20260716_084837,7506.75,28.02,1.65,-367.5,0.3714,-343,0.0012,10.3,3793,-3164
2026-07-16 15:48:10,auto_20260716_090019,7506.75,-24.85,1.1,-1495.0,0.0001,-1506,0.9887,10.3,303,-1510
2026-07-16 15:48:10,auto_20260716_090044,7506.75,-0.0,2.1,35.0,1.0,35,1.0,10.3,35,35
