date,spot,gx_pw,gx_cw,gx_emlo,gx_emhi,td_pw,td_cw,mq_pw,mq_cw,mq_1dlo,mq_1dhi,mq_cr,mq_ps,dcw_gx_td,dcw_gx_mq,dcw_td_mq,dpw_gx_td,dpw_gx_mq,dpw_td_mq
2026-04-06,6583.0,6500.0,6800.0,,,,,6550.0,6600.0,6531.97,6690.63,6700.0,6500.0,,200.0,,,-50.0,
2026-04-07,6612.0,6500.0,6800.0,,,,,6475.0,6720.0,6533.22,6702.9,7000.0,6400.0,,80.0,,,25.0,
2026-04-08,6617.0,6600.0,6800.0,,,,,6525.0,6750.0,6712.98,6853.98,6800.0,6500.0,,50.0,,,75.0,
2026-04-09,6783.0,6700.0,7000.0,,,,,6600.0,6800.0,6758.87,6889.01,6900.0,6500.0,,200.0,,,100.0,
2026-04-10,6825.0,6800.0,7000.0,,,,,6755.0,6800.0,6750.68,6881.54,6900.0,6500.0,,200.0,,,45.0,
2026-04-13,6817.0,6800.0,7000.0,,,,,6780.0,6900.0,6822.97,6948.85,7000.0,6500.0,,100.0,,,20.0,
2026-04-14,6886.0,6800.0,7000.0,,,,,6800.0,6950.0,6904.72,7028.84,7000.0,6500.0,,50.0,,,0.0,
2026-04-15,6967.0,6950.0,7000.0,,,,,6840.0,7060.0,6961.77,7084.95,7000.0,6500.0,,-60.0,,,110.0,
2026-04-16,7023.0,7000.0,7050.0,,,,,6950.0,7050.0,6977.2,7101.54,7050.0,6500.0,,0.0,,,50.0,
2026-04-17,7041.0,7000.0,7050.0,,,,,6900.0,7100.0,7062.73,7187.49,7200.0,6800.0,,-50.0,,,100.0,
2026-04-20,7126.0,7000.0,7150.0,,,,,7070.0,7150.0,7044.88,7175.6,7200.0,6800.0,,0.0,,,-70.0,
2026-04-21,7109.0,7000.0,7150.0,,,,,7065.0,7140.0,6995.75,7132.37,7200.0,6800.0,,10.0,,,-65.0,
2026-04-22,7064.0,7000.0,7100.0,,,,,7090.0,7150.0,7072.27,7201.97,7200.0,6800.0,,-50.0,,,-90.0,
2026-04-23,7138.0,7000.0,7150.0,,,,,7045.0,7130.0,7041.49,7176.45,7200.0,6800.0,,20.0,,,-45.0,
2026-04-24,7108.0,7000.0,7150.0,,,,,7055.0,7130.0,7097.31,7231.27,7200.0,6800.0,,20.0,,,-55.0,
2026-04-27,7165.0,7000.0,7200.0,,,,,7100.0,7200.0,7108.68,7239.1,7200.0,6800.0,,0.0,,,-100.0,
2026-04-28,7174.0,7000.0,7200.0,,,,,7100.0,7200.0,7074.38,7202.78,7200.0,6800.0,,0.0,,,-100.0,
2026-04-29,7139.0,7000.0,7150.0,,,,,7055.0,7225.0,7069.85,7205.25,7200.0,6800.0,,-75.0,,,-55.0,
2026-04-30,7136.0,7000.0,7150.0,,,,,7130.0,7200.0,7146.45,7274.05,7200.0,6800.0,,-50.0,,,-130.0,
2026-05-01,7209.0,7000.0,7300.0,,,,,7100.0,7250.0,7166.54,7293.8,7300.0,6800.0,,50.0,,,-100.0,
2026-05-04,7230.0,7000.0,7300.0,,,,,7200.0,7240.0,7137.15,7266.35,7300.0,6800.0,,60.0,,,-200.0,
2026-05-05,7201.0,7000.0,7300.0,,,,,7150.0,7300.0,7195.16,7323.76,7300.0,6800.0,,0.0,,,-150.0,
2026-05-06,7259.0,7150.0,7300.0,,,,,7160.0,7390.0,7299.09,7430.51,7400.0,6800.0,,-90.0,,,-10.0,
2026-05-07,7365.0,7300.0,7400.0,,,,,7280.0,7350.0,7269.8,7404.4,7400.0,6500.0,,50.0,,,20.0,
2026-05-08,7337.0,7300.0,7350.0,,,,,7370.0,7400.0,7331.53,7463.31,7400.0,6500.0,,-50.0,,,-70.0,
2026-05-11,7399.0,7300.0,7400.0,,,,,7380.0,7420.0,7343.75,7479.95,7500.0,6500.0,,-20.0,,,-80.0,
2026-05-12,7413.0,7370.0,7450.0,,,,,7350.0,7450.0,7335.21,7465.67,7500.0,6500.0,,0.0,,,20.0,
2026-05-13,7401.0,7375.0,7450.0,,,7350.0,7450.0,7365.0,7500.0,7375.85,7513.89,7500.0,6500.0,0.0,-50.0,-50.0,25.0,10.0,-15.0
2026-05-14,7444.0,7400.0,7500.0,,,7400.0,7450.0,7375.0,7500.0,7432.64,7570.3,7500.0,6500.0,50.0,0.0,-50.0,0.0,25.0,25.0
2026-05-15,7501.0,7500.0,7525.0,,,7500.0,7560.0,7300.0,7450.0,7342.14,7476.2,7500.0,6500.0,-35.0,75.0,110.0,0.0,200.0,200.0
2026-05-18,7408.0,7350.0,7500.0,,,7400.0,7450.0,7360.0,7500.0,7336.17,7469.45,7500.0,7100.0,50.0,0.0,-50.0,-50.0,-10.0,40.0
2026-05-19,7403.0,7400.0,7425.0,,,7400.0,7500.0,7340.0,7450.0,7287.47,7422.43,7500.0,7100.0,-75.0,-25.0,50.0,0.0,60.0,60.0
2026-05-20,7354.0,7340.0,7400.0,,,7340.0,7400.0,7375.0,7475.0,7367.19,7498.33,7500.0,7100.0,0.0,-75.0,-75.0,0.0,-35.0,-35.0
2026-05-21,7433.0,7400.0,7475.0,,,7400.0,7435.0,7300.0,7500.0,7378.14,7511.58,7500.0,7100.0,40.0,-25.0,-65.0,0.0,100.0,100.0
2026-05-22,7446.0,7400.0,7500.0,,,7400.0,7500.0,7375.0,7500.0,7381.51,7566.61,7500.0,7100.0,0.0,0.0,0.0,0.0,25.0,25.0
2026-05-26,7473.0,7375.0,7500.0,,,,,7450.0,7530.0,7451.44,7585.46,7600.0,7100.0,,-30.0,,,-75.0,
2026-05-27,7519.0,7450.0,7530.0,,,7450.0,7530.0,7475.0,7530.0,7455.88,7586.14,7600.0,7100.0,0.0,0.0,0.0,0.0,-25.0,-25.0
2026-05-28,7520.0,7475.0,7530.0,,,7475.0,7530.0,7485.0,7600.0,7499.54,7627.12,7600.0,7100.0,0.0,-70.0,-70.0,0.0,-10.0,-10.0
2026-05-29,7564.0,7550.0,7600.0,,,7550.0,7600.0,7475.0,7600.0,7519.97,7642.53,7600.0,7100.0,0.0,0.0,0.0,0.0,75.0,75.0
2026-06-01,7580.0,7550.0,7600.0,,,7550.0,7600.0,7550.0,7615.0,7535.71,7662.89,7600.0,7100.0,0.0,-15.0,-15.0,0.0,0.0,0.0
2026-06-02,7600.0,7550.0,7615.0,,,7550.0,7615.0,7555.0,7630.0,7547.69,7673.73,7700.0,7300.0,0.0,-15.0,-15.0,0.0,-5.0,-5.0
2026-06-03,7610.0,7580.0,7630.0,,,7580.0,7630.0,7540.0,7625.0,7490.78,7618.74,7700.0,7300.0,0.0,5.0,5.0,0.0,40.0,40.0
2026-06-04,7554.0,7550.0,7600.0,,,7500.0,7600.0,7550.0,7625.0,7523.22,7646.42,7600.0,7300.0,0.0,-25.0,-25.0,50.0,0.0,-50.0
2026-06-05,7584.0,7550.0,7600.0,,,7550.0,7600.0,7375.0,7600.0,7315.93,7454.27,7700.0,7300.0,0.0,0.0,0.0,0.0,175.0,175.0
2026-06-08,7384.0,7375.0,7500.0,,,7375.0,7500.0,7375.0,7500.0,7335.37,7476.23,7600.0,7300.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-09,7406.0,7375.0,7450.0,,,7375.0,7450.0,7355.0,7525.0,7311.48,7456.14,7600.0,7300.0,0.0,-75.0,-75.0,0.0,20.0,20.0
2026-06-10,7387.0,7355.0,7525.0,,,7355.0,7525.0,7325.0,7330.0,7187.76,7345.98,8000.0,7200.0,0.0,195.0,195.0,0.0,30.0,30.0
2026-06-11,7267.0,7220.0,7350.0,,,7220.0,7300.0,7320.0,7430.0,7320.62,7467.56,7500.0,7300.0,50.0,-80.0,-130.0,0.0,-100.0,-100.0
2026-06-12,7394.0,7350.0,7450.0,,,7350.0,7450.0,7375.0,7500.0,7361.48,7500.9,7500.0,7200.0,0.0,-50.0,-50.0,0.0,-25.0,-25.0
2026-06-15,7431.0,7400.0,7600.0,7354.0,7509.0,,7500.0,7160.0,7550.0,7488.59,7619.33,7600.0,7200.0,100.0,50.0,-50.0,,240.0,
2026-06-16,7554.0,7600.0,7650.0,7477.0,7631.0,,,7525.0,7495.0,7447.33,7577.55,7600.0,7300.0,,155.0,,,75.0,
2026-06-17,7511.0,7560.0,7590.0,7433.0,7589.0,,,7355.0,7430.0,7346.92,7494.14,7700.0,7200.0,,160.0,,,205.0,
2026-06-18,7420.0,7500.0,7600.0,7341.0,7500.0,,,7500.0,7575.0,7402.61,7593.11,7700.0,7300.0,,25.0,,,0.0,
2026-06-22,7501.0,7500.0,7550.0,7418.0,7583.0,,,7450.0,7530.0,7402.18,7544.54,7700.0,7400.0,,20.0,,,50.0,
2026-06-23,7473.0,7450.0,7500.0,7380.0,7565.0,7450.0,7500.0,7400.0,7350.0,7288.86,7442.6,7800.0,7200.0,0.0,150.0,150.0,0.0,50.0,50.0
2026-06-24,7365.0,7350.0,7500.0,7276.0,7455.0,7350.0,7500.0,7320.0,7425.0,7281.11,7438.69,7800.0,7200.0,0.0,75.0,75.0,0.0,30.0,30.0
2026-06-25,7358.0,7320.0,7375.0,7275.0,7441.0,7320.0,7500.0,7325.0,7415.0,7274.31,7436.77,7800.0,7300.0,-125.0,-40.0,85.0,0.0,-5.0,-5.0
2026-06-26,7357.0,7325.0,7400.0,7264.0,7451.0,7325.0,7400.0,7325.0,7425.0,7263.19,7413.59,7800.0,7300.0,0.0,-25.0,-25.0,0.0,0.0,0.0
2026-06-29,7354.0,7325.0,7400.0,7269.0,7439.0,7325.0,7400.0,7300.0,7450.0,7370.8,7507.7,7500.0,7300.0,0.0,-50.0,-50.0,0.0,25.0,25.0
2026-06-30,7440.0,7400.0,7450.0,7358.0,7523.0,7400.0,7450.0,7475.0,7540.0,7431.68,7560.6,7500.0,7300.0,0.0,-90.0,-90.0,0.0,-75.0,-75.0
2026-07-01,7499.0,7450.0,7540.0,7420.0,7579.0,7450.0,7500.0,7400.0,7500.0,7421.38,7547.38,7500.0,7300.0,40.0,40.0,0.0,0.0,50.0,50.0
2026-07-02,7483.0,7450.0,7500.0,7404.0,7562.0,7450.0,7500.0,7425.0,7520.0,7389.52,7565.74,7550.0,7300.0,0.0,-20.0,-20.0,0.0,25.0,25.0
2026-07-06,7483.0,7450.0,7500.0,7406.0,7560.0,,,7425.0,7550.0,7474.36,7598.72,7550.0,7300.0,,-50.0,,,25.0,
2026-07-07,7537.0,7500.0,7550.0,7462.0,7613.0,7500.0,7550.0,7475.0,7525.0,7440.9,7564.42,7550.0,7300.0,0.0,25.0,25.0,0.0,25.0,25.0
2026-07-08,7504.0,7475.0,7525.0,7416.0,7592.0,7475.0,7525.0,7475.0,7550.0,7420.04,7542.88,7550.0,7300.0,0.0,-25.0,-25.0,0.0,0.0,0.0
2026-07-09,7483.0,7475.0,7500.0,7403.0,7562.0,7475.0,7500.0,7450.0,7550.0,7482.54,7602.02,7550.0,7300.0,0.0,-50.0,-50.0,0.0,25.0,25.0
2026-07-10,7544.0,7500.0,7550.0,7468.0,7619.0,7500.0,7550.0,7440.0,7600.0,7516.84,7633.92,7600.0,7300.0,0.0,-50.0,-50.0,0.0,60.0,60.0
2026-07-13,7575.0,7525.0,7600.0,7498.0,7653.0,7525.0,7600.0,7475.0,7550.0,7451.62,7580.18,7600.0,7300.0,0.0,50.0,50.0,0.0,50.0,50.0
2026-07-14,7515.0,7500.0,7550.0,7433.0,7597.0,7500.0,7550.0,7535.0,7600.0,7483.0,7606.26,7600.0,7300.0,0.0,-50.0,-50.0,0.0,-35.0,-35.0
2026-07-15,7544.0,7500.0,7550.0,7466.0,7621.0,7500.0,7550.0,7555.0,7600.0,7512.78,7631.62,7600.0,7300.0,0.0,-50.0,-50.0,0.0,-55.0,-55.0
