date,source,pw,cw,settle_pnl,stopped_pnl,delta,bps_pnl,bcs_pnl,bps_exit,bps_reason,bcs_exit,bcs_reason
2026-05-13,gx,7375.0,7450.0,411.96000000000004,-538.04,-950.0,335.98,-874.02,15:45,time_stop,14:22,acceptance
2026-05-13,td,7350.0,7450.0,209.45999999999998,-740.54,-950.0,133.48,-874.02,15:45,time_stop,14:22,acceptance
2026-05-13,mq,7365.0,7500.0,236.96000000000006,236.96,0.0,233.48,3.48,15:45,time_stop,15:45,time_stop
2026-05-13,fx,7365.0,7435.0,-500.5399999999999,-450.54,50.0,233.48,-684.02,15:45,time_stop,12:34,acceptance
2026-05-14,gx,7400.0,7500.0,192.96000000002184,-763.04,-956.0,90.98,-854.02,15:45,time_stop,11:23,acceptance
2026-05-14,td,7400.0,7450.0,-1080.5399999999997,-270.54,810.0,90.98,-361.52,15:45,time_stop,09:41,acceptance
2026-05-14,mq,7375.0,7500.0,132.96000000002184,-823.04,-956.0,30.98,-854.02,15:45,time_stop,11:23,acceptance
2026-05-14,fx,7410.0,7480.0,-1437.0399999999781,-583.04,854.0,130.98,-714.02,15:45,time_stop,10:44,acceptance
2026-05-15,gx,7500.0,7525.0,-303.0399999999994,-73.04,230.0,-111.52,38.48,09:41,acceptance,15:45,time_stop
2026-05-15,td,7500.0,7560.0,-338.0399999999994,-108.04,230.0,-111.52,3.48,09:41,acceptance,15:45,time_stop
2026-05-15,fx,7465.0,7535.0,-858.04,-173.04,685.0,-196.52,23.48,09:41,acceptance,15:45,time_stop
2026-05-18,gx,7350.0,7500.0,166.95999999999998,166.96,0.0,135.98,30.98,15:45,time_stop,15:45,time_stop
2026-05-18,td,7400.0,7450.0,876.9600000000002,-208.04,-1085.0,-531.52,323.48,11:11,acceptance,15:45,time_stop
2026-05-18,mq,7360.0,7500.0,214.45999999999998,209.46,-5.0,178.48,30.98,15:45,time_stop,15:45,time_stop
2026-05-18,fx,7375.0,7445.0,669.46,-465.54,-1135.0,-859.02,393.48,14:22,acceptance,15:45,time_stop
2026-05-19,gx,7400.0,7425.0,-700.5400000000002,164.46,865.0,-1.52,165.98,09:41,acceptance,15:45,time_stop
2026-05-19,td,7400.0,7500.0,-863.0400000000001,1.96,865.0,-1.52,3.48,09:41,acceptance,15:45,time_stop
2026-05-19,mq,7340.0,7450.0,579.4599999999999,554.46,-25.0,498.48,55.98,15:45,time_stop,15:45,time_stop
2026-05-19,fx,7370.0,7440.0,-527.0400000000326,76.96,604.0,-11.52,88.48,09:50,acceptance,15:45,time_stop
2026-05-20,gx,7340.0,7400.0,-1628.0399999999995,-453.04,1175.0,368.48,-821.52,15:45,time_stop,11:01,acceptance
2026-05-20,td,7340.0,7400.0,-1628.0399999999995,-453.04,1175.0,368.48,-821.52,15:45,time_stop,11:01,acceptance
2026-05-20,fx,7320.0,7390.0,-1613.04,-373.04,1240.0,193.48,-566.52,15:45,time_stop,10:35,acceptance
2026-05-21,gx,7400.0,7475.0,1074.4599999999998,-0.54,-1075.0,-106.52,105.98,09:45,acceptance,15:45,time_stop
2026-05-21,td,7400.0,7435.0,369.95999999997446,-538.04,-908.0,-106.52,-431.52,09:45,acceptance,13:34,acceptance
2026-05-21,mq,7300.0,7500.0,121.96000000000001,121.96,0.0,88.48,33.48,15:45,time_stop,15:45,time_stop
2026-05-21,fx,7400.0,7470.0,1099.4599999999998,24.46,-1075.0,-106.52,130.98,09:45,acceptance,15:45,time_stop
2026-05-22,gx,7400.0,7500.0,796.96,791.96,-5.0,78.48,713.48,15:45,time_stop,15:45,time_stop
2026-05-22,td,7400.0,7500.0,796.96,791.96,-5.0,78.48,713.48,15:45,time_stop,15:45,time_stop
2026-05-22,mq,7375.0,7500.0,754.46,749.46,-5.0,35.98,713.48,15:45,time_stop,15:45,time_stop
2026-05-22,fx,7410.0,7480.0,1274.46,-95.54,-1370.0,110.98,-206.52,15:45,time_stop,09:41,acceptance
2026-05-26,gx,7375.0,7500.0,-460.03999999998933,36.96,497.0,3.48,33.48,15:45,time_stop,09:41,acceptance
2026-05-26,mq,7450.0,7530.0,709.4599999999999,-360.54,-1070.0,85.98,-446.52,15:45,time_stop,10:26,acceptance
2026-05-26,fx,7440.0,7510.0,317.4600000000113,-210.54,-528.0,60.98,-271.52,15:45,time_stop,09:46,acceptance
2026-05-27,gx,7450.0,7530.0,936.96,851.96,-85.0,43.48,808.48,15:45,time_stop,15:45,time_stop
2026-05-27,td,7450.0,7530.0,936.96,851.96,-85.0,43.48,808.48,15:45,time_stop,15:45,time_stop
2026-05-27,mq,7475.0,7530.0,1016.96,931.96,-85.0,123.48,808.48,15:45,time_stop,15:45,time_stop
2026-05-27,fx,7485.0,7555.0,524.46,524.46,0.0,188.48,335.98,15:45,time_stop,15:45,time_stop
2026-05-28,gx,7475.0,7530.0,-1648.0400000000002,-453.04,1195.0,168.48,-621.52,15:45,time_stop,10:22,acceptance
2026-05-28,td,7475.0,7530.0,-1648.0400000000002,-453.04,1195.0,168.48,-621.52,15:45,time_stop,10:22,acceptance
2026-05-28,mq,7485.0,7600.0,251.95999999999992,251.96,0.0,245.98,5.98,15:45,time_stop,15:45,time_stop
2026-05-28,fx,7485.0,7555.0,-441.040000000011,-440.54,0.5,245.98,-686.52,15:45,time_stop,11:35,acceptance
2026-05-29,gx,7550.0,7600.0,694.46,634.46,-60.0,378.48,255.98,15:45,time_stop,15:45,time_stop
2026-05-29,td,7550.0,7600.0,694.46,634.46,-60.0,378.48,255.98,15:45,time_stop,15:45,time_stop
2026-05-29,mq,7475.0,7600.0,321.96,266.96,-55.0,10.98,255.98,15:45,time_stop,15:45,time_stop
2026-05-29,fx,7530.0,7600.0,469.4599999999999,414.46,-55.0,158.48,255.98,15:45,time_stop,15:45,time_stop
2026-06-01,gx,7550.0,7600.0,851.9599999999998,-598.04,-1450.0,543.48,-1141.52,15:45,time_stop,13:47,acceptance
2026-06-01,td,7550.0,7600.0,851.9599999999998,-598.04,-1450.0,543.48,-1141.52,15:45,time_stop,13:47,acceptance
2026-06-01,mq,7550.0,7615.0,676.9599999999998,654.46,-22.5,543.48,110.98,15:45,time_stop,15:45,time_stop
2026-06-01,fx,7545.0,7615.0,606.9599999999999,579.46,-27.5,468.48,110.98,15:45,time_stop,15:45,time_stop
2026-06-02,gx,7550.0,7615.0,424.46000000000004,-518.04,-942.5,178.48,-696.52,15:45,time_stop,11:23,acceptance
2026-06-02,td,7550.0,7615.0,424.46000000000004,-518.04,-942.5,178.48,-696.52,15:45,time_stop,11:23,acceptance
2026-06-02,mq,7555.0,7630.0,299.46000000000004,299.46,0.0,213.48,85.98,15:45,time_stop,15:45,time_stop
2026-06-02,fx,7565.0,7635.0,376.9599999999999,376.96,0.0,318.48,58.48,15:45,time_stop,15:45,time_stop
2026-06-03,gx,7580.0,7630.0,-1973.04,-353.04,1620.0,-539.02,185.98,09:56,acceptance,15:45,time_stop
2026-06-03,td,7580.0,7630.0,-1973.04,-353.04,1620.0,-539.02,185.98,09:56,acceptance,15:45,time_stop
2026-06-03,mq,7540.0,7625.0,326.96000000000004,326.96,0.0,60.98,265.98,15:45,time_stop,15:45,time_stop
2026-06-03,fx,7575.0,7645.0,-1807.539999999971,-565.54,1242.0,-619.02,53.48,11:43,acceptance,15:45,time_stop
2026-06-04,gx,7550.0,7600.0,1256.96,166.96,-1090.0,168.48,-1.52,09:41,acceptance,15:45,time_stop
2026-06-04,td,7500.0,7600.0,341.9600000000001,306.96,-35.0,308.48,-1.52,15:45,time_stop,15:45,time_stop
2026-06-04,mq,7550.0,7625.0,1229.46,174.46,-1055.0,168.48,5.98,09:41,acceptance,15:45,time_stop
2026-06-04,fx,7520.0,7590.0,641.9599999999999,-10.54,-652.5,573.48,-584.02,15:45,time_stop,14:06,acceptance
2026-06-05,gx,7550.0,7600.0,-1155.54,-50.54,1105.0,-111.52,60.98,09:41,acceptance,15:45,time_stop
2026-06-05,td,7550.0,7600.0,-1155.54,-50.54,1105.0,-111.52,60.98,09:41,acceptance,15:45,time_stop
2026-06-05,mq,7375.0,7600.0,59.46,-53.04,-112.5,-114.02,60.98,15:45,time_stop,15:45,time_stop
2026-06-05,fx,7550.0,7620.0,-1200.54,-95.54,1105.0,-111.52,15.98,09:41,acceptance,15:45,time_stop
2026-06-08,gx,7375.0,7500.0,474.46000000000004,464.46,-10.0,128.48,335.98,15:45,time_stop,15:45,time_stop
2026-06-08,td,7375.0,7500.0,474.46000000000004,464.46,-10.0,128.48,335.98,15:45,time_stop,15:45,time_stop
2026-06-08,mq,7375.0,7500.0,474.46000000000004,464.46,-10.0,128.48,335.98,15:45,time_stop,15:45,time_stop
2026-06-08,fx,7350.0,7420.0,1841.96,496.96,-1345.0,73.48,423.48,15:45,time_stop,09:41,acceptance
2026-06-09,gx,7375.0,7450.0,1109.4600000000003,-2105.54,-3215.0,-1669.02,-436.52,11:31,acceptance,09:45,acceptance
2026-06-09,td,7375.0,7450.0,1109.4600000000003,-2105.54,-3215.0,-1669.02,-436.52,11:31,acceptance,09:45,acceptance
2026-06-09,mq,7355.0,7525.0,54.46000000000001,-1425.54,-1480.0,-1446.52,20.98,11:34,acceptance,15:45,time_stop
2026-06-09,fx,7370.0,7440.0,1349.46,-1875.54,-3225.0,-1709.02,-166.52,11:32,acceptance,09:41,acceptance
2026-06-10,gx,7355.0,7525.0,-1413.0400000000002,-18.04,1395.0,-31.52,13.48,11:05,acceptance,15:45,time_stop
2026-06-10,td,7355.0,7525.0,-1413.0400000000002,-18.04,1395.0,-31.52,13.48,11:05,acceptance,15:45,time_stop
2026-06-10,fx,7350.0,7420.0,-1218.0400000000004,1.96,1220.0,-271.52,273.48,11:14,acceptance,15:45,time_stop
2026-06-11,gx,7220.0,7350.0,-1713.04,-458.04,1255.0,293.48,-751.52,15:45,time_stop,13:47,acceptance
2026-06-11,td,7220.0,7300.0,-1033.0400000000002,166.96,1200.0,293.48,-126.52,15:45,time_stop,10:00,acceptance
2026-06-11,fx,7230.0,7300.0,-968.0400000000002,231.96,1200.0,358.48,-126.52,15:45,time_stop,10:00,acceptance
2026-06-12,gx,7350.0,7450.0,1016.9599999999998,1004.46,-12.5,418.48,585.98,15:45,time_stop,15:45,time_stop
2026-06-12,td,7350.0,7450.0,1016.9599999999998,1004.46,-12.5,418.48,585.98,15:45,time_stop,15:45,time_stop
2026-06-12,mq,7375.0,7500.0,816.9600000000003,811.96,-5.0,628.48,183.48,15:45,time_stop,15:45,time_stop
2026-06-12,fx,7360.0,7430.0,1200.9599999999964,36.96,-1164.0,503.48,-466.52,15:45,time_stop,11:14,acceptance
2026-06-15,gx,7400.0,7600.0,109.46000000000002,109.46,0.0,20.98,88.48,15:45,time_stop,15:45,time_stop
2026-06-15,mq,7160.0,7550.0,230.46000000000356,-510.54,-741.0,-4.02,-506.52,15:45,time_stop,11:06,acceptance
2026-06-15,fx,7395.0,7465.0,-178.0400000000006,-3.04,175.0,18.48,-21.52,15:45,time_stop,09:41,acceptance
2026-06-22,gx,7500.0,7550.0,-1765.54,-400.54,1365.0,-691.52,290.98,10:37,acceptance,15:45,time_stop
2026-06-22,mq,7450.0,7530.0,751.96,711.96,-40.0,58.48,653.48,15:45,time_stop,15:45,time_stop
2026-06-22,fx,7465.0,7535.0,689.46,196.96,-492.5,-344.02,540.98,15:45,time_stop,15:45,time_stop
2026-06-23,gx,7450.0,7500.0,-160.54000000000002,224.46,385.0,203.48,20.98,09:41,acceptance,15:45,time_stop
2026-06-23,td,7450.0,7500.0,-160.54000000000002,224.46,385.0,203.48,20.98,09:41,acceptance,15:45,time_stop
2026-06-23,fx,7440.0,7510.0,-328.0400000000008,176.96,505.0,163.48,13.48,09:41,acceptance,15:45,time_stop
2026-06-24,gx,7350.0,7500.0,561.96,-288.04,-850.0,-296.52,8.48,15:15,acceptance,15:45,time_stop
2026-06-24,td,7350.0,7500.0,561.96,-288.04,-850.0,-296.52,8.48,15:15,acceptance,15:45,time_stop
2026-06-24,mq,7320.0,7425.0,594.46,579.46,-15.0,263.48,315.98,15:45,time_stop,15:45,time_stop
2026-06-24,fx,7330.0,7400.0,1036.96,-560.54,-1597.5,285.98,-846.52,15:45,time_stop,10:54,acceptance
2026-06-25,gx,7320.0,7375.0,1964.46,521.96,-1442.5,63.48,458.48,15:45,time_stop,09:41,acceptance
2026-06-25,td,7320.0,7500.0,119.46000000000002,111.96,-7.5,63.48,48.48,15:45,time_stop,15:45,time_stop
2026-06-25,mq,7325.0,7415.0,1271.96,1256.96,-15.0,68.48,1188.48,15:45,time_stop,15:45,time_stop
2026-06-25,fx,7325.0,7395.0,1656.9599999999998,1641.96,-15.0,68.48,1573.48,15:45,time_stop,15:45,time_stop
