k,stop,tgt,n,gross_pf,net_pf,net_per_yr,win
0.8,1.0,ema,6193,0.99,0.81,-20449.9255078936,42.85483610528015
0.8,1.0,0.5,6193,1.03,0.73,-17639.090909090908,66.60746003552399
0.8,1.0,1.0,6193,1.03,0.82,-17256.420454545456,49.45906668819635
0.8,1.5,ema,6193,1.0,0.83,-19937.346590920384,49.895042790247054
0.8,1.5,0.5,6193,1.03,0.75,-17881.704545454544,73.06636525108993
0.8,1.5,1.0,6193,1.03,0.84,-16541.079545454544,56.54771516228
0.8,2.5,ema,6193,0.98,0.82,-21496.665789118197,53.124495398030035
0.8,2.5,0.5,6193,1.03,0.76,-17630.0,76.6026158566123
0.8,2.5,1.0,6193,1.03,0.84,-17075.028409090908,59.87405134829646
1.0,1.0,ema,5193,0.99,0.81,-17462.804039831874,40.82418640477566
1.0,1.0,0.5,5193,1.03,0.72,-15239.943181818182,66.22376275755825
1.0,1.0,1.0,5193,1.03,0.82,-14527.443181818182,49.16233391103408
1.0,1.5,ema,5193,0.99,0.83,-17013.683291220354,47.87213556710957
1.0,1.5,0.5,5193,1.01,0.73,-15798.607954545454,72.61698440207972
1.0,1.5,1.0,5193,1.03,0.84,-13875.170454545454,56.28730984016946
1.0,2.5,ema,5193,0.99,0.83,-17194.940537154765,51.2420566146736
1.0,2.5,0.5,5193,1.04,0.76,-14394.488636363636,76.39129597535144
1.0,2.5,1.0,5193,1.04,0.85,-13216.079545454546,59.73425765453495
1.5,1.0,ema,3148,0.94,0.77,-13175.992161421651,37.57941550190597
1.5,1.0,0.5,3148,1.03,0.73,-9020.625,66.35959339263025
1.5,1.0,1.0,3148,0.99,0.79,-10575.170454545454,48.284625158831
1.5,1.5,ema,3148,0.93,0.78,-13908.88901590253,44.53621346886912
1.5,1.5,0.5,3148,1.0,0.72,-10066.22159090909,72.64930114358322
1.5,1.5,1.0,3148,0.98,0.8,-10919.34659090909,55.4002541296061
1.5,2.5,ema,3148,0.95,0.8,-12835.870749473797,48.252858958068614
1.5,2.5,0.5,3148,1.06,0.78,-8084.829545454545,76.62007623888184
1.5,2.5,1.0,3148,1.02,0.83,-9189.517045454546,59.21219822109276
