group,dir,stop_abr,tgt,n,pf,net,per_yr
2E_WT,L,0.5,EOD,469,1.19,11891.160714285734,2162.0292207792245
2E_WT,L,0.5,1A,469,0.84,-7860.066964285688,-1429.1030844155796
2E_WT,L,0.5,2A,469,0.85,-8544.10714285711,-1553.4740259740202
2E_WT,L,0.5,3A,469,0.96,-2414.0848214285325,-438.9245129870059
2E_WT,L,0.5,4A,469,1.06,3423.191964285734,622.3985389610425
2E_WT,L,0.5,6A,469,1.2,12148.191964285734,2208.762175324679
2E_WT,L,0.5,TRAIL,469,0.31,-34495.0,-6271.818181818182
2E_WT,L,1.0,EOD,469,1.18,17908.125,3256.0227272727275
2E_WT,L,1.0,1A,469,0.93,-4789.642857142844,-870.8441558441535
2E_WT,L,1.0,2A,469,0.93,-6574.910714285688,-1195.438311688307
2E_WT,L,1.0,3A,469,1.02,1846.0714285714675,335.64935064935776
2E_WT,L,1.0,4A,469,1.12,11908.125,2165.1136363636365
2E_WT,L,1.0,6A,469,1.2,19484.6875,3542.6704545454545
2E_WT,L,1.0,TRAIL,469,0.56,-30782.5,-5596.818181818182
2E_WT,L,1.5,EOD,469,1.24,29822.96875,5422.357954545455
2E_WT,L,1.5,1A,469,1.0,-140.42410714284415,-25.53165584415348
2E_WT,L,1.5,2A,469,0.97,-2999.9107142856883,-545.438311688307
2E_WT,L,1.5,3A,469,1.08,9496.852678571468,1726.700487012994
2E_WT,L,1.5,4A,469,1.17,21311.25,3874.7727272727275
2E_WT,L,1.5,6A,469,1.27,32924.53125,5986.278409090909
2E_WT,L,1.5,TRAIL,469,0.75,-22932.5,-4169.545454545455
2E_WT,L,2.0,EOD,469,1.26,36648.75,6663.409090909091
2E_WT,L,2.0,1A,469,1.1,7925.982142857156,1441.0876623376646
2E_WT,L,2.0,2A,469,1.0,-453.0357142856883,-82.37012987012514
2E_WT,L,2.0,3A,469,1.08,10699.196428571468,1945.3084415584487
2E_WT,L,2.0,4A,469,1.17,23736.25,4315.681818181818
2E_WT,L,2.0,6A,469,1.28,39908.125,7256.022727272727
2E_WT,L,2.0,TRAIL,469,0.96,-3995.0,-726.3636363636364
2E_WT,L,3.0,EOD,469,1.27,44223.75,8040.681818181818
2E_WT,L,3.0,1A,469,1.12,10175.982142857156,1850.1785714285738
2E_WT,L,3.0,2A,469,1.02,2300.0892857143117,418.1980519480567
2E_WT,L,3.0,3A,469,1.1,16192.946428571468,2944.172077922085
2E_WT,L,3.0,4A,469,1.17,28067.5,5103.181818181818
