Date,policy,net
2021-06-21,P1,657.5
2021-06-21,P2,657.5
2021-06-21,P2,657.5
2021-06-21,P2,382.5
2021-06-21,P3,657.5
2021-06-21,P3,657.5
2021-06-21,P3,382.5
2021-06-24,P1,-205.0
2021-06-24,P2,-205.0
2021-06-24,P3,-205.0
2021-06-25,P1,245.0
2021-06-25,P2,245.0
2021-06-25,P3,245.0
2021-06-28,P1,-205.0
2021-06-28,P1,-205.0
2021-06-28,P2,-205.0
2021-06-28,P2,-205.0
2021-06-28,P3,-205.0
2021-06-28,P3,-205.0
2021-06-30,P1,-205.0
2021-06-30,P2,-205.0
2021-06-30,P3,-205.0
2021-07-01,P1,-205.0
2021-07-01,P2,-205.0
2021-07-01,P2,-205.0
2021-07-01,P3,-205.0
2021-07-01,P3,-205.0
2021-07-08,P1,-205.0
2021-07-08,P2,-205.0
2021-07-08,P3,-205.0
2021-07-09,P1,382.5
2021-07-09,P2,382.5
2021-07-09,P3,382.5
2021-07-13,P1,345.0
2021-07-13,P2,345.0
2021-07-13,P3,345.0
2021-07-14,P1,-205.0
2021-07-14,P2,-205.0
2021-07-14,P3,-205.0
2021-07-19,P1,-205.0
2021-07-19,P2,-205.0
2021-07-19,P3,-205.0
2021-08-02,P1,-205.0
2021-08-02,P1,532.5
2021-08-02,P2,-205.0
2021-08-02,P2,532.5
2021-08-02,P2,482.5
2021-08-02,P3,-205.0
2021-08-02,P3,532.5
2021-08-02,P3,482.5
2021-08-17,P1,-205.0
2021-08-17,P2,-205.0
2021-08-17,P3,-205.0
2021-08-20,P1,-205.0
2021-08-20,P1,-205.0
2021-08-20,P2,-205.0
2021-08-20,P2,-205.0
2021-08-20,P3,-205.0
2021-08-20,P3,-205.0
2021-08-24,P1,-205.0
2021-08-24,P2,-205.0
2021-08-24,P3,-205.0
2021-08-25,P1,-92.5
2021-08-25,P2,-92.5
2021-08-25,P3,-92.5
2021-08-26,P1,-205.0
2021-08-26,P1,295.0
2021-08-26,P2,-205.0
2021-08-26,P2,295.0
2021-08-26,P3,-205.0
2021-08-26,P3,295.0
2021-08-27,P1,-205.0
2021-08-27,P1,-205.0
2021-08-27,P2,-205.0
2021-08-27,P2,-205.0
2021-08-27,P3,-205.0
2021-08-27,P3,-205.0
2021-08-30,P1,-205.0
2021-08-30,P2,-205.0
2021-08-30,P3,-205.0
2021-08-31,P1,-205.0
2021-08-31,P2,-205.0
2021-08-31,P3,-205.0
2021-09-08,P1,-205.0
2021-09-08,P2,-205.0
2021-09-08,P3,-205.0
2021-09-16,P1,-205.0
2021-09-16,P1,-5.0
2021-09-16,P2,-205.0
2021-09-16,P2,-5.0
2021-09-16,P3,-205.0
2021-09-16,P3,-5.0
2021-09-17,P1,-205.0
2021-09-17,P2,-205.0
2021-09-17,P3,-205.0
2021-09-22,P1,-205.0
2021-09-22,P2,-205.0
2021-09-22,P3,-205.0
2021-09-27,P1,-205.0
2021-09-27,P2,-205.0
2021-09-27,P2,-205.0
2021-09-27,P3,-205.0
2021-09-27,P3,-205.0
2021-10-01,P1,1495.0
2021-10-01,P2,1495.0
2021-10-01,P3,1495.0
2021-10-04,P1,-205.0
2021-10-04,P2,-205.0
2021-10-04,P3,-205.0
2021-10-05,P1,-205.0
2021-10-05,P2,-205.0
2021-10-05,P3,-205.0
2021-10-14,P1,370.0
2021-10-14,P2,370.0
2021-10-14,P3,370.0
2021-10-18,P1,270.0
2021-10-18,P2,270.0
2021-10-18,P3,270.0
2021-10-19,P1,995.0
2021-10-19,P2,995.0
2021-10-19,P2,770.0
2021-10-19,P2,532.5
2021-10-19,P3,995.0
2021-10-19,P3,770.0
2021-10-19,P3,532.5
2021-10-20,P1,-205.0
2021-10-20,P2,-205.0
2021-10-20,P3,-205.0
2021-10-21,P1,732.5
2021-10-21,P2,732.5
