Date,base_book_n,base_book_net,base_fade_n,base_fade_net,all_book_n,all_book_net,all_fade_n,all_fade_net
2021-07-02,0,0.0,0,0.0,1,795.0,0,0.0
2021-07-06,0,0.0,0,0.0,0,0.0,1,-217.5
2021-07-07,0,0.0,0,0.0,0,0.0,0,0.0
2021-07-08,0,0.0,0,0.0,0,0.0,0,0.0
2021-07-09,0,0.0,0,0.0,0,0.0,0,0.0
2021-07-12,0,0.0,0,0.0,1,282.5,0,0.0
2021-07-13,1,357.5,0,0.0,1,357.5,0,0.0
2021-07-14,1,95.0,0,0.0,1,95.0,0,0.0
2021-07-15,0,0.0,1,-217.5,0,0.0,1,-217.5
2021-07-16,0,0.0,0,0.0,1,1282.5,0,0.0
2021-07-19,0,0.0,0,0.0,0,0.0,0,0.0
2021-07-20,0,0.0,0,0.0,1,95.0,0,0.0
2021-08-02,2,1677.5,0,0.0,1,545.0,0,0.0
2021-08-09,0,0.0,0,0.0,0,0.0,0,0.0
2021-08-10,0,0.0,0,0.0,0,0.0,0,0.0
2021-08-11,0,0.0,0,0.0,1,-317.5,0,0.0
2021-08-16,0,0.0,0,0.0,0,0.0,0,0.0
2021-08-17,1,-530.0,0,0.0,2,-1060.0,0,0.0
2021-08-18,0,0.0,0,0.0,1,-542.5,0,0.0
2021-08-19,0,0.0,0,0.0,0,0.0,0,0.0
2021-08-20,2,-435.0,0,0.0,1,120.0,0,0.0
2021-08-23,0,0.0,0,0.0,1,-92.5,0,0.0
2021-08-24,0,0.0,0,0.0,0,0.0,0,0.0
2021-08-25,1,-80.0,0,0.0,1,-80.0,0,0.0
2021-08-26,2,-197.5,0,0.0,1,-505.0,1,882.5
2021-08-27,2,90.0,0,0.0,2,90.0,0,0.0
2021-08-30,1,-205.0,0,0.0,1,-205.0,0,0.0
2021-08-31,1,195.0,0,0.0,0,0.0,0,0.0
2021-09-01,0,0.0,0,0.0,0,0.0,0,0.0
2021-09-02,0,0.0,0,0.0,0,0.0,0,0.0
2021-09-03,0,0.0,0,0.0,1,-380.0,0,0.0
2021-09-07,0,0.0,0,0.0,0,0.0,0,0.0
2021-09-08,1,-330.0,0,0.0,1,-330.0,0,0.0
2021-09-10,0,0.0,2,1040.0,0,0.0,0,0.0
2021-09-13,0,0.0,0,0.0,0,0.0,0,0.0
2021-09-14,0,0.0,1,-217.5,0,0.0,0,0.0
2021-09-15,0,0.0,0,0.0,0,0.0,0,0.0
2021-09-16,2,-497.5,0,0.0,1,-505.0,0,0.0
2021-09-17,1,332.5,0,0.0,2,1252.5,1,-217.5
2021-09-20,0,0.0,0,0.0,0,0.0,0,0.0
2021-09-21,0,0.0,0,0.0,0,0.0,0,0.0
2021-09-22,0,0.0,0,0.0,0,0.0,0,0.0
2021-09-23,0,0.0,0,0.0,1,-792.5,0,0.0
2021-09-24,0,0.0,0,0.0,1,470.0,0,0.0
2021-09-27,1,-367.5,0,0.0,1,-367.5,0,0.0
2021-09-28,0,0.0,0,0.0,0,0.0,0,0.0
2021-09-29,0,0.0,0,0.0,0,0.0,0,0.0
2021-09-30,0,0.0,0,0.0,1,-742.5,0,0.0
2021-10-01,1,1507.5,1,-217.5,2,702.5,1,-217.5
2021-10-04,1,-867.5,0,0.0,1,-867.5,1,1132.5
2021-10-05,1,-867.5,0,0.0,1,-867.5,0,0.0
2021-10-06,0,0.0,0,0.0,0,0.0,0,0.0
2021-10-11,0,0.0,0,0.0,0,0.0,0,0.0
2021-10-12,0,0.0,0,0.0,0,0.0,0,0.0
2021-10-13,0,0.0,0,0.0,0,0.0,0,0.0
2021-10-14,0,0.0,0,0.0,0,0.0,0,0.0
2021-10-15,0,0.0,0,0.0,0,0.0,0,0.0
2021-10-18,1,282.5,0,0.0,0,0.0,0,0.0
2021-10-19,3,2147.5,0,0.0,3,2147.5,0,0.0
2021-10-20,1,-42.5,0,0.0,1,-42.5,0,0.0
2021-10-21,0,0.0,0,0.0,0,0.0,0,0.0
2021-10-22,2,-260.0,0,0.0,1,-617.5,1,-217.5
2021-10-25,0,0.0,0,0.0,0,0.0,0,0.0
2021-10-26,0,0.0,0,0.0,2,-1035.0,0,0.0
2021-10-27,2,-1010.0,1,-217.5,0,0.0,0,0.0
2021-10-28,1,-480.0,0,0.0,1,-480.0,0,0.0
2021-10-29,1,-467.5,0,0.0,0,0.0,0,0.0
2021-11-01,0,0.0,0,0.0,0,0.0,0,0.0
2021-11-02,0,0.0,0,0.0,1,157.5,0,0.0
2021-11-03,0,0.0,0,0.0,0,0.0,0,0.0
2021-11-04,2,-1010.0,0,0.0,1,-505.0,0,0.0
2021-11-05,1,332.5,0,0.0,2,-160.0,0,0.0
2021-11-08,0,0.0,0,0.0,1,95.0,1,-217.5
2021-11-09,1,-467.5,0,0.0,1,-467.5,0,0.0
2021-11-10,0,0.0,0,0.0,0,0.0,0,0.0
2021-11-11,0,0.0,0,0.0,0,0.0,0,0.0
2021-11-12,0,0.0,0,0.0,0,0.0,0,0.0
2021-11-15,1,7.5,0,0.0,1,7.5,0,0.0
2021-11-16,2,-697.5,0,0.0,2,-697.5,0,0.0
2021-11-17,1,-505.0,0,0.0,1,-505.0,0,0.0
2021-11-22,0,0.0,0,0.0,1,-467.5,0,0.0
2021-11-29,0,0.0,0,0.0,0,0.0,0,0.0
2021-11-30,1,-555.0,0,0.0,1,-555.0,0,0.0
2021-12-06,3,-1927.5,0,0.0,2,-1285.0,0,0.0
2021-12-07,0,0.0,0,0.0,0,0.0,0,0.0
2021-12-13,1,357.5,0,0.0,0,0.0,0,0.0
2021-12-14,0,0.0,0,0.0,0,0.0,0,0.0
2021-12-15,2,3490.0,0,0.0,1,-755.0,0,0.0
2021-12-16,2,3752.5,0,0.0,2,3752.5,0,0.0
