dir,regime,with_trend,net,adr,hold,wide,mae_pts,eod_move,fill_hour,entry_px,Date,yr,gap,vix_prev,sma20,above
L,BULL,True,-280.0,17.77,18,5.25,21.0,-10.5,9,1690.0,2010-07-06,2010,1.154,30.12,1726.4,False
S,BEAR,True,-305.0,18.85,50,5.75,6.5,-5.5,11,1726.25,2010-07-12,2010,0.072,24.98,1723.525,True
L,BULL,True,-280.0,17.35,14,5.25,9.5,-2.0,11,1748.5,2010-07-14,2010,0.1,24.56,1722.05,True
S,BEAR,True,-267.5,16.48,35,5.0,12.5,-7.25,10,1738.5,2010-07-15,2010,0.014,24.89,1721.1125,True
L,BULL,True,1020.0,18.05,66,5.5,0.75,20.75,9,1715.25,2010-07-20,2010,0.625,25.97,1715.3625,False
L,BULL,True,407.5,18.05,15,5.5,0.75,8.5,13,1727.5,2010-07-20,2010,0.625,25.97,1715.3625,True
S,BEAR,True,707.5,18.32,51,5.5,3.25,14.5,10,1733.75,2010-07-21,2010,0.259,23.93,1714.875,True
L,BULL,True,-117.5,17.27,55,5.25,5.0,-2.0,10,1746.0,2010-07-22,2010,0.843,25.64,1713.7125,True
L,BULL,True,170.0,17.48,22,5.25,3.75,3.75,13,1752.75,2010-07-23,2010,0.072,24.63,1714.625,True
S,BEAR,True,-30.0,18.48,48,5.5,2.0,-0.25,11,1766.5,2010-07-27,2010,0.411,22.73,1717.8875,True
S,BEAR,True,-292.5,18.5,10,5.5,11.0,-3.25,11,1749.0,2010-07-29,2010,0.427,24.25,1725.6,True
L,BULL,True,232.5,19.0,55,5.75,5.0,5.0,10,1750.75,2010-07-30,2010,0.585,24.13,1729.3375,True
L,BULL,True,132.5,16.32,37,5.0,2.5,3.0,12,1777.25,2010-08-04,2010,0.113,22.63,1743.825,True
S,BEAR,True,-192.5,14.85,54,4.5,3.75,-3.5,10,1775.75,2010-08-05,2010,0.421,22.21,1747.1,True
L,BULL,True,-217.5,13.38,21,4.0,5.5,-5.25,13,1736.5,2010-08-13,2010,0.115,25.73,1755.425,False
L,BULL,True,-217.5,12.97,23,4.0,10.0,-10.0,13,1751.5,2010-08-18,2010,0.057,24.33,1757.125,False
S,BEAR,True,220.0,13.47,58,4.0,2.25,4.75,10,1731.25,2010-08-19,2010,0.029,24.59,1758.2375,False
S,BEAR,True,-217.5,13.47,35,4.0,7.0,0.0,11,1726.5,2010-08-19,2010,0.029,24.59,1758.2375,False
S,BEAR,True,-242.5,14.72,22,4.5,6.25,-5.75,11,1720.75,2010-08-20,2010,0.043,26.44,1757.3625,False
