book,filter,n,meanR,win%,net$,PF,$/trade
T1,ALL 2E,3340,-0.103,44.9,-108000,0.816,-32.3
T1,SB strong (ibs>=.7 & dir & rng>=ABR),459,-0.068,46.6,-19695,0.822,-42.9
T1,SB weak (ibs<.4),783,-0.045,47.8,-9402,0.922,-12.0
T1,SB dirok only,1774,-0.138,43.1,-74420,0.78,-42.0
T1,SB big (rngx>=1),851,-0.069,46.5,-30242,0.846,-35.5
T1,EMA side ok,2123,-0.087,45.6,-53340,0.849,-25.1
T1,EMA wrong side,821,-0.128,43.6,-33255,0.769,-40.5
T1,EMA touch pullback,876,-0.128,43.6,-31205,0.808,-35.6
T1,EMA far (+1.5 ATR beyond),558,-0.047,47.7,-4828,0.944,-8.7
T1,WITH-TREND regime,1186,-0.099,45.0,-37430,0.81,-31.6
T1,WT + SB strong,180,-0.111,44.4,-9225,0.779,-51.2
T1,WT + EMA side ok,1069,-0.091,45.5,-30308,0.826,-28.4
T1,WT + EMA touch,304,-0.138,43.1,-13595,0.759,-44.7
T1,WT + SB strong + EMA side,170,-0.106,44.7,-9988,0.748,-58.8
T1,WT + SB strong + EMA touch,65,-0.262,36.9,-9188,0.512,-141.3
T1,BROOKS FULL: WT+SBstrong+side+touch,65,-0.262,36.9,-9188,0.512,-141.3
T2,ALL 2E,3340,-0.162,27.9,-174212,0.775,-52.2
T2,SB strong (ibs>=.7 & dir & rng>=ABR),459,-0.137,28.8,-41758,0.72,-91.0
T2,SB weak (ibs<.4),783,-0.115,29.5,-31928,0.809,-40.8
T2,SB dirok only,1774,-0.187,27.1,-104582,0.762,-59.0
T2,SB big (rngx>=1),851,-0.157,28.1,-69942,0.738,-82.2
T2,EMA side ok,2123,-0.127,29.1,-83602,0.821,-39.4
T2,EMA wrong side,821,-0.258,24.7,-58905,0.691,-71.7
T2,EMA touch pullback,876,-0.161,28.0,-48592,0.772,-55.5
T2,EMA far (+1.5 ATR beyond),558,-0.07,31.0,-10290,0.911,-18.4
T2,WITH-TREND regime,1186,-0.127,29.1,-50718,0.803,-42.8
T2,WT + SB strong,180,-0.017,32.8,-4588,0.911,-25.5
T2,WT + EMA side ok,1069,-0.102,29.9,-33420,0.851,-31.3
T2,WT + EMA touch,304,-0.112,29.6,-12320,0.825,-40.5
T2,WT + SB strong + EMA side,170,0.006,33.5,-2688,0.943,-15.8
T2,WT + SB strong + EMA touch,65,-0.123,29.2,-6038,0.713,-92.9
T2,BROOKS FULL: WT+SBstrong+side+touch,65,-0.123,29.2,-6038,0.713,-92.9
