Date,book,dir,fill_bar,net
2021-07-02,FADE-L,L,9,720.0
2021-07-13,FADE-L,L,12,-405.0
2021-07-13,WT-S,S,60,357.5
2021-07-14,WT-S,S,39,95.0
2021-07-15,FADE-S,S,14,-442.5
2021-08-02,WT-S,S,6,1132.5
2021-08-02,WT-S,S,44,545.0
2021-08-10,FADE-L,L,22,-55.0
2021-08-16,FADE-L,L,52,670.0
2021-08-17,WT-S,S,53,-530.0
2021-08-20,WT-S,S,24,-555.0
2021-08-20,WT-L,L,58,120.0
2021-08-25,FADE-L,L,9,245.0
2021-08-25,WT-L,L,47,-80.0
2021-08-26,WT-S,S,17,-505.0
2021-08-26,WT-S,S,63,307.5
2021-08-27,WT-L,L,21,232.5
2021-08-27,WT-L,L,50,-142.5
2021-08-30,WT-L,L,33,-205.0
2021-08-31,WT-L,L,16,195.0
2021-08-31,FADE-L,L,54,157.5
2021-09-08,WT-S,S,29,-330.0
2021-09-10,FADE-S,S,12,1457.5
2021-09-10,FADE-S,S,56,1257.5
2021-09-14,FADE-S,S,13,-417.5
2021-09-15,FADE-S,S,14,-455.0
2021-09-16,WT-S,S,22,-505.0
2021-09-16,WT-L,L,62,7.5
2021-09-17,WT-S,S,57,332.5
2021-09-27,WT-L,L,19,-367.5
2021-09-29,FADE-S,S,12,370.0
2021-09-29,FADE-L,L,40,57.5
2021-10-01,FADE-S,S,15,-805.0
2021-10-01,WT-L,L,34,1507.5
2021-10-04,WT-S,S,37,-867.5
2021-10-05,WT-L,L,25,-867.5
2021-10-12,FADE-L,L,11,-930.0
2021-10-13,FADE-L,L,14,882.5
2021-10-18,WT-L,L,56,282.5
2021-10-19,WT-L,L,6,1007.5
2021-10-19,WT-L,L,14,782.5
2021-10-19,WT-L,L,44,357.5
2021-10-20,WT-L,L,23,-42.5
2021-10-22,WT-S,S,8,357.5
2021-10-22,WT-S,S,32,-617.5
2021-10-22,FADE-L,L,48,-92.5
2021-10-27,WT-S,S,18,-505.0
2021-10-27,FADE-S,S,29,-505.0
2021-10-27,WT-L,L,59,-505.0
2021-10-28,WT-L,L,27,-480.0
2021-10-29,WT-S,S,13,-467.5
2021-11-02,FADE-L,L,13,107.5
2021-11-04,WT-L,L,14,-505.0
2021-11-04,WT-S,S,28,-505.0
2021-11-05,WT-S,S,59,332.5
2021-11-08,FADE-S,S,19,70.0
2021-11-09,WT-S,S,38,-467.5
2021-11-12,FADE-L,L,7,1457.5
2021-11-15,WT-S,S,14,7.5
2021-11-15,FADE-L,L,42,195.0
2021-11-16,FADE-S,S,9,-492.5
2021-11-16,WT-L,L,30,-205.0
2021-11-16,WT-L,L,45,-492.5
2021-11-17,WT-S,S,12,-505.0
2021-11-30,WT-S,S,25,-555.0
2021-11-30,FADE-S,S,41,-555.0
2021-12-06,WT-L,L,6,-642.5
2021-12-06,FADE-S,S,24,-642.5
2021-12-06,WT-L,L,53,-642.5
2021-12-06,WT-L,L,59,-642.5
2021-12-13,FADE-S,S,10,845.0
2021-12-13,WT-S,S,47,357.5
2021-12-15,WT-S,S,35,-755.0
2021-12-15,WT-L,L,50,4245.0
2021-12-15,FADE-L,L,64,2595.0
2021-12-16,WT-S,S,17,2270.0
2021-12-16,WT-S,S,27,1482.5
2021-12-21,FADE-L,L,18,2645.0
2021-12-22,FADE-L,L,20,845.0
2021-12-23,FADE-L,L,12,-117.5
2021-12-27,WT-L,L,27,1045.0
2021-12-28,FADE-S,S,16,120.0
2021-12-29,WT-S,S,16,-17.5
2021-12-30,FADE-L,L,11,-880.0
2021-12-31,WT-S,S,17,145.0
2022-01-04,WT-S,S,10,882.5
2022-01-04,WT-S,S,59,-642.5
2022-01-05,WT-S,S,54,3457.5
2022-01-11,FADE-S,S,12,-742.5
2022-01-12,FADE-S,S,47,-367.5
2022-01-13,FADE-S,S,12,3032.5
2022-01-20,WT-S,S,36,5757.5
2022-01-20,WT-S,S,51,4907.5
2022-01-21,WT-S,S,53,2445.0
2022-01-28,FADE-L,L,15,4682.5
2022-01-31,FADE-L,L,16,1695.0
2022-02-01,WT-S,S,15,-1830.0
2022-02-01,FADE-S,S,64,-1830.0
2022-02-02,WT-L,L,52,-905.0
2022-02-07,FADE-S,S,18,720.0
2022-02-07,WT-S,S,37,-80.0
2022-02-08,FADE-L,L,13,2182.5
2022-02-14,FADE-S,S,12,-1167.5
2022-02-14,FADE-S,S,59,-1167.5
2022-02-16,WT-S,S,10,-1042.5
2022-02-16,FADE-L,L,19,1257.5
2022-02-18,FADE-S,S,15,345.0
2022-02-23,WT-S,S,27,-1067.5
2022-02-23,FADE-S,S,57,1545.0
2022-03-01,WT-S,S,13,1482.5
2022-03-01,WT-S,S,22,1007.5
2022-03-02,WT-L,L,32,70.0
2022-03-02,WT-L,L,56,-805.0
2022-03-07,WT-S,S,51,2145.0
2022-03-08,FADE-L,L,58,-1542.5
2022-03-11,FADE-L,L,59,-1505.0
2022-03-14,WT-L,L,11,-1367.5
2022-03-14,WT-L,L,20,-1367.5
2022-03-22,FADE-L,L,14,107.5
2022-03-23,WT-L,L,12,-1255.0
2022-03-24,FADE-L,L,43,1270.0
2022-03-30,WT-S,S,26,207.5
2022-03-31,FADE-L,L,61,-905.0
2022-04-01,FADE-S,S,9,-217.5
2022-04-05,FADE-S,S,33,-805.0
2022-04-07,WT-S,S,27,-855.0
2022-04-07,WT-S,S,36,-855.0
2022-04-07,WT-S,S,52,-855.0
2022-04-08,FADE-L,L,16,-255.0
2022-04-13,WT-L,L,17,1557.5
2022-04-13,WT-L,L,32,907.5
2022-04-13,WT-L,L,47,295.0
