f1,f2,n,$/tr,PF,maxDD,train,test
none,,829,67.4,1.17,-21420,"+18,982/1.13","+36,922/1.21"
gap_abs<=q3,,650,135.3,1.4,-14330,"+42,822/1.44","+45,102/1.37"
gap_abs>=q1,,620,37.7,1.09,-22738,-362/1.0,"+23,762/1.18"
prev_ratio<=q3,,630,76.0,1.2,-17680,"+2,698/1.02","+45,202/1.37"
prev_ratio>=q1,,597,42.4,1.1,-22755,"+15,085/1.13","+10,255/1.08"
adr_trend<=q3,,604,125.7,1.35,-15838,"+28,100/1.25","+47,805/1.45"
adr_trend>=q1,,578,41.0,1.1,-18675,"+3,922/1.03","+19,775/1.16"
vix_prev<=q3,,702,95.1,1.28,-20272,"+22,610/1.24","+44,118/1.3"
vix_prev>=q1,,527,55.4,1.12,-28328,"+24,822/1.2","+4,380/1.04"
not_monday,,672,110.2,1.29,-16838,"+20,958/1.17","+53,095/1.39"
not_friday,,672,59.2,1.15,-20492,"+21,318/1.18","+18,472/1.13"
gap_abs<=q3,vix_prev<=q3,588,126.7,1.4,-14138,"+29,352/1.4","+45,145/1.4"
gap_abs<=q3,not_monday,538,173.5,1.51,-12822,"+41,198/1.52","+52,150/1.5"
gap_abs<=q3,not_friday,537,115.1,1.33,-14062,"+36,275/1.45","+25,540/1.25"
gap_abs>=q1,vix_prev<=q3,504,96.6,1.27,-17610,"+17,722/1.25","+30,958/1.29"
gap_abs>=q1,not_monday,500,79.8,1.19,-15395,"+4,405/1.04","+35,520/1.34"
gap_abs>=q1,not_friday,500,15.6,1.04,-17230,"+2,115/1.02","+5,660/1.05"
prev_ratio<=q3,vix_prev<=q3,543,118.0,1.36,-17428,"+10,912/1.15","+53,160/1.51"
prev_ratio<=q3,not_monday,526,105.5,1.28,-16750,-440/1.0,"+55,935/1.59"
prev_ratio<=q3,not_friday,508,90.1,1.25,-15332,"+15,705/1.18","+30,055/1.3"
adr_trend<=q3,vix_prev<=q3,517,146.8,1.46,-14485,"+22,825/1.3","+53,052/1.59"
vix_prev<=q3,not_monday,575,136.5,1.4,-16838,"+22,350/1.29","+56,112/1.48"
vix_prev<=q3,not_friday,568,74.7,1.22,-19345,"+21,498/1.28","+20,938/1.17"
not_monday,not_friday,515,112.5,1.29,-16402,"+23,292/1.25","+34,645/1.33"
