dir,regime,with_trend,net,adr,hold,wide,mae_pts,eod_move,fill_hour,Date,yr,gap,vix_prev,sma50,sma100,ret20,ret50,below50,below100,sma50_dn,downtrend,pre21,net30,netd
L,BULL,True,-267.5,16.9,17,5.0,6.0,-1.75,13,2010-06-25,2010,0.145,29.74,,,,,0.0,0.0,0.0,0.0,True,-267.5,-105.0
L,BULL,True,-280.0,17.77,3,5.25,6.25,0.0,13,2010-07-01,2010,0.104,34.54,,,,,0.0,0.0,0.0,0.0,True,-280.0,-17.5
L,BULL,True,-280.0,17.35,14,5.25,9.5,-2.0,11,2010-07-14,2010,0.1,24.56,,,-0.011191386881994614,,0.0,0.0,0.0,0.0,True,-280.0,-367.5
L,BULL,True,170.0,17.48,22,5.25,3.75,3.75,13,2010-07-23,2010,0.072,24.63,,,0.010575112270027498,,0.0,0.0,0.0,0.0,True,170.0,170.0
L,BULL,True,132.5,16.32,37,5.0,2.5,3.0,12,2010-08-04,2010,0.113,22.63,,,0.05611789222983021,,0.0,0.0,0.0,0.0,True,132.5,132.5
L,BULL,True,-217.5,13.38,21,4.0,5.5,-5.25,13,2010-08-13,2010,0.115,25.73,,,-0.006301016754976407,,0.0,0.0,0.0,0.0,True,-217.5,-280.0
L,BULL,True,-217.5,12.97,23,4.0,10.0,-10.0,13,2010-08-18,2010,0.057,24.33,1738.91,,0.004752304147465525,0.01839147569697852,0.0,0.0,0.0,0.0,True,-217.5,-280.0
S,BEAR,True,-242.5,14.72,22,4.5,6.25,-5.75,11,2010-08-20,2010,0.043,26.44,1739.345,,-0.010034403669724745,-0.0063309352517985085,1.0,0.0,0.0,0.0,True,-242.5,-242.5
S,BEAR,True,245.0,14.03,48,4.25,3.25,5.25,11,2010-08-23,2010,0.217,25.49,1739.015,,-0.01707941929974377,-0.009466437177280573,1.0,0.0,0.0,0.0,True,245.0,245.0
S,BEAR,True,607.5,17.07,42,5.0,1.75,12.5,11,2010-08-30,2010,0.218,24.45,1734.06,,-0.020646447387156486,-0.02619283590542265,1.0,0.0,1.0,1.0,True,607.5,607.5
S,BEAR,True,520.0,17.07,20,5.0,0.75,10.75,13,2010-08-30,2010,0.218,24.45,1734.06,,-0.020646447387156486,-0.02619283590542265,1.0,0.0,1.0,1.0,True,520.0,520.0
S,BEAR,True,-55.0,17.52,25,5.25,1.25,-0.75,13,2010-08-31,2010,0.074,27.21,1732.745,,-0.043190770962295955,-0.037231030577576485,1.0,0.0,1.0,1.0,True,-55.0,-55.0
L,BULL,True,-42.5,15.5,30,4.75,4.5,-0.5,12,2010-09-08,2010,0.086,23.8,1734.66,,-0.015915492957746524,0.03327417923691223,0.0,0.0,0.0,0.0,True,-42.5,-42.5
L,BULL,True,107.5,13.88,53,4.25,2.75,2.5,10,2010-09-10,2010,0.171,22.81,1737.77,,0.013546620550511701,0.048137108792846606,0.0,0.0,0.0,0.0,True,107.5,107.5
L,BULL,True,-192.5,11.85,30,3.5,11.5,-8.25,11,2010-09-23,2010,0.532,22.51,1749.69,,0.04340201665935983,0.022044088176352616,0.0,0.0,0.0,0.0,True,-192.5,-255.0
L,BULL,True,132.5,12.78,37,3.75,2.25,3.0,12,2010-09-28,2010,0.112,22.54,1753.335,,0.0544037641523305,0.04259959290491433,0.0,0.0,0.0,0.0,True,132.5,132.5
L,BULL,True,-217.5,13.43,26,4.0,5.5,-0.5,12,2010-09-29,2010,0.125,22.6,1754.55,,0.05196135831381743,0.0349942396313363,0.0,0.0,0.0,0.0,True,-217.5,-280.0
L,BULL,True,245.0,14.2,58,4.25,0.25,5.25,10,2010-10-05,2010,0.489,23.53,1758.315,,0.016761363636363713,0.013881019830028318,0.0,0.0,0.0,0.0,True,245.0,245.0
L,BULL,True,232.5,13.8,74,4.25,4.0,5.0,9,2010-10-08,2010,0.041,21.56,1761.43,,0.030427982368832707,0.03395634184619767,0.0,0.0,0.0,0.0,True,232.5,232.5
