Date,engine,dir,net
2021-07-07,NEW,L,282.5
2021-07-13,OLD,S,357.5
2021-07-13,NEW,S,357.5
2021-07-14,OLD,S,95.0
2021-07-14,NEW,S,95.0
2021-08-02,OLD,S,1132.5
2021-08-02,OLD,S,545.0
2021-08-02,NEW,S,1132.5
2021-08-02,NEW,S,545.0
2021-08-17,OLD,S,-530.0
2021-08-17,NEW,S,-530.0
2021-08-20,OLD,S,-555.0
2021-08-20,OLD,L,120.0
2021-08-20,NEW,S,-555.0
2021-08-20,NEW,L,120.0
2021-08-25,OLD,L,-80.0
2021-08-25,NEW,L,-80.0
2021-08-26,OLD,S,-505.0
2021-08-26,OLD,S,307.5
2021-08-26,NEW,S,-505.0
2021-08-26,NEW,S,307.5
2021-08-27,OLD,L,232.5
2021-08-27,OLD,L,-142.5
2021-08-27,NEW,L,232.5
2021-08-27,NEW,L,-142.5
2021-08-30,OLD,L,-205.0
2021-08-30,NEW,L,-205.0
2021-08-31,OLD,L,195.0
2021-08-31,NEW,L,195.0
2021-09-03,NEW,S,-380.0
2021-09-08,OLD,S,-330.0
2021-09-08,NEW,S,-330.0
2021-09-16,OLD,S,-505.0
2021-09-16,OLD,L,7.5
2021-09-16,NEW,S,-505.0
2021-09-16,NEW,L,7.5
2021-09-17,OLD,S,332.5
2021-09-17,NEW,S,520.0
2021-09-17,NEW,S,332.5
2021-09-27,OLD,L,-367.5
2021-09-27,NEW,L,-367.5
2021-10-01,OLD,L,1507.5
2021-10-01,NEW,L,1507.5
2021-10-04,OLD,S,-867.5
2021-10-04,NEW,S,-867.5
2021-10-05,OLD,L,-867.5
2021-10-05,NEW,L,-867.5
2021-10-18,OLD,L,282.5
2021-10-18,NEW,L,282.5
2021-10-19,OLD,L,1007.5
2021-10-19,OLD,L,782.5
2021-10-19,OLD,L,357.5
2021-10-19,NEW,L,1007.5
2021-10-19,NEW,L,782.5
2021-10-19,NEW,L,357.5
2021-10-20,OLD,L,-42.5
2021-10-20,NEW,L,-42.5
2021-10-22,OLD,S,357.5
2021-10-22,OLD,S,-617.5
2021-10-22,NEW,S,357.5
2021-10-22,NEW,S,-617.5
2021-10-27,OLD,S,-505.0
2021-10-27,OLD,L,-505.0
2021-10-27,NEW,S,-505.0
2021-10-27,NEW,L,-505.0
2021-10-28,OLD,L,-480.0
2021-10-28,NEW,L,-480.0
2021-10-29,OLD,S,-467.5
2021-10-29,NEW,S,-467.5
2021-11-04,OLD,L,-505.0
2021-11-04,OLD,S,-505.0
2021-11-04,NEW,L,-505.0
2021-11-04,NEW,S,-505.0
2021-11-05,OLD,S,332.5
2021-11-09,OLD,S,-467.5
2021-11-09,NEW,S,-467.5
2021-11-15,OLD,S,7.5
2021-11-15,NEW,S,7.5
2021-11-15,NEW,S,-267.5
2021-11-16,OLD,L,-205.0
2021-11-16,OLD,L,-492.5
2021-11-16,NEW,L,-205.0
2021-11-16,NEW,L,-492.5
2021-11-17,OLD,S,-505.0
2021-11-17,NEW,S,-505.0
2021-11-30,OLD,S,-555.0
2021-11-30,NEW,S,-555.0
2021-12-06,OLD,L,-642.5
2021-12-06,OLD,L,-642.5
2021-12-06,OLD,L,-642.5
2021-12-06,NEW,L,-642.5
2021-12-06,NEW,L,-642.5
2021-12-06,NEW,L,-642.5
2021-12-13,OLD,S,357.5
2021-12-13,NEW,L,-705.0
2021-12-13,NEW,S,357.5
2021-12-15,OLD,S,-755.0
2021-12-15,OLD,L,4245.0
2021-12-15,NEW,S,-755.0
2021-12-15,NEW,L,4245.0
2021-12-16,OLD,S,2270.0
2021-12-16,OLD,S,1482.5
2021-12-16,NEW,S,2270.0
2021-12-16,NEW,S,1482.5
2021-12-27,OLD,L,1045.0
2021-12-27,NEW,L,1045.0
2021-12-29,OLD,S,-17.5
2021-12-29,NEW,S,-17.5
2021-12-31,OLD,S,145.0
2021-12-31,NEW,S,145.0
2022-01-04,OLD,S,882.5
2022-01-04,OLD,S,-642.5
2022-01-04,NEW,S,882.5
2022-01-04,NEW,S,-642.5
2022-01-05,OLD,S,3457.5
2022-01-05,NEW,S,3457.5
2022-01-12,NEW,S,-317.5
2022-01-13,NEW,L,-842.5
2022-01-20,OLD,S,5757.5
2022-01-20,OLD,S,4907.5
2022-01-20,NEW,S,5757.5
2022-01-20,NEW,S,4907.5
2022-01-21,OLD,S,2445.0
2022-01-21,NEW,S,2445.0
2022-02-01,OLD,S,-1830.0
2022-02-01,NEW,S,-1830.0
2022-02-01,NEW,S,-1830.0
2022-02-02,OLD,L,-905.0
2022-02-02,NEW,L,-905.0
2022-02-07,OLD,S,-80.0
2022-02-07,NEW,S,-80.0
2022-02-16,OLD,S,-1042.5
2022-02-16,NEW,S,-1042.5
2022-02-16,NEW,S,-1042.5
2022-02-23,OLD,S,-1067.5
2022-02-23,NEW,S,-1067.5
2022-03-01,OLD,S,1482.5
2022-03-01,OLD,S,1007.5
2022-03-01,NEW,S,1482.5
2022-03-01,NEW,S,1007.5
2022-03-02,OLD,L,70.0
2022-03-02,OLD,L,-805.0
2022-03-02,NEW,L,70.0
2022-03-02,NEW,L,-805.0
2022-03-07,OLD,S,2145.0
2022-03-07,NEW,S,2145.0
2022-03-14,OLD,L,-1367.5
2022-03-14,OLD,L,-1367.5
2022-03-14,NEW,L,-1367.5
2022-03-14,NEW,L,-1367.5
2022-03-23,OLD,L,-1255.0
2022-03-23,NEW,L,-1255.0
2022-03-30,OLD,S,207.5
2022-04-07,OLD,S,-855.0
2022-04-07,OLD,S,-855.0
2022-04-07,OLD,S,-855.0
2022-04-07,NEW,S,-855.0
2022-04-07,NEW,S,-855.0
2022-04-07,NEW,S,-855.0
2022-04-13,OLD,L,1557.5
2022-04-13,OLD,L,907.5
2022-04-13,OLD,L,295.0
2022-04-13,NEW,L,1557.5
2022-04-13,NEW,L,907.5
2022-04-13,NEW,L,295.0
2022-04-14,OLD,S,1832.5
2022-04-14,NEW,S,1832.5
2022-04-27,OLD,S,-1317.5
2022-04-27,NEW,S,-1317.5
2022-04-29,OLD,S,3407.5
2022-04-29,NEW,S,3407.5
2022-05-04,OLD,L,-1567.5
2022-05-04,NEW,L,-1567.5
2022-05-16,OLD,L,457.5
2022-05-16,OLD,L,7.5
2022-05-16,NEW,L,457.5
2022-05-16,NEW,L,7.5
2022-05-16,NEW,L,-1642.5
2022-05-19,OLD,S,-1542.5
2022-05-19,NEW,S,-1542.5
2022-05-25,OLD,L,1095.0
2022-05-25,NEW,L,1095.0
2022-05-26,OLD,L,-717.5
2022-05-26,NEW,L,-717.5
2022-06-02,OLD,L,3732.5
2022-06-02,OLD,L,2745.0
2022-06-02,NEW,L,3732.5
2022-06-02,NEW,L,2745.0
2022-06-09,OLD,S,3632.5
2022-06-09,NEW,S,3632.5
2022-06-14,OLD,S,907.5
2022-06-14,NEW,S,907.5
2022-06-28,OLD,S,1832.5
2022-06-28,OLD,S,1170.0
2022-06-28,NEW,S,1832.5
2022-06-28,NEW,S,1170.0
2022-07-21,OLD,L,107.5
2022-07-21,NEW,L,107.5
2022-07-22,OLD,S,520.0
2022-07-22,NEW,S,520.0
2022-07-28,OLD,L,1432.5
2022-07-28,OLD,L,495.0
2022-07-28,NEW,L,1432.5
2022-07-28,NEW,L,495.0
2022-08-02,OLD,L,-992.5
2022-08-02,NEW,L,-992.5
2022-08-04,OLD,L,-980.0
2022-08-04,NEW,L,-980.0
2022-08-23,NEW,S,482.5
2022-08-24,OLD,S,-342.5
2022-08-24,NEW,S,-342.5
2022-08-25,NEW,L,1132.5
2022-08-30,OLD,S,-5.0
2022-08-30,OLD,S,-842.5
2022-08-30,NEW,S,-5.0
2022-08-30,NEW,S,-842.5
2022-09-07,OLD,L,1695.0
2022-09-07,NEW,L,1695.0
2022-09-08,OLD,S,-880.0
2022-09-08,NEW,S,-880.0
2022-09-14,OLD,S,-555.0
2022-09-14,NEW,S,-555.0
2022-09-21,OLD,L,-980.0
2022-09-21,NEW,L,-980.0
2022-09-28,OLD,L,1970.0
2022-09-28,OLD,L,945.0
2022-09-28,OLD,L,1082.5
2022-09-28,NEW,L,1970.0
2022-09-28,NEW,L,945.0
2022-09-28,NEW,L,1082.5
2022-10-03,OLD,L,1245.0
2022-10-03,OLD,L,995.0
2022-10-03,NEW,L,1245.0
2022-10-03,NEW,L,995.0
2022-10-06,OLD,L,-1130.0
2022-10-06,NEW,L,-1130.0
2022-10-12,OLD,S,370.0
2022-10-12,NEW,S,370.0
2022-10-20,OLD,L,-1267.5
2022-10-20,OLD,S,382.5
2022-10-20,NEW,L,-1267.5
2022-10-20,NEW,S,382.5
2022-10-21,OLD,S,-1305.0
2022-10-21,NEW,S,-1305.0
2022-10-21,NEW,L,2045.0
2022-10-27,OLD,S,2070.0
2022-10-27,NEW,S,2070.0
2022-11-02,OLD,S,-1155.0
2022-11-02,NEW,S,-1155.0
2022-11-02,NEW,S,-1155.0
