side,h,N,N_base,mean_bp,median_bp,up%,t,excess_bp,src,tf,event,null_N,null_mean_bp,edge_vs_null_bp
long,1,6,1273,17.0,10.5,66.7,1.18,13.3,real24h,daily,compress_bo,18.0,-17.6,34.6
long,3,6,1271,-3.1,1.3,50.0,-0.08,-14.1,real24h,daily,compress_bo,18.0,13.7,-16.8
long,5,6,1269,4.7,33.7,83.3,0.07,-13.1,real24h,daily,compress_bo,18.0,-9.9,14.6
long,10,6,1264,-7.9,-54.5,50.0,-0.1,-42.9,real24h,daily,compress_bo,18.0,26.4,-34.3
long,20,6,1254,80.1,129.7,66.7,0.57,11.4,real24h,daily,compress_bo,17.0,-34.3,114.4
short,1,7,1273,-45.3,-15.1,28.6,-1.14,-41.6,real24h,daily,compress_bo,9.0,14.6,-59.9
short,3,7,1271,-92.8,-64.5,14.3,-2.33,-81.8,real24h,daily,compress_bo,9.0,11.6,-104.4
short,5,7,1269,-9.8,12.5,57.1,-0.29,8.0,real24h,daily,compress_bo,9.0,-8.4,-1.4
short,10,7,1264,-67.9,-128.1,14.3,-0.81,-32.9,real24h,daily,compress_bo,9.0,-110.7,42.8
short,20,7,1254,25.2,-137.0,42.9,0.17,93.9,real24h,daily,compress_bo,9.0,-374.2,399.4
long,1,15,1273,24.0,29.8,60.0,1.22,20.3,real24h,daily,kelt_pull,414.0,5.2,18.8
long,3,15,1271,54.7,74.1,80.0,2.13,43.8,real24h,daily,kelt_pull,413.0,11.7,43.0
long,5,15,1269,38.0,93.2,73.3,0.89,20.1,real24h,daily,kelt_pull,413.0,12.4,25.6
long,10,15,1264,33.6,139.1,60.0,0.54,-1.4,real24h,daily,kelt_pull,410.0,22.5,11.1
long,20,14,1254,79.3,199.9,64.3,1.02,10.6,real24h,daily,kelt_pull,410.0,30.9,48.4
short,1,15,1273,-15.5,-19.0,40.0,-0.53,-11.7,real24h,daily,kelt_pull,320.0,-4.4,-11.1
short,3,15,1271,10.0,60.5,60.0,0.21,21.0,real24h,daily,kelt_pull,319.0,-5.0,15.0
short,5,15,1269,-53.4,-63.3,33.3,-0.89,-35.6,real24h,daily,kelt_pull,319.0,12.2,-65.6
short,10,15,1264,-33.7,11.1,53.3,-0.3,1.3,real24h,daily,kelt_pull,319.0,44.8,-78.5
short,20,15,1254,-112.8,-110.4,26.7,-0.93,-44.1,real24h,daily,kelt_pull,314.0,42.4,-155.2
long,1,51,1273,9.2,9.6,52.9,1.28,5.5,real24h,daily,donch100,1172.0,-0.2,9.4
long,3,51,1271,2.7,7.6,54.9,0.21,-8.3,real24h,daily,donch100,1169.0,0.7,2.0
long,5,51,1269,11.1,18.0,58.8,0.72,-6.7,real24h,daily,donch100,1169.0,-6.1,17.2
long,10,51,1264,30.7,33.8,62.7,1.49,-4.3,real24h,daily,donch100,1165.0,-2.6,33.3
long,20,51,1254,39.7,132.0,58.8,1.0,-29.1,real24h,daily,donch100,1155.0,8.9,30.8
short,1,15,1273,-10.5,-12.8,40.0,-0.3,-6.7,real24h,daily,donch100,1027.0,2.4,-12.9
short,3,15,1271,4.3,-79.0,46.7,0.05,15.3,real24h,daily,donch100,1026.0,2.6,1.7
short,5,15,1269,-51.8,-60.9,46.7,-0.76,-33.9,real24h,daily,donch100,1024.0,-4.4,-47.4
short,10,15,1264,-173.8,-258.1,33.3,-1.69,-138.8,real24h,daily,donch100,1022.0,-3.8,-170.0
short,20,15,1254,-252.3,-309.2,33.3,-1.72,-183.6,real24h,daily,donch100,1012.0,-1.3,-251.0
long,1,45,1273,8.0,9.6,53.3,1.09,4.3,real24h,daily,donch260,671.0,0.9,7.1
long,3,45,1271,8.9,15.5,57.8,0.73,-2.0,real24h,daily,donch260,670.0,5.7,3.2
long,5,45,1269,8.2,15.1,57.8,0.53,-9.6,real24h,daily,donch260,670.0,-6.3,14.5
long,10,45,1264,25.9,27.6,60.0,1.19,-9.1,real24h,daily,donch260,666.0,0.8,25.1
long,20,45,1254,49.6,132.0,60.0,1.28,-19.1,real24h,daily,donch260,658.0,11.0,38.6
short,1,3,1273,-77.6,-39.5,33.3,-1.26,-73.9,real24h,daily,donch260,565.0,1.9,-79.5
short,3,3,1271,-332.6,-241.6,33.3,-1.42,-321.6,real24h,daily,donch260,565.0,5.6,-338.2
short,5,3,1269,-294.4,-266.0,0.0,-2.05,-276.5,real24h,daily,donch260,565.0,6.2,-300.6
short,10,3,1264,-221.9,-162.3,33.3,-1.12,-186.9,real24h,daily,donch260,563.0,16.6,-238.5
short,20,3,1254,-582.8,-370.6,0.0,-2.39,-514.1,real24h,daily,donch260,558.0,30.3,-613.1
