Date,dir,K,exit,net
2021-07-07,S,3,eod,-205.0
2021-07-07,S,3,term,-205.0
2021-07-07,S,5,eod,-205.0
2021-07-07,S,5,term,-205.0
2021-07-13,L,2,eod,-205.0
2021-07-13,L,2,term,-167.5
2021-07-13,L,3,eod,-205.0
2021-07-13,L,3,term,-167.5
2021-07-13,L,5,eod,-205.0
2021-07-13,L,5,term,-167.5
2021-07-15,S,2,eod,-205.0
2021-07-15,S,2,term,-205.0
2021-07-15,S,3,eod,-205.0
2021-07-15,S,3,term,-205.0
2021-07-15,S,5,eod,-205.0
2021-07-15,S,5,term,-205.0
2021-07-16,S,3,eod,-205.0
2021-07-16,S,3,term,-205.0
2021-07-16,S,5,eod,-205.0
2021-07-16,S,5,term,-205.0
2021-07-20,L,3,eod,982.5
2021-07-20,L,3,term,320.0
2021-07-20,L,5,eod,982.5
2021-07-20,L,5,term,320.0
2021-08-11,S,5,eod,-205.0
2021-08-11,S,5,term,7.5
2021-08-16,L,2,eod,682.5
2021-08-16,L,2,term,-205.0
2021-08-16,L,3,eod,682.5
2021-08-16,L,3,term,-205.0
2021-08-16,L,5,eod,682.5
2021-08-16,L,5,term,-205.0
2021-08-17,L,5,eod,-205.0
2021-08-17,L,5,term,-205.0
2021-08-23,L,5,eod,132.5
2021-08-23,L,5,term,220.0
2021-08-25,L,2,eod,-205.0
2021-08-25,L,2,term,-192.5
2021-08-25,L,3,eod,-205.0
2021-08-25,L,3,term,-192.5
2021-08-25,L,5,eod,-205.0
2021-08-25,L,5,term,-192.5
2021-08-26,S,3,eod,607.5
2021-08-26,S,3,term,-130.0
2021-08-26,S,5,eod,607.5
2021-08-26,S,5,term,-130.0
2021-09-10,S,2,eod,-205.0
2021-09-10,S,2,term,120.0
2021-09-10,S,3,eod,-205.0
2021-09-10,S,3,term,120.0
2021-09-10,S,5,eod,-205.0
2021-09-10,S,5,term,120.0
2021-09-10,S,2,eod,1270.0
2021-09-10,S,2,term,-205.0
2021-09-10,S,3,eod,1270.0
2021-09-10,S,3,term,-205.0
2021-09-10,S,5,eod,1270.0
2021-09-10,S,5,term,-205.0
2021-09-13,S,2,eod,-205.0
2021-09-13,S,2,term,-205.0
2021-09-13,S,3,eod,-205.0
2021-09-13,S,3,term,-205.0
2021-09-13,S,5,eod,-205.0
2021-09-13,S,5,term,-205.0
2021-09-14,S,2,eod,-205.0
2021-09-14,S,2,term,-105.0
2021-09-14,S,3,eod,-205.0
2021-09-14,S,3,term,-105.0
2021-09-14,S,5,eod,-205.0
2021-09-14,S,5,term,-105.0
2021-09-17,S,5,eod,-205.0
2021-09-17,S,5,term,-167.5
2021-09-21,S,2,eod,-205.0
2021-09-21,S,2,term,-205.0
2021-09-21,S,3,eod,-205.0
2021-09-21,S,3,term,-205.0
2021-09-21,S,5,eod,-205.0
2021-09-21,S,5,term,-205.0
2021-10-01,S,2,eod,-205.0
2021-10-01,S,2,term,-205.0
2021-10-01,S,3,eod,-205.0
2021-10-01,S,3,term,-205.0
2021-10-01,S,5,eod,-205.0
2021-10-01,S,5,term,-205.0
2021-10-11,S,5,eod,-205.0
2021-10-11,S,5,term,-205.0
2021-10-13,L,2,eod,-205.0
2021-10-13,L,2,term,-205.0
2021-10-13,L,3,eod,-205.0
2021-10-13,L,3,term,-205.0
2021-10-13,L,5,eod,-205.0
2021-10-13,L,5,term,-205.0
2021-10-14,L,5,eod,-205.0
2021-10-14,L,5,term,-117.5
2021-10-21,L,5,eod,507.5
2021-10-21,L,5,term,-205.0
2021-10-22,L,2,eod,-205.0
2021-10-22,L,2,term,-205.0
