[200/1267] rows=316 (67s)
[400/1267] rows=720 (151s)
[600/1267] rows=1040 (224s)
[800/1267] rows=1364 (293s)
[1000/1267] rows=1656 (378s)
[1200/1267] rows=1980 (456s)

DONE 483s rows=2112 -> C:\Users\Admin\myquant-regime\data\regime\failed2e_20260723.csv
 K exit  dir  n_tr  net_tr  PF_tr  n_te  net_te  PF_te
 2  eod both   152    2640   1.10   149    2055   1.08
 2  eod    S    81    5508   1.38    60    3588   1.34
 2  eod    L    71   -2868   0.77    89   -1532   0.90
 2 term both   152   -9610   0.61   149   -3082   0.87
 2 term    S    81   -6218   0.54    60   -3575   0.66
 2 term    L    71   -3392   0.69    89     492   1.04
 3  eod both   171    3232   1.11   175    1650   1.06
 3  eod    S    88    6572   1.43    69    1742   1.14
 3  eod    L    83   -3340   0.77   106     -92   0.99
 3 term both   171  -10380   0.62   175   -3925   0.86
 3 term    S    88   -7065   0.52    69   -3508   0.70
 3 term    L    83   -3315   0.74   106    -418   0.97
 5  eod both   205    -838   0.98   204    1405   1.04
 5  eod    S   102    4152   1.23    86    2445   1.16
 5  eod    L   103   -4990   0.72   118   -1040   0.95
 5 term both   205  -12725   0.60   204   -5820   0.82
 5 term    S   102   -8048   0.52    86   -4055   0.73
 5 term    L   103   -4678   0.70   118   -1765   0.90
