Date,dir,count,gate,exit,net
2021-06-18,L,1,base,eod,-205.0
2021-06-18,L,1,base,term,-205.0
2021-06-18,L,1,base,oppo,-205.0
2021-06-18,L,1,base,t4p,-205.0
2021-06-18,L,1,base,t8p,-205.0
2021-06-18,L,1,sticky,eod,-205.0
2021-06-18,L,1,sticky,term,-205.0
2021-06-18,L,1,sticky,oppo,-205.0
2021-06-18,L,1,sticky,t4p,-205.0
2021-06-18,L,1,sticky,t8p,-205.0
2021-06-18,L,1,closec,eod,-205.0
2021-06-18,L,1,closec,term,-205.0
2021-06-18,L,1,closec,oppo,-205.0
2021-06-18,L,1,closec,t4p,-205.0
2021-06-18,L,1,closec,t8p,-205.0
2021-06-21,L,1,base,eod,732.5
2021-06-21,L,1,base,term,-205.0
2021-06-21,L,1,base,oppo,-205.0
2021-06-21,L,1,base,t4p,195.0
2021-06-21,L,1,base,t8p,395.0
2021-06-21,L,1,sticky,eod,732.5
2021-06-21,L,1,sticky,term,-205.0
2021-06-21,L,1,sticky,oppo,-205.0
2021-06-21,L,1,sticky,t4p,195.0
2021-06-21,L,1,sticky,t8p,395.0
2021-06-21,L,1,closec,eod,732.5
2021-06-21,L,1,closec,term,-205.0
2021-06-21,L,1,closec,oppo,-205.0
2021-06-21,L,1,closec,t4p,195.0
2021-06-21,L,1,closec,t8p,395.0
2021-06-21,L,2,base,eod,657.5
2021-06-21,L,2,base,term,-205.0
2021-06-21,L,2,base,oppo,-205.0
2021-06-21,L,2,base,t4p,195.0
2021-06-21,L,2,base,t8p,395.0
2021-06-21,L,2,sticky,eod,657.5
2021-06-21,L,2,sticky,term,-205.0
2021-06-21,L,2,sticky,oppo,-205.0
2021-06-21,L,2,sticky,t4p,195.0
2021-06-21,L,2,sticky,t8p,395.0
2021-06-21,L,2,closec,eod,657.5
2021-06-21,L,2,closec,term,-205.0
2021-06-21,L,2,closec,oppo,-205.0
2021-06-21,L,2,closec,t4p,195.0
2021-06-21,L,2,closec,t8p,395.0
2021-06-21,L,1,base,eod,607.5
2021-06-21,L,1,base,term,-205.0
2021-06-21,L,1,base,oppo,-205.0
2021-06-21,L,1,base,t4p,195.0
2021-06-21,L,1,base,t8p,395.0
2021-06-21,L,1,sticky,eod,607.5
2021-06-21,L,1,sticky,term,-205.0
2021-06-21,L,1,sticky,oppo,-205.0
2021-06-21,L,1,sticky,t4p,195.0
2021-06-21,L,1,sticky,t8p,395.0
2021-06-21,L,1,closec,eod,607.5
2021-06-21,L,1,closec,term,-205.0
2021-06-21,L,1,closec,oppo,-205.0
2021-06-21,L,1,closec,t4p,195.0
2021-06-21,L,1,closec,t8p,395.0
2021-06-21,L,2,base,eod,657.5
2021-06-21,L,2,base,term,-205.0
2021-06-21,L,2,base,oppo,-205.0
2021-06-21,L,2,base,t4p,195.0
2021-06-21,L,2,base,t8p,395.0
2021-06-21,L,2,sticky,eod,657.5
2021-06-21,L,2,sticky,term,-205.0
2021-06-21,L,2,sticky,oppo,-205.0
2021-06-21,L,2,sticky,t4p,195.0
2021-06-21,L,2,sticky,t8p,395.0
2021-06-21,L,2,closec,eod,657.5
2021-06-21,L,2,closec,term,-205.0
2021-06-21,L,2,closec,oppo,-205.0
2021-06-21,L,2,closec,t4p,195.0
2021-06-21,L,2,closec,t8p,395.0
2021-06-21,L,1,base,eod,320.0
2021-06-21,L,1,base,term,-205.0
2021-06-21,L,1,base,oppo,-205.0
2021-06-21,L,1,base,t4p,195.0
2021-06-21,L,1,base,t8p,-205.0
2021-06-21,L,1,sticky,eod,320.0
2021-06-21,L,1,sticky,term,-205.0
2021-06-21,L,1,sticky,oppo,-205.0
2021-06-21,L,1,sticky,t4p,195.0
2021-06-21,L,1,sticky,t8p,-205.0
2021-06-21,L,1,closec,eod,320.0
2021-06-21,L,1,closec,term,-205.0
2021-06-21,L,1,closec,oppo,-205.0
2021-06-21,L,1,closec,t4p,195.0
2021-06-21,L,1,closec,t8p,-205.0
2021-06-21,L,2,base,eod,382.5
2021-06-21,L,2,base,term,-205.0
2021-06-21,L,2,base,oppo,-205.0
2021-06-21,L,2,base,t4p,195.0
2021-06-21,L,2,base,t8p,-205.0
2021-06-21,L,2,sticky,eod,382.5
2021-06-21,L,2,sticky,term,-205.0
2021-06-21,L,2,sticky,oppo,-205.0
2021-06-21,L,2,sticky,t4p,195.0
2021-06-21,L,2,sticky,t8p,-205.0
2021-06-21,L,2,closec,eod,382.5
2021-06-21,L,2,closec,term,-205.0
2021-06-21,L,2,closec,oppo,-205.0
2021-06-21,L,2,closec,t4p,195.0
2021-06-21,L,2,closec,t8p,-205.0
2021-06-22,L,1,base,eod,870.0
2021-06-22,L,1,base,term,-205.0
2021-06-22,L,1,base,oppo,-205.0
2021-06-22,L,1,base,t4p,195.0
2021-06-22,L,1,base,t8p,395.0
2021-06-22,L,1,sticky,eod,870.0
2021-06-22,L,1,sticky,term,-205.0
2021-06-22,L,1,sticky,oppo,-205.0
2021-06-22,L,1,sticky,t4p,195.0
2021-06-22,L,1,sticky,t8p,395.0
2021-06-22,L,1,closec,eod,870.0
2021-06-22,L,1,closec,term,-205.0
2021-06-22,L,1,closec,oppo,-205.0
