gap days: 296 of 1267 (up 140 / down 156)
[60/296] rows=1193 (34s)
[120/296] rows=2373 (71s)
[180/296] rows=3481 (104s)

DONE 170s rows=5653 -> C:\Users\Admin\myquant-regime\data\regime\gapday_alt_signals_20260724.csv

signal            variant   dir  n    $/tr   PF    train        | test
1E-WT            chase    S    377   -28.5  0.95    -1338/0.99 |    -9422/0.91
1E-WT            chase    L    365   -44.9  0.92    +9398/1.11 |   -25785/0.79
1E-WT            retest6  S    326   -82.8  0.86    -5260/0.94 |   -21732/0.78
1E-WT            retest6  L    301   +22.1  1.04   +15090/1.22 |    -8445/0.92
RevFT:Trap       adrstop  S    234   -42.2  0.92   -26925/0.61 |   +17042/1.27
RevFT:Trap       natstop  S    234   -91.1  0.78   -20050/0.58 |    -1270/0.98
RevFT:Trap       adrstop  L    231   -78.5  0.86   -12095/0.81 |    -6048/0.91
RevFT:Trap       natstop  L    231   -27.6  0.93    -7270/0.83 |     +890/1.02
MC:CC4           adrstop  L    174  +141.6  1.34    +9700/1.27 |   +14942/1.41
MC:CC4           natstop  L    174  +134.6  1.29   +13188/1.36 |   +10230/1.23
MC:CC3           adrstop  L    158   +20.9  1.04    +5658/1.13 |    -2360/0.94
MC:CC3           natstop  L    158   +77.4  1.15   +12132/1.31 |      +90/1.00
MC:CC4           adrstop  S    136  +203.4  1.37    -5695/0.86 |   +33352/2.01
MC:CC4           natstop  S    136  +244.3  1.44   -11058/0.76 |   +44278/2.52
MC:CC3           adrstop  S    131  -124.5  0.81   -20665/0.57 |    +4360/1.11
MC:CC3           natstop  S    131   -25.3  0.96   -16028/0.63 |   +12710/1.35
MC:CC5           adrstop  L    119   -76.1  0.85    -9822/0.67 |     +765/1.02
MC:CC5           natstop  L    119  -136.1  0.75   -11060/0.61 |    -5135/0.86
RevFT:Sneaky     adrstop  L    117  -174.1  0.71   -19978/0.53 |     -395/0.99
RevFT:Sneaky     natstop  L    117   -76.6  0.83   -13665/0.57 |    +4705/1.22
RevFT:Sneaky     adrstop  S    108   +54.3  1.11    +6040/1.26 |     -180/0.99
RevFT:Sneaky     natstop  S    108  +111.0  1.29    +8815/1.50 |    +3170/1.13
MC:CC5           adrstop  S    102  +111.4  1.22    -8218/0.69 |   +19582/1.78
MC:CC5           natstop  S    102  +115.6  1.22    -7318/0.72 |   +19108/1.72
RevFT:IB         adrstop  S     92  +271.6  1.70     +895/1.04 |   +24095/3.31
RevFT:IB         natstop  S     92  +214.6  1.68    -1718/0.92 |   +21458/3.40
RevFT:BO         adrstop  L     90  +253.3  1.57    +8502/1.53 |   +14298/1.60
RevFT:BO         adrstop  S     90  +183.6  1.35    +4920/1.21 |   +11605/1.50
RevFT:BO         natstop  L     90  +218.9  1.54    +3240/1.20 |   +16460/1.79
RevFT:BO         natstop  S     90   +60.4  1.11    +1382/1.07 |    +4055/1.15
RevFT:IB         adrstop  L     87  -148.8  0.76    -9425/0.70 |    -3522/0.84
RevFT:IB         natstop  L     87    +8.8  1.02    +2150/1.11 |    -1385/0.92
RevFT:OB         adrstop  S     71  -194.6  0.66   -19792/0.24 |    +5975/1.41
RevFT:OB         natstop  S     71  -195.7  0.63   -17368/0.22 |    +3475/1.22
RevFT:OB         adrstop  L     68   +13.0  1.02    +3840/1.22 |    -2955/0.85
RevFT:OB         natstop  L     68    -4.1  0.99    +5265/1.38 |    -5542/0.73
MC:CC2           adrstop  S     62   -64.9  0.88    -2168/0.86 |    -1855/0.90
MC:CC2           natstop  S     62   -36.9  0.93    -1992/0.87 |     -292/0.98
MC:CC2           adrstop  L     56   +85.2  1.15    -2775/0.78 |    +7545/1.38
MC:CC2           natstop  L     56  +154.2  1.29    -2812/0.77 |   +11445/1.65

-- aggregates (all types) --
1E-WT    chase    L    365   -44.9  0.92    +9398/1.11 |   -25785/0.79
1E-WT    chase    S    377   -28.5  0.95    -1338/0.99 |    -9422/0.91
1E-WT    retest6  L    301   +22.1  1.04   +15090/1.22 |    -8445/0.92
1E-WT    retest6  S    326   -82.8  0.86    -5260/0.94 |   -21732/0.78
MC       adrstop  L    514   +59.4  1.12    +8068/1.07 |   +22462/1.18
MC       adrstop  S    440   +45.7  1.08   -32398/0.76 |   +52522/1.44
MC       natstop  L    514   +68.1  1.14   +16805/1.14 |   +18200/1.13
MC       natstop  S    440   +88.8  1.16   -32048/0.76 |   +71135/1.62
RevFT    adrstop  L    593   -46.8  0.92   -29155/0.83 |    +1378/1.01
RevFT    adrstop  S    595   +39.8  1.08   -34862/0.79 |   +58538/1.41
RevFT    natstop  L    593    +8.2  1.02   -10280/0.92 |   +15128/1.12
RevFT    natstop  S    595    +3.3  1.01   -28938/0.77 |   +30888/1.24
