Date,signal,variant,dir,net
2021-07-08,1E-WT,chase,S,-317.5
2021-07-08,1E-WT,retest6,S,-317.5
2021-07-08,RevFT:Trap,natstop,L,657.5
2021-07-08,RevFT:Trap,adrstop,L,-317.5
2021-07-08,RevFT:Sneaky,natstop,S,-267.5
2021-07-08,RevFT:Sneaky,adrstop,S,-317.5
2021-07-08,RevFT:Trap,natstop,S,482.5
2021-07-08,RevFT:Trap,adrstop,S,482.5
2021-07-08,MC:CC2,natstop,L,-930.0
2021-07-08,MC:CC2,adrstop,L,-317.5
2021-07-08,MC:CC3,natstop,S,295.0
2021-07-08,MC:CC3,adrstop,S,295.0
2021-07-08,MC:CC4,natstop,S,270.0
2021-07-08,MC:CC4,adrstop,S,270.0
2021-07-08,MC:CC5,natstop,S,207.5
2021-07-08,MC:CC5,adrstop,S,207.5
2021-07-08,MC:CC2,natstop,S,-430.0
2021-07-08,MC:CC2,adrstop,S,-317.5
2021-07-19,1E-WT,chase,S,-492.5
2021-07-19,1E-WT,retest6,S,-492.5
2021-07-19,RevFT:IB,natstop,L,-667.5
2021-07-19,RevFT:IB,adrstop,L,-492.5
2021-07-19,RevFT:Trap,natstop,L,-680.0
2021-07-19,RevFT:Trap,adrstop,L,-492.5
2021-07-19,RevFT:Sneaky,natstop,S,-467.5
2021-07-19,RevFT:Sneaky,adrstop,S,-492.5
2021-07-19,RevFT:Trap,natstop,S,-280.0
2021-07-19,RevFT:Trap,adrstop,S,-105.0
2021-07-19,RevFT:Sneaky,natstop,L,-405.0
2021-07-19,RevFT:Sneaky,adrstop,L,-492.5
2021-07-19,RevFT:OB,natstop,S,-617.5
2021-07-19,RevFT:OB,adrstop,S,-492.5
2021-07-19,MC:CC2,natstop,S,-380.0
2021-07-19,MC:CC2,adrstop,S,-492.5
2021-07-19,MC:CC4,natstop,S,-505.0
2021-07-19,MC:CC4,adrstop,S,-492.5
2021-07-19,MC:CC3,natstop,L,-780.0
2021-07-19,MC:CC3,adrstop,L,-492.5
2021-07-19,MC:CC3,natstop,L,-830.0
2021-07-19,MC:CC3,adrstop,L,-492.5
2021-07-19,MC:CC3,natstop,S,-705.0
2021-07-19,MC:CC3,adrstop,S,-492.5
2021-07-19,MC:CC4,natstop,S,-930.0
2021-07-19,MC:CC4,adrstop,S,-492.5
2021-07-19,MC:CC4,natstop,S,-705.0
2021-07-19,MC:CC4,adrstop,S,-492.5
2021-08-09,RevFT:Sneaky,natstop,S,-230.0
2021-08-09,RevFT:Sneaky,adrstop,S,-230.0
2021-08-09,RevFT:IB,natstop,S,-117.5
2021-08-09,RevFT:IB,adrstop,S,-92.5
2021-08-09,RevFT:Trap,natstop,S,107.5
2021-08-09,RevFT:Trap,adrstop,S,107.5
2021-08-19,RevFT:Sneaky,natstop,S,-655.0
2021-08-19,RevFT:Sneaky,adrstop,S,-555.0
2021-08-19,RevFT:OB,natstop,L,-1017.5
2021-08-19,RevFT:OB,adrstop,L,-555.0
2021-08-19,RevFT:Sneaky,natstop,S,-42.5
2021-08-19,RevFT:Sneaky,adrstop,S,-42.5
2021-08-19,RevFT:OB,natstop,S,-492.5
2021-08-19,RevFT:OB,adrstop,S,-555.0
