Date,scope,variant,net
2021-07-08,GAP,chase,-317.5
2021-07-08,GAP,retest2,-317.5
2021-07-08,GAP,retest4,-317.5
2021-07-08,GAP,retest6,-317.5
2021-07-13,NRM,cxl1,357.5
2021-07-13,NRM,cxl2,357.5
2021-07-13,NRM,cxl3,357.5
2021-07-13,NRM,cxl6,357.5
2021-07-13,NRM,cxl12,357.5
2021-07-13,NRM,cxl999,357.5
2021-07-14,NRM,cxl1,95.0
2021-07-14,NRM,cxl2,95.0
2021-07-14,NRM,cxl3,95.0
2021-07-14,NRM,cxl6,95.0
2021-07-14,NRM,cxl12,95.0
2021-07-14,NRM,cxl999,95.0
2021-07-19,GAP,chase,-492.5
2021-07-19,GAP,retest2,-492.5
2021-07-19,GAP,retest4,-492.5
2021-07-19,GAP,retest6,-492.5
2021-08-02,NRM,cxl1,1132.5
2021-08-02,NRM,cxl2,1132.5
2021-08-02,NRM,cxl3,1132.5
2021-08-02,NRM,cxl6,1132.5
2021-08-02,NRM,cxl12,1132.5
2021-08-02,NRM,cxl999,1132.5
2021-08-02,NRM,cxl6,545.0
2021-08-02,NRM,cxl12,545.0
2021-08-02,NRM,cxl999,545.0
2021-08-17,NRM,cxl6,-530.0
2021-08-17,NRM,cxl12,-530.0
2021-08-17,NRM,cxl999,-530.0
2021-08-20,NRM,cxl1,-555.0
2021-08-20,NRM,cxl2,-555.0
2021-08-20,NRM,cxl3,-555.0
2021-08-20,NRM,cxl6,-555.0
2021-08-20,NRM,cxl12,-555.0
2021-08-20,NRM,cxl999,-555.0
2021-08-20,NRM,cxl6,120.0
2021-08-20,NRM,cxl12,120.0
2021-08-20,NRM,cxl999,120.0
2021-08-25,NRM,cxl6,-80.0
2021-08-25,NRM,cxl12,-80.0
2021-08-25,NRM,cxl999,-80.0
2021-08-26,NRM,cxl1,-505.0
2021-08-26,NRM,cxl2,-505.0
2021-08-26,NRM,cxl3,-505.0
2021-08-26,NRM,cxl6,-505.0
2021-08-26,NRM,cxl12,-505.0
2021-08-26,NRM,cxl999,-505.0
2021-08-26,NRM,cxl1,307.5
2021-08-26,NRM,cxl2,307.5
2021-08-26,NRM,cxl3,307.5
2021-08-26,NRM,cxl6,307.5
2021-08-26,NRM,cxl12,307.5
2021-08-26,NRM,cxl999,307.5
2021-08-27,NRM,cxl1,232.5
2021-08-27,NRM,cxl2,232.5
2021-08-27,NRM,cxl3,232.5
2021-08-27,NRM,cxl6,232.5
2021-08-27,NRM,cxl12,232.5
2021-08-27,NRM,cxl999,232.5
2021-08-27,NRM,cxl1,-142.5
2021-08-27,NRM,cxl2,-142.5
2021-08-27,NRM,cxl3,-142.5
2021-08-27,NRM,cxl6,-142.5
2021-08-27,NRM,cxl12,-142.5
2021-08-27,NRM,cxl999,-142.5
2021-08-30,NRM,cxl6,-205.0
2021-08-30,NRM,cxl12,-205.0
2021-08-30,NRM,cxl999,-205.0
2021-08-31,NRM,cxl1,195.0
2021-08-31,NRM,cxl2,195.0
2021-08-31,NRM,cxl3,195.0
2021-08-31,NRM,cxl6,195.0
2021-08-31,NRM,cxl12,195.0
2021-08-31,NRM,cxl999,195.0
2021-09-08,NRM,cxl1,-330.0
2021-09-08,NRM,cxl2,-330.0
2021-09-08,NRM,cxl3,-330.0
2021-09-08,NRM,cxl6,-330.0
2021-09-08,NRM,cxl12,-330.0
2021-09-08,NRM,cxl999,-330.0
2021-09-16,NRM,cxl1,-505.0
2021-09-16,NRM,cxl2,-505.0
2021-09-16,NRM,cxl3,-505.0
2021-09-16,NRM,cxl6,-505.0
2021-09-16,NRM,cxl12,-505.0
2021-09-16,NRM,cxl999,-505.0
2021-09-16,NRM,cxl2,7.5
2021-09-16,NRM,cxl3,7.5
2021-09-16,NRM,cxl6,7.5
2021-09-16,NRM,cxl12,7.5
2021-09-16,NRM,cxl999,7.5
2021-09-17,NRM,cxl1,332.5
2021-09-17,NRM,cxl2,332.5
2021-09-17,NRM,cxl3,332.5
2021-09-17,NRM,cxl6,332.5
2021-09-17,NRM,cxl12,332.5
2021-09-17,NRM,cxl999,332.5
2021-09-22,GAP,chase,132.5
2021-09-22,GAP,retest2,170.0
2021-09-22,GAP,retest4,195.0
2021-09-22,GAP,retest6,220.0
2021-09-27,NRM,cxl999,-180.0
2021-09-27,NRM,cxl1,-367.5
2021-09-27,NRM,cxl2,-367.5
2021-09-27,NRM,cxl3,-367.5
2021-09-27,NRM,cxl6,-367.5
2021-09-27,NRM,cxl12,-367.5
2021-09-27,NRM,cxl999,-367.5
2021-10-01,NRM,cxl1,1507.5
2021-10-01,NRM,cxl2,1507.5
2021-10-01,NRM,cxl3,1507.5
2021-10-01,NRM,cxl6,1507.5
2021-10-01,NRM,cxl12,1507.5
2021-10-01,NRM,cxl999,1507.5
2021-10-04,NRM,cxl1,-867.5
2021-10-04,NRM,cxl2,-867.5
2021-10-04,NRM,cxl3,-867.5
