cell,n,netR,ci_lo,ci_hi,wr,pf,net,yrs_pos,yrs
A all_mc,5540,0.04159768747484094,0.011568726519004516,0.07125038077315388,37.581227436823106,1.1323681031870585,248283.1,6,6
B stackv2 (frozen book),2925,0.13455248690086455,0.0901828064964268,0.1792748230264487,39.55555555555556,1.3270404388256436,332909.50000000006,6,6
C stackv2+gap,2234,0.13529634619929864,0.08475761190091265,0.18491871829928283,39.48075201432408,1.3253747606525261,235972.26,5,6
D stackv2+regime,1429,0.1504939270840058,0.08492069345569106,0.21403814119723946,39.7480755773268,1.3319125389025706,157319.56,5,6
E stackv2+gap+regime,1069,0.1715185760052223,0.09797953478182678,0.2469873267358093,40.598690364826936,1.446418828448433,140764.15999999997,5,6
F (F2+F3)+regime [F1 swap],1985,0.10746179018098598,0.05388434394903623,0.16016531506889412,38.539042821158695,1.2480148870207106,158907.90000000002,5,6
G (F2+F3)+regime+gap,1472,0.12314102649683696,0.06121063431822774,0.1858280257892965,39.19836956521739,1.3439258740998548,146044.58000000002,5,6
H all_mc+regime(wt),2626,0.04727804687627157,0.003966713783841357,0.0919086396250989,37.357197258187355,1.0917507003009284,80250.64,5,6
I stackv2+notcounter,2776,0.1349584762222651,0.08992991287745854,0.18113186451094493,39.66138328530259,1.3221943679537114,316734.14,6,6
J (F2+F3)+notcounter [F1 swap],3898,0.09016411685244445,0.053063128280966466,0.12675068220714614,38.19907644946126,1.2473432367262518,327229.7200000001,6,6
K stackv2+notcounter+gap,2118,0.13842045094229963,0.08714642696655736,0.19125659704430314,39.754485363550515,1.3294779974574338,230153.02,5,6
