Date,dir,variant,net
2021-07-08,S,base,-317.5
2021-07-08,S,be1.0,-317.5
2021-07-08,S,be0.5,-317.5
2021-07-08,S,tight6,-317.5
2021-07-08,S,scale2x,-317.5
2021-07-08,S,retest2,-317.5
2021-07-08,S,retest6,-317.5
2021-07-09,L,base,370.0
2021-07-09,L,be1.0,370.0
2021-07-09,L,be0.5,370.0
2021-07-09,L,tight6,370.0
2021-07-09,L,scale2x,370.0
2021-07-09,L,retest2,345.0
2021-07-13,S,base,332.5
2021-07-13,S,be1.0,332.5
2021-07-13,S,be0.5,-17.5
2021-07-13,S,tight6,-17.5
2021-07-13,S,scale2x,332.5
2021-07-13,S,retest2,307.5
2021-07-13,S,retest6,357.5
2021-07-14,S,base,70.0
2021-07-14,S,be1.0,70.0
2021-07-14,S,be0.5,-17.5
2021-07-14,S,tight6,65.0
2021-07-14,S,scale2x,70.0
2021-07-14,S,retest2,45.0
2021-07-14,S,retest6,95.0
2021-07-19,S,base,-492.5
2021-07-19,S,be1.0,-492.5
2021-07-19,S,be0.5,-492.5
2021-07-19,S,tight6,-492.5
2021-07-19,S,scale2x,-492.5
2021-07-19,S,retest2,-492.5
2021-07-19,S,retest6,-492.5
2021-08-02,S,base,1107.5
2021-08-02,S,be1.0,1107.5
2021-08-02,S,be0.5,1107.5
2021-08-02,S,tight6,-167.5
2021-08-02,S,scale2x,1107.5
2021-08-02,S,retest2,1082.5
2021-08-02,S,retest6,1132.5
2021-08-02,S,base,520.0
2021-08-02,S,be1.0,520.0
2021-08-02,S,be0.5,520.0
2021-08-02,S,tight6,520.0
2021-08-02,S,scale2x,520.0
2021-08-02,S,retest2,495.0
2021-08-02,S,retest6,545.0
2021-08-02,S,base,470.0
2021-08-02,S,be1.0,470.0
2021-08-02,S,be0.5,470.0
2021-08-02,S,tight6,470.0
2021-08-02,S,scale2x,470.0
2021-08-02,S,retest2,445.0
2021-08-17,S,base,-530.0
2021-08-17,S,be1.0,-530.0
2021-08-17,S,be0.5,-17.5
2021-08-17,S,tight6,-305.0
2021-08-17,S,scale2x,-530.0
2021-08-17,S,retest2,-530.0
2021-08-17,S,retest6,-530.0
2021-08-20,S,base,-555.0
2021-08-20,S,be1.0,-555.0
2021-08-20,S,be0.5,-555.0
2021-08-20,S,tight6,-42.5
2021-08-20,S,scale2x,-555.0
2021-08-20,S,retest2,-555.0
2021-08-20,S,retest6,-555.0
2021-08-20,L,base,95.0
2021-08-20,L,be1.0,95.0
2021-08-20,L,be0.5,95.0
2021-08-20,L,tight6,-180.0
2021-08-20,L,scale2x,95.0
2021-08-20,L,retest2,70.0
2021-08-20,L,retest6,120.0
2021-08-24,L,base,-217.5
2021-08-24,L,be1.0,-217.5
2021-08-24,L,be0.5,-217.5
2021-08-24,L,tight6,8.7
2021-08-24,L,scale2x,-217.5
2021-08-24,L,retest2,-242.5
2021-08-25,L,base,-105.0
2021-08-25,L,be1.0,-105.0
2021-08-25,L,be0.5,-105.0
2021-08-25,L,tight6,-30.0
2021-08-25,L,scale2x,-105.0
2021-08-25,L,retest2,-130.0
2021-08-25,L,retest6,-80.0
2021-08-26,S,base,-505.0
2021-08-26,S,be1.0,-505.0
2021-08-26,S,be0.5,-17.5
2021-08-26,S,tight6,-342.5
2021-08-26,S,scale2x,-505.0
2021-08-26,S,retest2,-505.0
2021-08-26,S,retest6,-505.0
2021-08-26,S,base,282.5
2021-08-26,S,be1.0,282.5
2021-08-26,S,be0.5,282.5
2021-08-26,S,tight6,268.8
2021-08-26,S,scale2x,282.5
2021-08-26,S,retest2,257.5
2021-08-26,S,retest6,307.5
2021-08-27,L,base,207.5
2021-08-27,L,be1.0,207.5
2021-08-27,L,be0.5,207.5
2021-08-27,L,tight6,207.5
2021-08-27,L,scale2x,207.5
2021-08-27,L,retest2,182.5
2021-08-27,L,retest6,232.5
2021-08-27,L,base,-167.5
2021-08-27,L,be1.0,-167.5
2021-08-27,L,be0.5,-167.5
2021-08-27,L,tight6,-167.5
2021-08-27,L,scale2x,-167.5
2021-08-27,L,retest2,-192.5
2021-08-27,L,retest6,-142.5
2021-08-27,S,retest2,57.5
2021-08-30,L,base,-230.0
2021-08-30,L,be1.0,-230.0
2021-08-30,L,be0.5,-230.0
2021-08-30,L,tight6,-10.0
2021-08-30,L,scale2x,-230.0
2021-08-30,L,retest2,-255.0
2021-08-30,L,retest6,-205.0
2021-08-31,L,base,170.0
2021-08-31,L,be1.0,170.0
2021-08-31,L,be0.5,-17.5
2021-08-31,L,tight6,13.8
2021-08-31,L,scale2x,170.0
2021-08-31,L,retest2,145.0
2021-08-31,L,retest6,195.0
2021-09-08,S,base,-330.0
2021-09-08,S,be1.0,-330.0
2021-09-08,S,be0.5,-330.0
2021-09-08,S,tight6,-330.0
2021-09-08,S,scale2x,-330.0
2021-09-08,S,retest2,-330.0
2021-09-08,S,retest6,-330.0
2021-09-16,S,base,-505.0
2021-09-16,S,be1.0,-505.0
2021-09-16,S,be0.5,-505.0
2021-09-16,S,tight6,-200.0
2021-09-16,S,scale2x,-505.0
2021-09-16,S,retest2,-505.0
2021-09-16,S,retest6,-505.0
2021-09-16,L,base,-17.5
2021-09-16,L,be1.0,-17.5
2021-09-16,L,be0.5,-17.5
2021-09-16,L,tight6,151.2
2021-09-16,L,scale2x,-17.5
2021-09-16,L,retest2,-42.5
2021-09-16,L,retest6,7.5
2021-09-17,S,base,307.5
2021-09-17,S,be1.0,307.5
2021-09-17,S,be0.5,-17.5
2021-09-17,S,tight6,-142.5
2021-09-17,S,scale2x,307.5
2021-09-17,S,retest2,282.5
2021-09-17,S,retest6,332.5
2021-09-22,L,base,195.0
2021-09-22,L,be1.0,-17.5
2021-09-22,L,be0.5,-17.5
2021-09-22,L,tight6,105.0
2021-09-22,L,scale2x,195.0
2021-09-22,L,retest2,170.0
2021-09-22,L,retest6,220.0
2021-09-27,L,base,-205.0
2021-09-27,L,be1.0,-205.0
2021-09-27,L,be0.5,-17.5
2021-09-27,L,tight6,151.9
2021-09-27,L,scale2x,-205.0
2021-09-27,L,retest2,-230.0
2021-09-27,L,retest6,-180.0
2021-09-27,L,base,-392.5
2021-09-27,L,be1.0,-392.5
2021-09-27,L,be0.5,-392.5
2021-09-27,L,tight6,-192.5
2021-09-27,L,scale2x,-392.5
2021-09-27,L,retest2,-417.5
2021-09-27,L,retest6,-367.5
2021-10-01,L,base,1482.5
2021-10-01,L,be1.0,1482.5
2021-10-01,L,be0.5,1482.5
2021-10-01,L,tight6,11.2
2021-10-01,L,scale2x,1520.0
2021-10-01,L,retest2,1457.5
2021-10-01,L,retest6,1507.5
2021-10-04,S,base,-867.5
2021-10-04,S,be1.0,-867.5
