Date,book,filled,yr
2021-07-09,2EL,False,2021
2021-07-09,2EL,False,2021
2021-07-13,2ES,True,2021
2021-07-14,2ES,True,2021
2021-08-02,2ES,True,2021
2021-08-02,2ES,True,2021
2021-08-02,2ES,False,2021
2021-08-17,2ES,True,2021
2021-08-20,2ES,True,2021
2021-08-20,2EL,True,2021
2021-08-24,2EL,False,2021
2021-08-25,2EL,True,2021
2021-08-26,2ES,True,2021
2021-08-26,2ES,True,2021
2021-08-27,2EL,True,2021
2021-08-27,2EL,False,2021
2021-08-27,2EL,True,2021
2021-08-27,2ES,False,2021
2021-08-30,2EL,True,2021
2021-08-31,2EL,True,2021
2021-09-03,2EL,False,2021
2021-09-08,2ES,True,2021
2021-09-16,2ES,True,2021
2021-09-16,2EL,True,2021
2021-09-17,2ES,True,2021
2021-09-27,2EL,False,2021
2021-09-27,2EL,True,2021
2021-10-01,2EL,True,2021
2021-10-04,2ES,True,2021
2021-10-05,2EL,True,2021
2021-10-18,2EL,False,2021
2021-10-18,2EL,True,2021
2021-10-19,2EL,True,2021
2021-10-19,2EL,True,2021
2021-10-19,2EL,False,2021
2021-10-19,2EL,True,2021
2021-10-19,2EL,False,2021
2021-10-20,2EL,True,2021
2021-10-21,2EL,False,2021
2021-10-22,2ES,True,2021
2021-10-22,2ES,True,2021
2021-10-25,2EL,False,2021
2021-10-27,2ES,True,2021
2021-10-27,2EL,True,2021
2021-10-28,2EL,True,2021
2021-10-29,2ES,True,2021
2021-10-29,2EL,False,2021
2021-10-29,2EL,False,2021
2021-11-04,2EL,True,2021
2021-11-04,2ES,True,2021
2021-11-05,2ES,True,2021
2021-11-09,2ES,True,2021
2021-11-10,2ES,False,2021
2021-11-15,2ES,True,2021
2021-11-16,2EL,True,2021
2021-11-16,2EL,True,2021
2021-11-17,2ES,True,2021
2021-11-30,2ES,True,2021
2021-12-06,2EL,True,2021
2021-12-06,2EL,True,2021
2021-12-06,2EL,True,2021
2021-12-13,2ES,True,2021
2021-12-15,2ES,True,2021
2021-12-15,2EL,True,2021
2021-12-16,2ES,True,2021
2021-12-16,2ES,True,2021
2021-12-21,2EL,False,2021
2021-12-27,2EL,True,2021
2021-12-27,2EL,False,2021
2021-12-27,2EL,False,2021
2021-12-29,2ES,True,2021
2021-12-31,2ES,True,2021
2022-01-04,2ES,True,2022
2022-01-04,2ES,False,2022
2022-01-04,2ES,True,2022
2022-01-05,2ES,True,2022
2022-01-20,2ES,True,2022
2022-01-20,2ES,False,2022
2022-01-20,2ES,True,2022
2022-01-21,2ES,True,2022
