date,spot,cr,cr_gex,ps,ps_gex,hvl,hvl_fallback,net_total_gex,regime,cr0,cr0_gex,ps0,ps0_gex,hvl0,gw0
2007-06-01,1536.3399658203125,1560.0,260603282.56426492,1475.0,-76330909.25732888,1510.0,0,652717566.8468581,positive_gamma,,,,,,
2007-06-04,1539.1800537109375,1560.0,283954652.6325418,1475.0,-74441754.69013943,1510.0,0,757089208.9947648,positive_gamma,,,,,,
2007-06-05,1530.949951171875,1540.0,230402216.42965323,1475.0,-86163107.03015836,1510.0,0,527414104.9203953,positive_gamma,,,1500.0,-959693.0496991584,,
2007-06-06,1517.3800048828125,1540.0,141572657.51154256,1500.0,-133303692.49483933,1520.0,0,-144827082.36469588,negative_gamma,,,1500.0,-1337469.0101553968,,
2007-06-07,1490.719970703125,1550.0,78916600.37602456,1475.0,-165276447.67071185,1525.0,0,-934239056.2938533,negative_gamma,,,1475.0,-926858.6336056874,,
2007-06-08,1507.6700439453125,1550.0,107712488.69400378,1500.0,-171339532.542895,1525.0,0,-578030051.0346541,negative_gamma,1515.0,231653.70268067613,1500.0,-6130952.826904373,1530.0,1515.0
2007-06-11,1509.1199951171875,1600.0,108549228.47935979,1475.0,-127098520.77493723,1525.0,0,-411660730.5197672,negative_gamma,,,,,,
2007-06-12,1493.0,1600.0,85335085.82347968,1475.0,-163536913.87717617,1525.0,0,-838027051.7218618,negative_gamma,,,,,,
2007-06-13,1515.6700439453125,1600.0,118420718.2324016,1500.0,-116186359.31207052,1520.0,0,-242144409.97506863,negative_gamma,,,1490.0,-62472381.26733891,,
2007-06-14,1522.969970703125,1600.0,139080959.20427015,1500.0,-96710098.60504842,1505.0,0,58239066.07312648,positive_gamma,,,1510.0,-34719413.07016012,,
2007-06-15,1532.9100341796875,1600.0,161473445.64358965,1500.0,-100940662.04809664,1525.0,0,-71042717.24567868,positive_gamma,,,1510.0,-14604940.699519137,,
2007-06-18,1531.050048828125,1600.0,163009596.79424813,1500.0,-113951454.86551666,1525.0,0,-99271370.13057531,positive_gamma,,,,,,
