level,pick,spec,year,n,exact,w25,medae
cr,byfit,"('cr', 2, 9999, 'm25', 'none')",2021,66,0.696969696969697,0.696969696969697,0.0
cr,byfit,"('cr', 2, 9999, 'm25', 'none')",2022,251,0.701195219123506,0.701195219123506,0.0
cr,byfit,"('cr', 2, 9999, 'm25', 'none')",2023,232,0.8103448275862069,0.8232758620689655,0.0
cr,byfit,"('cr', 2, 9999, 'm25', 'none')",2024,249,0.8835341365461847,0.891566265060241,0.0
cr,byfit,"('cr', 2, 9999, 'm25', 'none')",2025,250,0.868,0.872,0.0
cr,byfit,"('cr', 2, 9999, 'm25', 'none')",2026,133,0.9774436090225563,0.9774436090225563,0.0
cr,byhold,"('cr', 2, 9999, 'm50', 'b20')",2021,66,0.6818181818181818,0.696969696969697,0.0
cr,byhold,"('cr', 2, 9999, 'm50', 'b20')",2022,251,0.6733067729083665,0.6733067729083665,0.0
cr,byhold,"('cr', 2, 9999, 'm50', 'b20')",2023,232,0.8103448275862069,0.8189655172413793,0.0
cr,byhold,"('cr', 2, 9999, 'm50', 'b20')",2024,249,0.8875502008032129,0.8955823293172691,0.0
cr,byhold,"('cr', 2, 9999, 'm50', 'b20')",2025,250,0.868,0.876,0.0
cr,byhold,"('cr', 2, 9999, 'm50', 'b20')",2026,133,0.9774436090225563,0.9774436090225563,0.0
ps,byfit,"('ps', 2, 365, 'm100', 'b20')",2021,66,0.5909090909090909,0.5909090909090909,0.0
ps,byfit,"('ps', 2, 365, 'm100', 'b20')",2022,251,0.7091633466135459,0.7091633466135459,0.0
ps,byfit,"('ps', 2, 365, 'm100', 'b20')",2023,232,0.8362068965517241,0.8362068965517241,0.0
ps,byfit,"('ps', 2, 365, 'm100', 'b20')",2024,249,0.7831325301204819,0.7831325301204819,0.0
ps,byfit,"('ps', 2, 365, 'm100', 'b20')",2025,250,0.78,0.792,0.0
ps,byfit,"('ps', 2, 365, 'm100', 'b20')",2026,133,0.9398496240601504,0.9398496240601504,0.0
ps,byhold,"('ps', 2, 9999, 'm25', 'b15')",2021,66,0.5454545454545454,0.5454545454545454,0.0
ps,byhold,"('ps', 2, 9999, 'm25', 'b15')",2022,251,0.7051792828685259,0.7051792828685259,0.0
ps,byhold,"('ps', 2, 9999, 'm25', 'b15')",2023,232,0.8318965517241379,0.8318965517241379,0.0
ps,byhold,"('ps', 2, 9999, 'm25', 'b15')",2024,249,0.8674698795180723,0.8674698795180723,0.0
ps,byhold,"('ps', 2, 9999, 'm25', 'b15')",2025,250,0.828,0.828,0.0
ps,byhold,"('ps', 2, 9999, 'm25', 'b15')",2026,133,0.9473684210526315,0.9473684210526315,0.0
