dte,grid,side,band,meas,n_fit,exact_fit,w25_fit,medae_fit,bias_fit,n_hold,exact_hold,w25_hold,medae_hold,bias_hold,level
all,m50,none,bNone,net,549,0.6885245901639344,0.6958105646630237,0.0,0.0,632,0.7832278481012658,0.7879746835443038,0.0,0.0,cr
ex0,m50,none,bNone,net,549,0.6885245901639344,0.6958105646630237,0.0,0.0,632,0.7832278481012658,0.7879746835443038,0.0,0.0,cr
all,m100,none,bNone,net,549,0.6867030965391621,0.6885245901639344,0.0,0.0,632,0.7737341772151899,0.7753164556962026,0.0,0.0,cr
ex0,m100,none,bNone,net,549,0.6867030965391621,0.6885245901639344,0.0,0.0,632,0.7737341772151899,0.7753164556962026,0.0,0.0,cr
all,m50,ge,bNone,net,549,0.6830601092896175,0.6903460837887068,0.0,0.0,632,0.8180379746835443,0.8227848101265823,0.0,0.0,cr
all,m50,gt,bNone,net,549,0.6830601092896175,0.6903460837887068,0.0,0.0,632,0.8180379746835443,0.8227848101265823,0.0,0.0,cr
ex0,m50,ge,bNone,net,549,0.6830601092896175,0.6903460837887068,0.0,0.0,632,0.8180379746835443,0.8227848101265823,0.0,0.0,cr
ex0,m50,gt,bNone,net,549,0.6830601092896175,0.6903460837887068,0.0,0.0,632,0.8180379746835443,0.8227848101265823,0.0,0.0,cr
all,m50,none,b20,net,549,0.6757741347905283,0.6830601092896175,0.0,0.0,632,0.7848101265822784,0.7911392405063291,0.0,0.0,cr
ex0,m50,none,b20,net,549,0.6757741347905283,0.6830601092896175,0.0,0.0,632,0.7848101265822784,0.7911392405063291,0.0,0.0,cr
all,any,ge,bNone,net,549,0.6739526411657559,0.6885245901639344,0.0,0.0,632,0.7468354430379747,0.7753164556962026,0.0,0.0,cr
all,any,gt,bNone,net,549,0.6739526411657559,0.6885245901639344,0.0,0.0,632,0.7468354430379747,0.7768987341772152,0.0,0.0,cr
all,m100,none,b20,net,549,0.6739526411657559,0.6757741347905283,0.0,0.0,632,0.7753164556962026,0.7784810126582279,0.0,0.0,cr
ex0,any,ge,bNone,net,549,0.6739526411657559,0.6885245901639344,0.0,0.0,632,0.7468354430379747,0.7753164556962026,0.0,0.0,cr
ex0,any,gt,bNone,net,549,0.6739526411657559,0.6885245901639344,0.0,0.0,632,0.7468354430379747,0.7768987341772152,0.0,0.0,cr
ex0,m100,none,b20,net,549,0.6739526411657559,0.6757741347905283,0.0,0.0,632,0.7753164556962026,0.7784810126582279,0.0,0.0,cr
all,m25,none,bNone,net,549,0.6721311475409836,0.6867030965391621,0.0,0.0,632,0.740506329113924,0.7689873417721519,0.0,0.0,cr
all,m25,ge,bNone,net,549,0.6721311475409836,0.6867030965391621,0.0,0.0,632,0.7895569620253164,0.8085443037974683,0.0,0.0,cr
all,m25,gt,bNone,net,549,0.6721311475409836,0.6867030965391621,0.0,0.0,632,0.7895569620253164,0.8085443037974683,0.0,0.0,cr
ex0,m25,none,bNone,net,549,0.6721311475409836,0.6867030965391621,0.0,0.0,632,0.740506329113924,0.7689873417721519,0.0,0.0,cr
ex0,m25,ge,bNone,net,549,0.6721311475409836,0.6867030965391621,0.0,0.0,632,0.7895569620253164,0.8085443037974683,0.0,0.0,cr
ex0,m25,gt,bNone,net,549,0.6721311475409836,0.6867030965391621,0.0,0.0,632,0.7895569620253164,0.8085443037974683,0.0,0.0,cr
all,any,none,bNone,net,549,0.6703096539162113,0.6848816029143898,0.0,0.0,632,0.7025316455696202,0.7357594936708861,0.0,0.0,cr
all,m50,ge,b20,net,549,0.6703096539162113,0.6775956284153005,0.0,0.0,632,0.819620253164557,0.8259493670886076,0.0,0.0,cr
all,m50,gt,b20,net,549,0.6703096539162113,0.6775956284153005,0.0,0.0,632,0.819620253164557,0.8259493670886076,0.0,0.0,cr
all,m100,ge,bNone,net,549,0.6703096539162113,0.6703096539162113,0.0,0.0,632,0.7800632911392406,0.7816455696202531,0.0,0.0,cr
all,m100,gt,bNone,net,549,0.6703096539162113,0.6703096539162113,0.0,0.0,632,0.7800632911392406,0.7816455696202531,0.0,0.0,cr
