level,period,n,exact,within5,within25,medAE,meanAE,precision10,jaccard,pooled_r2,med_ratio,ratio_iqr
cr,fit,549,0.8142076502732241,0.8142076502732241,0.8160291438979964,0.0,26.256830601092897,,,,,
ps,fit,549,0.7413479052823315,0.7413479052823315,0.7413479052823315,0.0,50.46448087431694,,,,,
hvl,fit,549,0.13114754098360656,0.30418943533697634,0.7759562841530054,15.0,24.735883424408016,,,,,
hvl_cumB,fit,423,0.0,0.0,0.0,420.0,1459.6690307328606,,,,,
cr0,fit,551,0.24863883847549909,0.27223230490018147,0.5644283121597096,25.0,47.82214156079855,,,,,
ps0,fit,551,0.22323049001814882,0.23049001814882034,0.38656987295825773,50.0,63.98366606170599,,,,,
hvl0,fit,549,0.07468123861566485,0.16757741347905283,0.5227686703096539,25.0,44.69945355191257,,,,,
gw0,fit,551,0.25045372050816694,0.27404718693284935,0.5662431941923775,25.0,46.23411978221416,,,,,
gex10_winner_xpred,fit,550,,,,,,0.4974545454545455,0.3506546750931777,,,
gex10_winner_xtruth,fit,550,,,,,,0.5858181818181818,0.43678023761896545,,,
gex10_webB_1dband,fit,550,,,,,,0.4507272727272727,,,,
gex10_webB_1dband_excl,fit,550,,,,,,0.46709090909090906,,,,
gex_value_formula,fit,7147,,,,,,,,0.8022231816657455,0.9507577063933368,0.29190149468722626
gex_value_formula_ex2021,fit,6289,,,,,,,,0.8732683764028315,0.9631600685153978,0.17457569418695007
regime_agreement,fit,549,0.9398907103825137,,,,,,,,,
regime_agreement_cumB,fit,423,0.14420803782505912,,,,,,,,,
cr,holdout,632,0.9208860759493671,0.9208860759493671,0.9208860759493671,0.0,14.454113924050633,,,,,
ps,holdout,632,0.870253164556962,0.870253164556962,0.870253164556962,0.0,25.996835443037973,,,,,
hvl,holdout,632,0.16772151898734178,0.40031645569620256,0.9477848101265823,10.0,13.457278481012658,,,,,
hvl_cumB,holdout,437,0.0,0.0,0.0,180.0,513.0663615560641,,,,,
cr0,holdout,632,0.28164556962025317,0.33544303797468356,0.6756329113924051,20.0,28.306962025316455,,,,,
ps0,holdout,632,0.2389240506329114,0.2674050632911392,0.4319620253164557,35.0,51.70886075949367,,,,,
hvl0,holdout,632,0.08702531645569621,0.21835443037974683,0.615506329113924,20.0,35.846518987341774,,,,,
gw0,holdout,632,0.28164556962025317,0.33544303797468356,0.6756329113924051,20.0,27.610759493670887,,,,,
gex10_winner_xpred,holdout,632,,,,,,0.567879746835443,0.40853331019935635,,,
gex10_winner_xtruth,holdout,632,,,,,,0.6477848101265823,0.4912073711636258,,,
gex10_webB_1dband,holdout,632,,,,,,0.4629746835443038,,,,
gex10_webB_1dband_excl,holdout,632,,,,,,0.4784810126582278,,,,
gex_value_formula,holdout,8216,,,,,,,,0.988960928953754,0.9909256607680187,0.09898669788594883
gex_value_formula_ex2021,holdout,8216,,,,,,,,0.988960928953754,0.9909256607680187,0.09898669788594883
regime_agreement,holdout,632,0.9651898734177216,,,,,,,,,
regime_agreement_cumB,holdout,437,0.11670480549199085,,,,,,,,,
regime_agreement,all,1181,0.9534292972057579,,,,,,,,,
