year,precision,jaccard,spec,n
2021,0.4363636363636364,0.2907368610999345,max_d2_21_b30,66
2022,0.5880478087649402,0.4438148741400132,max_d2_21_b30,251
2023,0.6223175965665236,0.46464794987895214,max_d2_21_b30,233
2024,0.6261044176706827,0.46683795638437736,max_d2_21_b30,249
2025,0.658,0.5018368298368298,max_d2_21_b30,250
2026,0.6676691729323309,0.5140639619852357,max_d2_21_b30,133
2021,0.46515151515151515,0.31305187187540123,max_wexp21_b40,66
2022,0.603187250996016,0.45350689333581296,max_wexp21_b40,251
2023,0.6072961373390557,0.44671326317375293,max_wexp21_b40,233
2024,0.6,0.4370454597244108,max_wexp21_b40,249
2025,0.62,0.459015984015984,max_wexp21_b40,250
2026,0.6428571428571429,0.48589491004351687,max_wexp21_b40,133
2021,0.4318181818181818,0.28618585654893003,max_wexp21_b30,66
2022,0.5900398406374502,0.4465432214898745,max_wexp21_b30,251
2023,0.6274678111587982,0.4693331788131081,max_wexp21_b30,233
2024,0.6208835341365462,0.4591119041863195,max_wexp21_b30,249
2025,0.6532,0.49588877788877783,max_wexp21_b30,250
2026,0.6646616541353384,0.5101909368826663,max_wexp21_b30,133
