dte,band,prec_fit,jacc_fit,prec_holdout,jacc_holdout
wexp21_d2,0.04,0.5883636363636365,0.4337742619828177,0.6169303797468356,0.45601635840373816
wexp21_d2,0.03,0.5869090909090908,0.4369549923448035,0.6428797468354439,0.48440894496832765
d2_28,0.03,0.5865454545454545,0.436494614932554,0.6430379746835445,0.4850025357285232
d2_25,0.03,0.5850909090909088,0.4351202317399893,0.6438291139240506,0.48593422534692177
d2_28,0.04,0.5845454545454547,0.4297386511290251,0.6094936708860764,0.44910228040347233
d2_25,0.04,0.5843636363636364,0.429710476689086,0.6113924050632914,0.4512757398554129
d2_21,0.03,0.5843636363636362,0.4342711610246085,0.6474683544303795,0.4906208315553075
wexp14_d2,0.04,0.5838181818181818,0.4293474558715201,0.6243670886075949,0.4641392388739751
d2_21,0.04,0.5834545454545452,0.42935070574108014,0.6216772151898734,0.4625731315511666
d2_18,0.04,0.5821818181818178,0.4287603869689432,0.6257911392405066,0.46749993408593643
d2_18,0.03,0.5809090909090905,0.4311379810732468,0.6485759493670886,0.49218601680440927
wexp14_d2,0.03,0.5799999999999997,0.4297597069409619,0.6425632911392412,0.48405763488600484
wexp10_d2,0.04,0.5778181818181816,0.42379400972420944,0.6287974683544306,0.46871255399271095
d2_28,0.025,0.5754545454545452,0.4279294247673074,0.6675632911392407,0.5133419132162634
wexp14_d2,0.05,0.575454545454545,0.41798914395171083,0.6167721518987342,0.4562944372372894
d2_14,0.04,0.5752727272727264,0.4228331634903544,0.6359177215189876,0.47698253233901133
wexp21_d2,0.025,0.5745454545454545,0.4267918190575095,0.6637658227848106,0.5080392920350117
wexp21_d2,0.05,0.5745454545454544,0.4162070223300168,0.6055379746835449,0.44484034466815586
d2_25,0.025,0.5745454545454541,0.42706771072377525,0.6662974683544308,0.5120450824099387
d2_18,0.05,0.5741818181818177,0.41782920881851343,0.6183544303797469,0.45993066976871966
d2_14,0.05,0.5738181818181812,0.4193005523106846,0.6319620253164558,0.4728544083532923
d2_21,0.05,0.573454545454545,0.4161410484939896,0.6132911392405065,0.4540421753517441
wexp10_d2,0.03,0.573454545454545,0.4230801438921335,0.6419303797468358,0.4831650675377415
wexp10_d2,0.05,0.5729090909090905,0.41664220056142376,0.6251582278481016,0.4648576272738598
d2_14,0.03,0.5727272727272718,0.4237105384530093,0.6460443037974682,0.4881474269504809
d4_21,0.03,0.5718181818181813,0.4205057345319093,0.6231012658227849,0.4642484335801537
d3_14,0.04,0.5712727272727269,0.41836768322836415,0.618829113924051,0.4594850369701458
d2_14,0.0,0.5707272727272719,0.4152330935162342,0.6256329113924054,0.46655523470490057
wexp7_d2,0.04,0.5703636363636359,0.41795620959707636,0.6278481012658226,0.4674929449222079
d2_25,0.05,0.5701818181818179,0.4123270579687688,0.6003164556962027,0.44026388623373
d2_28,0.05,0.5701818181818179,0.41208765684701454,0.597943037974684,0.43776048711361454
d2_21,0.025,0.5699999999999993,0.4217297955195502,0.6634493670886077,0.5093731452629455
wexp7_d2,0.05,0.5694545454545449,0.41467425981780043,0.6251582278481012,0.4645326931486649
d3_14,0.03,0.5694545454545447,0.41921327773143136,0.6335443037974688,0.47497972625951146
d2_18,0.025,0.5674545454545445,0.41941703697684507,0.661867088607595,0.5075175687843234
wexp14_d2,0.0,0.5667272727272719,0.40838196859587234,0.6079113924050633,0.4474781650879942
d2_18,0.0,0.5663636363636355,0.40910989782647506,0.6085443037974689,0.4504490684916977
wexp14_d2,0.025,0.5661818181818177,0.4174255080067068,0.657278481012659,0.500531341745044
wexp7_d2,0.0,0.5661818181818176,0.4109556255109307,0.621518987341772,0.460720809450333
wexp7_d2,0.03,0.5659999999999994,0.41634737795587745,0.634651898734177,0.4749090830159338
wexp10_d2,0.0,0.5659999999999993,0.4091811151915289,0.6193037974683546,0.4589530004412733
d4_21,0.04,0.5658181818181812,0.41102813407626254,0.5898734177215199,0.43008980760283805
d2_21,0.0,0.5652727272727266,0.40687652513855693,0.6030063291139245,0.44423574842878677
d2_10,0.04,0.5652727272727265,0.41371212628882176,0.6311708860759494,0.4708079135433941
d3_14,0.05,0.564545454545454,0.40858238534146224,0.6140822784810129,0.4546773446624534
d5_21,0.03,0.5645454545454539,0.4125338519878342,0.6066455696202532,0.4468860749575571
d2_10,0.05,0.5641818181818173,0.4109143892664859,0.6276898734177214,0.46712317528587083
d2_10,0.0,0.5629090909090899,0.4091484969982012,0.6229430379746834,0.46231294921261434
d2_10,0.03,0.5618181818181809,0.41275685083593866,0.6370253164556959,0.4776018146038626
wexp5_d2,0.04,0.5599999999999995,0.4089170572367863,0.6185126582278483,0.45749195269857973
wexp5_d2,0.05,0.5596363636363632,0.406823506105802,0.616613924050633,0.4553909418950372
wexp21_d2,0.0,0.5594545454545448,0.400470082502168,0.5912974683544313,0.43049973006227665
wexp10_d2,0.025,0.5587272727272721,0.40978531022719,0.6517405063291146,0.4940385248696876
d2_14,0.025,0.5585454545454533,0.41078540638771377,0.6526898734177216,0.49570816789729805
d4_21,0.025,0.5583636363636358,0.40904421906392013,0.6474683544303803,0.49134466716373
d5_21,0.04,0.5583636363636358,0.4033870823175641,0.5710443037974687,0.41108301704913747
d3_14,0.0,0.5579999999999992,0.4013320747489055,0.6072784810126587,0.4480171210439275
wexp5_d2,0.0,0.5570909090909087,0.4042243732125513,0.6147151898734177,0.453343907271681
wexp5_d2,0.03,0.5569090909090905,0.40829663706528246,0.6234177215189877,0.46259529747988437
d3_14,0.025,0.556181818181817,0.40801122057102873,0.6465189873417724,0.48962011813370826
d2_25,0.0,0.5559999999999996,0.39731771793269044,0.5879746835443042,0.42824078120522663
d2_28,0.0,0.5541818181818178,0.39520907494169455,0.5854430379746838,0.42547480545432903
wexp7_d2,0.025,0.553818181818181,0.4056284925944364,0.6392405063291139,0.4798555822848454
d5_21,0.025,0.5516363636363633,0.4018203466796201,0.6349683544303801,0.47777210637877143
d4_21,0.05,0.5499999999999993,0.39197848200522034,0.5786392405063299,0.4191144288407876
d2_10,0.025,0.5487272727272717,0.40097801157469,0.6401898734177214,0.4810782649343712
d2_28,0.02,0.5439999999999987,0.4006916539382055,0.6859177215189877,0.5343476045961166
wexp5_d2,0.025,0.5419999999999995,0.3942026568046823,0.6270569620253168,0.466301413900074
d5_21,0.05,0.5418181818181806,0.3841747438538888,0.558860759493671,0.3993509670399093
d2_25,0.02,0.5410909090909078,0.39742991567646735,0.6825949367088615,0.5308645757733631
wexp21_d2,0.02,0.5409090909090898,0.3964153954373482,0.6767405063291146,0.5229377199081231
d2_21,0.02,0.5370909090909078,0.3930047597272472,0.6746835443037983,0.5225433745538
wexp14_d2,0.02,0.5347272727272714,0.39010921201886545,0.6658227848101268,0.5105700770025056
d2_18,0.02,0.534181818181817,0.39004223205883704,0.6713607594936711,0.5184796769169456
d4_21,0.0,0.5330909090909085,0.37505741139430965,0.5656645569620263,0.40719449465701923
d4_21,0.02,0.5305454545454534,0.38590833565221355,0.6669303797468359,0.5136846689341118
wexp10_d2,0.02,0.5272727272727259,0.38196733528847215,0.6558544303797474,0.4985663587674021
d3_14,0.02,0.5261818181818174,0.38163005896751967,0.6568037974683546,0.5012510422274025
d2_14,0.02,0.5261818181818171,0.3816329162909513,0.6587025316455695,0.5026152154084038
d5_21,0.02,0.5243636363636353,0.37981242621405825,0.6590189873417726,0.5039337575636916
d1_21,0.04,0.5239999999999995,0.36875988523469505,0.528955696202532,0.367948620833952
d1_21,0.03,0.5216363636363632,0.3684127968225908,0.5382911392405065,0.37647162705334664
d5_21,0.0,0.5216363636363632,0.3647453378469421,0.5435126582278484,0.38547373056352313
wexp7_d2,0.02,0.5192727272727264,0.3742085246898076,0.639240506329114,0.47983605601811113
d1_21,0.05,0.5190909090909086,0.3629222417823597,0.5270569620253167,0.3662229508515807
d2_10,0.02,0.5185454545454536,0.37362302659656954,0.6425632911392402,0.48351356232499243
d1_21,0.0,0.5152727272727267,0.3591319730399379,0.5212025316455695,0.36079575157199895
wexp5_d2,0.02,0.5123636363636359,0.36746072328397056,0.6246835443037978,0.46386646777562635
d1_21,0.025,0.5119999999999992,0.36108320269029487,0.5433544303797467,0.38098167810100037
d1_14,0.03,0.5092727272727265,0.35846180369963065,0.528639240506329,0.367211122004495
d1_14,0.05,0.5090909090909085,0.35626349039520994,0.5242088607594935,0.36314987806517973
d1_14,0.04,0.5078181818181812,0.3553224431383732,0.5248417721518984,0.36368062833997317
d1_14,0.0,0.5072727272727267,0.3545944672021225,0.5215189873417718,0.3606847488781593
d1_10,0.05,0.4994545454545446,0.3486414701725705,0.5128164556962025,0.3527519628133931
d1_14,0.025,0.49909090909090825,0.34984209445369,0.530537974683544,0.36892096692915777
d1_10,0.0,0.49890909090909014,0.34806795278087127,0.5110759493670886,0.35108231978578275
d1_10,0.04,0.4985454545454538,0.3482124925454505,0.5134493670886076,0.35330154973676997
d1_10,0.03,0.49836363636363545,0.3489107863397194,0.5156645569620254,0.3553474427450606
d1_21,0.02,0.49072727272727157,0.34388561012118507,0.5533227848101262,0.3906241954454907
d1_10,0.025,0.4890909090909081,0.34098117131328476,0.5161392405063291,0.35567866091879546
d1_14,0.02,0.47854545454545316,0.3327144586657671,0.5337025316455694,0.37208413174068433
d1_10,0.02,0.4685454545454531,0.3240696170952289,0.5189873417721517,0.3584919465410911
