eod_date,r2,spot,b0_0,b1_2,b3_5,b6_10,b11_21,b22_45,b46_90,b91_400
2021-09-27,0.9968215551480095,4447.37,0.0,222429.39812507178,52096.94677458271,-257881.68197813522,408446.7698464708,-562421.240528669,193636.2864700424,684970.0160213336
2021-09-28,0.9951590043231806,4360.37,0.0,-1348409.4305506437,337444.1717866126,2729320.2816492426,117524.7307897202,-264638.34198722604,216312.30382514687,647019.3715527738
2021-09-29,0.9979555341352272,4366.15,0.0,-86594.76439724129,2006.730026366029,926366.5150621858,438556.5756042637,-1109363.2164883898,190577.50251364097,760183.7884429541
2021-09-30,0.9849256968105521,4324.03,0.0,350373.3706429827,1169978.0452117193,-948346.6464060994,1031386.5071791983,-3230610.4085299917,-109101.50331582384,1781598.9335491399
2021-10-01,0.996291880132507,4359.43,0.0,-19199.282905547472,-145796.22284539332,507854.40389806894,196060.70678579723,224999.0484958257,144763.38113977687,603206.8334869003
2021-10-04,0.9755656355856784,4304.49,0.0,702501.8555383347,-601372.0247763481,190176.75159953715,425286.3675713592,109254.16267521607,-132973.76245441992,1580647.0626303826
2021-10-05,0.9698223072048061,4357.57,0.0,-1308.513203681854,337117.1209110368,-1236708.814561834,348446.9466194499,329637.8282278148,61034.251631624065,688333.235722414
2021-10-06,0.9932028385488383,4353.65,0.0,1456208.0397979673,475440.15002477093,490225.2214317162,791476.412621774,67687.83028299769,-145709.69232402463,1133954.5011171387
2021-10-08,0.9817572679673128,4394.92,0.0,110886.64118456401,-1038260.7061752154,233922.3800641115,792022.2895068242,938799.0282641865,-384058.19285474694,-1773275.9396806785
2021-10-11,0.9729915331085605,4369.4,0.0,869276.8337307323,123802.18472654052,277984.66809194325,720993.7669830753,887172.4012074857,-405516.73907531984,-882712.5985694892
2021-10-12,0.9874455425974435,4344.58,0.0,-285516.62015728967,580998.4554161432,-420633.61807986954,-686902.7404334274,531273.0837122463,139620.0246953063,78204.74718745449
2021-10-13,0.9682391916218184,4361.83,0.0,-397129.59661123075,399651.40110747743,1472025.6219663539,-1023649.7825559394,432223.5894999391,324239.8020045803,-37957.74616745513
2021-10-14,0.801321132860934,4432.98,0.0,-187313.26182883955,-1296507.5340757952,11661192.414464405,-5649408.275286712,8628828.323169926,-2741260.5785145657,-23377273.000090078
2021-10-15,0.8802868349135601,4469.85,0.0,-2918394.49799794,-1484210.6860155608,1134704.4702984523,-538036.4911469496,669431.2158034316,290962.6091564945,-511499.5106578175
2021-10-18,0.8217647425654964,4486.27,0.0,-43271888.4149704,313562.21043317113,-2032688.3058048224,-562317.4642749391,903174.4817151427,387010.7632025201,-241733.78286671638
2021-10-19,0.6755207037950987,4514.12,0.0,-3657253.504922859,13337.550691022305,2779142.146359338,1254640.0561548881,-512794.37896455266,1117757.3276723635,-1112640.9433738284
2021-10-20,0.9809546292485619,4534.03,0.0,-110743.46934116812,-167718.0055962289,355596.4011830941,146217.897110482,13003.686139459372,421115.1300177717,584864.2693805929
2021-10-21,0.9912021116101857,4544.04,0.0,-692084.3450423555,1787966.8512879005,344737.92949322256,-108353.90868233508,115889.09342972132,476730.4138064615,461303.96177139797
2021-10-22,0.9965802572618048,4544.96,0.0,141418.4555298156,-9647498.463949056,779126.5694759865,-185761.55925045742,231621.44203672296,402939.97853223886,406041.822513338
2021-10-25,0.9976729578737508,4566.43,0.0,217135.850602451,-303720.8969315482,1028329.1891869158,68495.7405210447,290422.4567156856,425731.6207549382,414560.76726119244
2021-10-26,0.9973500791420981,4585.69,0.0,281393.85338754894,10883.131031801711,-625552.6627970951,-107085.7500942369,450759.817290544,347978.3399668365,444705.6860833993
2021-10-27,0.9971995793186309,4564.35,0.0,35530.67794147,280627.0630428098,-299576.1680103913,24042.922676019676,371823.12905767595,428679.3220984802,236371.50009507567
2021-10-28,0.9646826341658863,4585.26,0.0,-33098.64754916105,365779.1859699828,-11136.08719279561,-69663.21217702772,389912.23617292906,360231.2339536641,345608.4330677944
2021-10-29,0.9778121700345741,4599.89,0.0,-9675.611591349181,41456.28832618143,-131372.18740111188,-142009.3988834686,572300.2902590127,288450.10538981017,448116.94330381235
2021-11-01,0.9728800867553314,4609.56,0.0,258716.8947612882,-5926.334419431027,-372870.83262917126,206471.19251888298,428586.31200600474,353510.92565746204,388623.40063199296
2021-11-02,0.9919666284828746,4631.97,0.0,-1864890.4885571992,348145.9604658239,2323500.62682897,107321.08550763375,134315.8896273521,475374.6089998388,230480.33203713136
2021-11-03,0.994895575694265,4660.74,0.0,9248.44570123346,-352927.9191655485,73023.17883155131,349989.61394857895,501634.1268912114,133400.22228646217,325753.5716678825
2021-11-04,0.9952543401178131,4671.33,0.0,-81400.0988440807,-412745.1780031134,57523.595192983325,288837.0617429132,549162.3574350213,96944.52001262589,393329.5106925346
