weight,combo,beta_global,r2_fit,r2_holdout,beta_day_median,beta_day_cv,spot_power,n_days
ex1,net,359286.66794184287,0.8449360809302321,-2.5025920753144787e+42,383672.6967463055,0.2505558297297937,-1.1436483888109787,549
all,net,301783.25780988147,0.7683744733600809,-1.765623683939283e+42,324710.9100398418,0.28351203002883274,-1.0727884865560477,549
monthly,net,584227.4483010017,0.7389641994066891,-6.61716212384488e+42,599299.2898757634,0.4006164852769467,0.19821195185805782,549
d90,net,323346.0245867298,0.7333490353646193,0.6500211530561553,354175.2194959357,0.3096305692499786,-1.3793178877994088,549
d60,net,335286.671165513,0.7071511131392058,0.6273113537588628,376412.4337805465,0.32420396334166585,-1.5044708819044823,549
d45,net,345069.9493865996,0.6815305320966754,0.6028165986083186,392039.708814344,0.3397097028477149,-1.5208297711409802,549
exp60,net,374485.1535247047,0.6602945095302653,-67429073803042.65,432109.90947464365,0.35558725390689394,-1.3922455439207626,549
d30,net,361319.9513904451,0.6273299727442772,0.5544561313237348,426166.23328250897,0.374511050071652,-1.5966156938291887,549
exp30,net,404080.3259241887,0.5813929205871039,0.47350068993497074,499287.295937258,0.41388914957798806,-1.3415596312758153,549
d20,net,380889.5215695381,0.5506357516650308,0.4723821793196483,454694.59825620736,0.4476209107076005,-1.5131017649997036,549
isqrt,net,474516.09185615764,0.4169039216835094,-2.208020398077403e+39,736177.3889788626,0.5410454283037437,-1.04755086699502,548
exp10,net,432179.01152999385,0.3971861354094799,0.2714999264221415,637452.4585280019,0.5877435621564846,-1.335278436106372,547
d7,net,391624.69648156577,0.3207310615919303,0.21292779549525553,539262.9246293945,0.72202946721861,-1.6509528796569504,537
inv,net,411356.0146097428,0.19373926005579356,-8.393251282574436e+35,909751.9239377157,0.8907588969591952,-0.46687799515173933,536
d45,call,98519.9623624776,0.14641974605816166,0.21538216403305743,135640.95115375274,0.5957643166843819,2.8458025049050084,314
d60,call,93153.2983818812,0.14501978611100197,0.21328473590250274,124882.24041906204,0.6167711069588477,3.6668976136217717,316
d90,call,86551.59082602334,0.14146915186400555,0.20933223060522888,117316.60964176506,0.6180750145949103,3.535016985126388,313
d30,call,107480.12746989558,0.13931047486567694,0.20499113260137447,156947.2701092254,0.5945645657143188,2.89333152843754,310
exp60,call,106173.12784630402,0.13860261587694112,-2549156373.788183,152103.6806783813,0.6014525466694044,4.189316183904399,313
exp30,call,121845.4997992471,0.13232232768976704,0.18744017595648965,189527.39212444093,0.591623296186262,3.1212611772301946,310
