eod_date,spot_eod,hvl,ex1|cspot|W10|near,ex1|cspot|W10|maxswing,ex1|mqspot|W10|near
2021-09-28,4352.629883,4435.0,4410.0,4410.0,4410.0
2021-09-29,4359.459961,4435.0,4415.0,4415.0,4415.0
2021-09-30,4307.540039,4435.0,4435.0,4435.0,4435.0
2021-10-01,4357.040039,4435.0,4430.0,4430.0,4430.0
2021-10-04,4300.459961,4435.0,4425.0,4425.0,4425.0
2021-10-05,4345.720215,4435.0,4385.0,4385.0,4385.0
2021-10-06,4363.549805,4435.0,4375.0,4375.0,4375.0
2021-10-08,4391.339844,4435.0,4375.0,4375.0,4375.0
2021-10-11,4361.189941,4435.0,4410.0,4410.0,4410.0
2021-10-12,4350.649902,4435.0,4395.0,4410.0,4395.0
2021-10-13,4363.799805,4435.0,4410.0,4410.0,4410.0
2021-10-14,4438.259766,4420.0,4395.0,4395.0,4395.0
2021-10-15,4471.370117,4420.0,4385.0,4385.0,4385.0
2021-10-18,4486.459961,4395.0,4405.0,4405.0,4405.0
2021-10-19,4519.629883,4395.0,4430.0,4430.0,4430.0
2021-10-20,4536.189941,4440.0,4435.0,4435.0,4435.0
2021-10-21,4549.779785,4440.0,4435.0,4435.0,4435.0
2021-10-22,4544.899902,4440.0,4435.0,4435.0,4435.0
2021-10-25,4566.47998,4440.0,4435.0,4435.0,4435.0
2021-10-26,4574.790039,4440.0,4435.0,4435.0,4435.0
2021-10-27,4551.680176,4440.0,4515.0,4485.0,4515.0
2021-10-28,4596.419922,4440.0,4515.0,4485.0,4515.0
2021-10-29,4605.379883,4440.0,4475.0,4435.0,4475.0
2021-11-01,4613.669922,4440.0,4485.0,4485.0,4485.0
2021-11-02,4630.649902,4460.0,4565.0,4485.0,4565.0
2021-11-03,4660.569824,4460.0,4565.0,4485.0,4565.0
2021-11-04,4680.060059,4460.0,4585.0,4585.0,4585.0
2021-11-05,4697.529785,4495.0,4485.0,4485.0,4485.0
2021-11-09,4685.25,4495.0,4635.0,4515.0,4635.0
2021-11-10,4646.709961,4495.0,4635.0,4515.0,4635.0
2021-11-11,4649.27002,4495.0,4635.0,4635.0,4635.0
2021-11-12,4682.850098,4495.0,4585.0,4515.0,4585.0
2021-11-15,4682.799805,4495.0,4585.0,4515.0,4585.0
2021-11-16,4700.899902,4495.0,4635.0,4635.0,4635.0
2021-11-17,4688.669922,4495.0,4630.0,4485.0,4630.0
2021-11-18,4704.540039,4495.0,4640.0,4640.0,4640.0
2021-11-19,4697.959961,4495.0,4635.0,4635.0,4635.0
2021-11-22,4682.939941,4495.0,4640.0,4640.0,4640.0
2021-11-23,4690.700195,4495.0,4685.0,4685.0,4685.0
2021-11-24,4701.459961,4495.0,4670.0,4660.0,4670.0
2021-11-26,4594.620117,4495.0,4650.0,4650.0,4650.0
2021-11-29,4655.27002,4495.0,4640.0,4640.0,4640.0
2021-11-30,4567.0,4495.0,4640.0,4640.0,4640.0
2021-12-01,4513.040039,4570.0,4635.0,4635.0,4635.0
2021-12-02,4577.100098,4570.0,4635.0,4635.0,4635.0
2021-12-03,4538.430176,4570.0,4615.0,4615.0,4615.0
2021-12-06,4591.669922,4570.0,4595.0,4615.0,4595.0
2021-12-07,4686.75,4570.0,4605.0,4585.0,4605.0
2021-12-08,4701.209961,4570.0,4615.0,4615.0,4615.0
2021-12-09,4667.450195,4570.0,4650.0,4650.0,4650.0
2021-12-10,4712.02002,4570.0,4650.0,4650.0,4650.0
2021-12-13,4668.970215,4570.0,4660.0,4660.0,4660.0
2021-12-14,4634.089844,4570.0,4660.0,4660.0,4660.0
2021-12-15,4709.850098,4640.0,4635.0,4635.0,4635.0
2021-12-16,4668.669922,4655.0,4635.0,4635.0,4635.0
2021-12-17,4620.640137,4615.0,4635.0,4635.0,4635.0
2021-12-20,4568.02002,4615.0,4635.0,4635.0,4635.0
2021-12-21,4649.22998,4615.0,4605.0,4605.0,4605.0
2021-12-22,4696.560059,4615.0,4610.0,4610.0,4610.0
2021-12-23,4725.790039,4615.0,4635.0,4635.0,4635.0
2021-12-27,4791.189941,4615.0,4635.0,4635.0,4635.0
2021-12-28,4786.350098,4615.0,4640.0,4640.0,4640.0
2021-12-29,4793.060059,4615.0,4685.0,4685.0,4685.0
2021-12-30,4778.72998,4615.0,4710.0,4710.0,4710.0
2021-12-31,4766.180176,4615.0,4730.0,4730.0,4730.0
2022-01-03,4796.560059,4615.0,4735.0,4735.0,4735.0
2022-01-04,4793.540039,4615.0,4735.0,4735.0,4735.0
2022-01-05,4700.580078,4650.0,4735.0,4735.0,4735.0
2022-01-06,4696.049805,4700.0,4735.0,4735.0,4735.0
2022-01-07,4677.029785,4705.0,4735.0,4735.0,4735.0
2022-01-10,4670.290039,4705.0,4710.0,4710.0,4710.0
2022-01-11,4713.069824,4700.0,4710.0,4710.0,4710.0
