spec,medabs_fit,medbias_fit,exact_fit,within5_fit,within25_fit,agree_fit,n_fit,medabs_hold,medbias_hold,exact_hold,within5_hold,within25_hold,agree_hold,n_hold
ex1|cspot|sm5_flipneg_near,10.0,0.0,0.11131386861313869,0.3266423357664234,0.656934306569343,0.9251824817518248,548,10.0,-5.0,0.14873417721518986,0.4287974683544304,0.8449367088607594,0.9572784810126582,632
ex1|cspot|sm5_upflip_near,10.0,0.0,0.11313868613138686,0.3302919708029197,0.656934306569343,0.9288321167883211,548,10.0,-5.0,0.1518987341772152,0.435126582278481,0.8449367088607594,0.9636075949367089,632
ex1|mqspot|sm5_flipneg_near,10.0,0.0,0.11131386861313869,0.3248175182481752,0.6587591240875912,0.9233576642335767,548,10.0,-5.0,0.14873417721518986,0.43037974683544306,0.8433544303797469,0.9572784810126582,632
ex1|mqspot|sm5_upflip_near,10.0,0.0,0.11313868613138686,0.3266423357664234,0.6587591240875912,0.9306569343065694,548,10.0,-5.0,0.1518987341772152,0.435126582278481,0.8433544303797469,0.9620253164556962,632
all|mqspot|sm5_flipneg_near,10.0,0.0,0.09671532846715329,0.29744525547445255,0.6113138686131386,0.8540145985401459,548,10.0,0.0,0.14240506329113925,0.3623417721518987,0.7658227848101266,0.8813291139240507,632
all|mqspot|sm5_upflip_near,10.0,0.0,0.0948905109489051,0.2956204379562044,0.6040145985401459,0.8394160583941606,548,10.0,0.0,0.14240506329113925,0.3623417721518987,0.754746835443038,0.8544303797468354,632
all|cspot|sm5_upflip_near,10.0,0.0,0.0948905109489051,0.29744525547445255,0.6040145985401459,0.843065693430657,548,10.0,0.0,0.14082278481012658,0.35917721518987344,0.7531645569620253,0.8544303797468354,632
all|cspot|sm5_flipneg_near,10.0,0.0,0.0948905109489051,0.2956204379562044,0.6076642335766423,0.8576642335766423,548,10.0,0.0,0.14082278481012658,0.36075949367088606,0.759493670886076,0.8670886075949367,632
ex1|mqspot|sm7_flipneg_near,15.0,0.0,0.09124087591240876,0.3284671532846715,0.6843065693430657,0.927007299270073,548,10.0,-5.0,0.14556962025316456,0.3971518987341772,0.8765822784810127,0.9667721518987342,632
ex1|mqspot|sm7_upflip_near,15.0,0.0,0.09124087591240876,0.3248175182481752,0.6824817518248175,0.9251824817518248,548,10.0,-5.0,0.14556962025316456,0.3971518987341772,0.8765822784810127,0.9667721518987342,632
ex1|mqspot|sm9_flipneg_near,15.0,0.0,0.12043795620437957,0.2956204379562044,0.7153284671532847,0.9306569343065694,548,10.0,-5.0,0.15664556962025317,0.40664556962025317,0.9003164556962026,0.9667721518987342,632
ex1|mqspot|sm9_upflip_near,15.0,0.0,0.12043795620437957,0.29744525547445255,0.7171532846715328,0.9306569343065694,548,10.0,-5.0,0.1550632911392405,0.4050632911392405,0.8987341772151899,0.9651898734177216,632
ex1|cspot|sm9_upflip_near,15.0,0.0,0.12043795620437957,0.2956204379562044,0.7153284671532847,0.9306569343065694,548,10.0,-5.0,0.1550632911392405,0.4050632911392405,0.9003164556962026,0.9651898734177216,632
