spec,n_fit,nvalid_fit,medabs_fit,medbias_fit,exact_fit,within5_fit,agree_fit,n_hold,nvalid_hold,medabs_hold,medbias_hold,exact_hold,within5_hold,agree_hold
all|flipstrike_nearspot,548,548,40.0,5.0,0.08394160583941605,0.17883211678832117,0.8029197080291971,632,632,25.0,10.0,0.12974683544303797,0.24367088607594936,0.8243670886075949
ex1|flipstrike_nearspot,548,548,40.0,5.0,0.09854014598540146,0.19708029197080293,0.8485401459854015,632,632,30.0,10.0,0.13132911392405064,0.22626582278481014,0.8512658227848101
d60|flipstrike_nearspot,548,548,40.0,0.0,0.08759124087591241,0.1678832116788321,0.801094890510949,632,632,25.0,10.0,0.12183544303797468,0.24841772151898733,0.8180379746835443
d90|flipstrike_nearspot,548,548,40.0,5.0,0.07846715328467153,0.16970802919708028,0.8029197080291971,632,632,25.0,10.0,0.12658227848101267,0.24841772151898733,0.8212025316455697
d30|flipstrike_nearspot,548,548,40.0,0.0,0.08029197080291971,0.16970802919708028,0.791970802919708,632,632,30.0,10.0,0.1060126582278481,0.23734177215189872,0.8085443037974683
d45|flipstrike_nearspot,548,548,40.0,0.0,0.08759124087591241,0.1678832116788321,0.8029197080291971,632,632,30.0,10.0,0.11392405063291139,0.24208860759493672,0.8212025316455697
isqrt|flipstrike_nearspot,548,548,40.0,0.0,0.07846715328467153,0.1624087591240876,0.7974452554744526,632,632,30.0,15.0,0.11867088607594936,0.2199367088607595,0.814873417721519
d7|flipstrike_nearspot,548,548,45.0,0.0,0.06386861313868614,0.11131386861313869,0.7956204379562044,632,632,30.0,20.0,0.0759493670886076,0.17088607594936708,0.810126582278481
monthly|flipstrike_nearspot,548,548,45.0,5.0,0.04927007299270073,0.1259124087591241,0.7937956204379562,632,632,45.0,20.0,0.0490506329113924,0.11234177215189874,0.7246835443037974
ex1|negnearzero_w5,548,548,50.0,-25.0,0.0364963503649635,0.08394160583941605,0.8321167883211679,632,632,82.5,-25.0,0.030063291139240507,0.07911392405063292,0.7579113924050633
all|negnearzero_w5,548,548,50.0,-25.0,0.03832116788321168,0.08576642335766424,0.8412408759124088,632,632,95.0,-35.0,0.02531645569620253,0.0680379746835443,0.7468354430379747
d90|negnearzero_w5,548,548,50.0,-25.0,0.041970802919708027,0.08759124087591241,0.8375912408759124,632,632,107.5,-45.0,0.028481012658227847,0.060126582278481014,0.7610759493670886
monthly|negnearzero_w5,548,548,50.0,-20.0,0.014598540145985401,0.06204379562043796,0.8175182481751825,632,632,60.0,-30.0,0.028481012658227847,0.060126582278481014,0.7753164556962026
d45|negnearzero_w5,548,548,55.0,-37.5,0.032846715328467155,0.06386861313868614,0.8193430656934306,632,632,137.5,-90.0,0.02689873417721519,0.05379746835443038,0.7626582278481012
d60|negnearzero_w5,548,548,55.0,-35.0,0.0364963503649635,0.072992700729927,0.8302919708029197,632,632,117.5,-60.0,0.02531645569620253,0.060126582278481014,0.7705696202531646
