ticker,sessions,first,last,cr0_nonnull,cr0_first,cr0_last,cr0_distinct,cr0_distinct_first
AAPL,1208,2021-09-27,2026-07-23,1208,2021-09-27,2026-07-23,700,2021-09-29
AMZN,1207,2021-09-27,2026-07-23,1206,2021-09-27,2026-07-23,596,2021-09-28
CL1!,530,2024-07-01,2026-07-23,530,2024-07-01,2026-07-23,473,2024-07-01
ES1!,530,2024-07-01,2026-07-23,530,2024-07-01,2026-07-23,390,2024-07-01
GC1!,530,2024-07-01,2026-07-23,530,2024-07-01,2026-07-23,450,2024-07-01
GOOGL,1208,2021-09-27,2026-07-23,1207,2021-09-27,2026-07-23,656,2021-09-27
META,1031,2022-06-09,2026-07-23,1030,2022-06-09,2026-07-23,655,2022-06-09
MSFT,1207,2021-09-27,2026-07-23,1206,2021-09-27,2026-07-23,704,2021-09-27
NQ1!,530,2024-07-01,2026-07-23,530,2024-07-01,2026-07-23,406,2024-07-01
NVDA,1208,2021-09-27,2026-07-23,1206,2021-09-27,2026-07-23,582,2021-09-28
RTY1!,530,2024-07-01,2026-07-23,530,2024-07-01,2026-07-23,407,2024-07-01
SPX,1183,2021-09-27,2026-07-15,1183,2021-09-27,2026-07-15,925,2021-10-12
TSLA,1207,2021-09-27,2026-07-23,1205,2021-09-27,2026-07-23,610,2021-10-13
