stat,value
n_days,1183.0
cr_in_top10_frac,0.0
ps_in_top10_frac,0.0
hvl_in_top10_frac,0.0
cr_eq_top10argmax_frac,0.0
ps_eq_top10argmin_frac,0.0
any_top10_gex_gt_crgex_frac,0.0
any_top10_gex_lt_psgex_frac,0.0
top10_sorted_by_absgex_frac,0.0016906170752324597
cr0_eq_cr_frac,0.21639898562975485
ps0_eq_ps_frac,0.14792899408284024
hvl0_eq_hvl_frac,0.16314454775993237
gw0_eq_cr_frac,0.21639898562975485
gw0_eq_ps_frac,0.0008453085376162299
cr0gex_eq_crgex_frac,0.21639898562975485
cr0gex_eq_crgex_given_strike_eq,1.0
cr0_eq_cr_frac_2021,0.7727272727272727
ps0_eq_ps_frac_2021,0.36363636363636365
hvl0_eq_hvl_frac_2021,0.6666666666666666
cr0gex_eq_crgex_frac_2021,0.7727272727272727
cr0_eq_cr_frac_2022,0.23107569721115537
ps0_eq_ps_frac_2022,0.24302788844621515
hvl0_eq_hvl_frac_2022,0.1752988047808765
cr0gex_eq_crgex_frac_2022,0.23107569721115537
cr0_eq_cr_frac_2023,0.1452991452991453
ps0_eq_ps_frac_2023,0.12393162393162394
hvl0_eq_hvl_frac_2023,0.10256410256410256
cr0gex_eq_crgex_frac_2023,0.1452991452991453
cr0_eq_cr_frac_2024,0.20080321285140562
ps0_eq_ps_frac_2024,0.09236947791164658
hvl0_eq_hvl_frac_2024,0.13253012048192772
cr0gex_eq_crgex_frac_2024,0.20080321285140562
cr0_eq_cr_frac_2025,0.152
ps0_eq_ps_frac_2025,0.1
hvl0_eq_hvl_frac_2025,0.116
cr0gex_eq_crgex_frac_2025,0.152
cr0_eq_cr_frac_2026,0.18796992481203006
ps0_eq_ps_frac_2026,0.09774436090225563
hvl0_eq_hvl_frac_2026,0.14285714285714285
cr0gex_eq_crgex_frac_2026,0.18796992481203006
pre2205_cr0_eq_cr_frac_dow0,0.6071428571428571
pre2205_cr0_eq_cr_frac_dow1,0.5806451612903226
pre2205_cr0_eq_cr_frac_dow2,0.6451612903225806
pre2205_cr0_eq_cr_frac_dow3,0.6206896551724138
pre2205_cr0_eq_cr_frac_dow4,0.5862068965517241
gw0_eq_maxabs_cr0ps0_frac,0.6255283178360102
gw0_eq_cr0_frac,0.9983093829247676
gw0_eq_hvl0_frac,0.0016906170752324597
gw0_gex_pos_frac,0.8385460693153001
cr0_gex_pos_frac,0.8377007607776839
ps0_gex_neg_frac,0.8275570583262891
cr0_frac_mult5,1.0
cr0_frac_mult10,0.760777683854607
cr0_frac_mult25,0.6990701606086221
cr0_frac_mult50,0.5536770921386306
cr0_frac_mult100,0.36770921386306
ps0_frac_mult5,1.0
ps0_frac_mult10,0.7506339814032121
ps0_frac_mult25,0.6576500422654269
ps0_frac_mult50,0.5198647506339814
ps0_frac_mult100,0.3448858833474218
gw0_frac_mult5,1.0
gw0_frac_mult10,0.7616229923922232
gw0_frac_mult25,0.6990701606086221
gw0_frac_mult50,0.5545224006762468
gw0_frac_mult100,0.36855452240067627
hvl0_frac_mult5,1.0
hvl0_frac_mult10,0.46486028789161726
hvl0_frac_mult25,0.22692633361558
hvl0_frac_mult50,0.11685012701100762
hvl0_frac_mult100,0.056731583403895
hvl_frac_mult5,1.0
hvl_frac_mult10,0.4555461473327688
hvl_frac_mult25,0.23624047417442845
hvl_frac_mult50,0.16172734970364097
hvl_frac_mult100,0.12531752751905165
missrank_cr_n_miss,308.0
missrank_cr_truthrank2_frac,0.6071428571428571
missrank_cr_truthrank3_frac,0.1396103896103896
missrank_cr_truthrank_gt5_frac,0.00974025974025974
missrank_cr_truthrank_med,2.0
missrank_ps_n_miss,293.0
missrank_ps_truthrank2_frac,0.5870307167235495
missrank_ps_truthrank3_frac,0.14675767918088736
missrank_ps_truthrank_gt5_frac,0.0034129692832764505
missrank_ps_truthrank_med,2.0
