level,method,band,spot,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
cr0,maxcg_ge,none,spoteod,495,0.2222222222222222,0.5717171717171717,25.0,632,0.28164556962025317,0.6756329113924051,20.0
cr0,maxcg_ge,b05,spoteod,495,0.2202020202020202,0.5676767676767677,25.0,632,0.28164556962025317,0.6740506329113924,20.0
cr0,maxtot_ge,none,spoteod,495,0.20606060606060606,0.5313131313131313,25.0,632,0.26424050632911394,0.6534810126582279,20.0
cr0,maxtot_ge,b05,spoteod,495,0.20404040404040405,0.5292929292929293,25.0,632,0.26424050632911394,0.6534810126582279,20.0
cr0,maxcg_ge,b02,spoteod,495,0.20202020202020202,0.5515151515151515,25.0,632,0.27848101265822783,0.6740506329113924,20.0
cr0,maxtot_ge,b02,spoteod,495,0.19393939393939394,0.5191919191919192,25.0,632,0.2610759493670886,0.6534810126582279,20.0
cr0,maxnet_ge,none,spoteod,495,0.1898989898989899,0.5333333333333333,25.0,632,0.22784810126582278,0.6376582278481012,20.0
cr0,maxnet_ge,b05,spoteod,495,0.18585858585858586,0.5272727272727272,25.0,632,0.22784810126582278,0.6376582278481012,20.0
cr0,maxnet_ge,b02,spoteod,495,0.16363636363636364,0.5313131313131313,25.0,632,0.2310126582278481,0.6439873417721519,20.0
cr0,maxcg_ge,none,spotprev,495,0.16161616161616163,0.4505050505050505,40.0,632,0.19936708860759494,0.5443037974683544,25.0
cr0,maxcg_ge,b05,spotprev,495,0.16161616161616163,0.4505050505050505,40.0,632,0.19936708860759494,0.5443037974683544,25.0
cr0,maxcg,none,spotprev,495,0.1595959595959596,0.4161616161616162,45.0,632,0.16930379746835442,0.4525316455696203,35.0
cr0,maxcg,b05,spotprev,495,0.1595959595959596,0.4161616161616162,45.0,632,0.16930379746835442,0.4525316455696203,35.0
cr0,maxcg,none,spoteod,495,0.1595959595959596,0.4161616161616162,45.0,632,0.16930379746835442,0.4525316455696203,35.0
cr0,maxcg,b05,spoteod,495,0.15757575757575756,0.4121212121212121,45.0,632,0.16930379746835442,0.4509493670886076,35.0
cr0,maxcg_ge,b02,spotprev,495,0.15555555555555556,0.4444444444444444,40.0,632,0.1962025316455696,0.5411392405063291,25.0
cr0,maxcg,b02,spotprev,495,0.15353535353535352,0.4080808080808081,45.0,632,0.1661392405063291,0.4509493670886076,35.0
cr0,maxtot_ge,none,spotprev,495,0.14747474747474748,0.43434343434343436,40.0,632,0.18354430379746836,0.504746835443038,25.0
