level,slice,meas,side,target,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
cr0,E01,netg,ge,max,550,0.22,0.5036363636363637,25.0,632,0.2879746835443038,0.6376582278481012,20.0
cr0,E0,cg,ge,max,495,0.2222222222222222,0.5717171717171717,25.0,632,0.28164556962025317,0.6756329113924051,20.0
cr0,E01,cg,ge,max,550,0.21272727272727274,0.5163636363636364,25.0,632,0.2800632911392405,0.6360759493670886,20.0
cr0,E01,totg,ge,max,550,0.20545454545454545,0.5,27.5,632,0.2674050632911392,0.6170886075949367,20.0
cr0,E0,totg,ge,max,495,0.20606060606060606,0.5313131313131313,25.0,632,0.26424050632911394,0.6534810126582279,20.0
cr0,E0,pg,ge,max,495,0.16767676767676767,0.5050505050505051,25.0,632,0.23417721518987342,0.629746835443038,20.0
cr0,E01,pg,ge,max,550,0.18545454545454546,0.49272727272727274,30.0,632,0.23417721518987342,0.5933544303797469,25.0
cr0,E0,netg,ge,max,495,0.1898989898989899,0.5333333333333333,25.0,632,0.22784810126582278,0.6376582278481012,20.0
cr0,E0,po,ge,max,495,0.14343434343434344,0.39191919191919194,50.0,632,0.20094936708860758,0.5015822784810127,25.0
cr0,E01,po,ge,max,550,0.14363636363636365,0.30727272727272725,60.0,632,0.185126582278481,0.41930379746835444,42.5
cr0,E0,cg,none,max,495,0.1595959595959596,0.4161616161616162,45.0,632,0.16930379746835442,0.4525316455696203,35.0
cr0,E01,netg,none,max,550,0.14181818181818182,0.3709090909090909,42.5,632,0.16772151898734178,0.46677215189873417,30.0
cr0,E0,netg,none,max,495,0.14545454545454545,0.42828282828282827,35.0,632,0.1550632911392405,0.5031645569620253,25.0
cr0,E0,totg,none,max,495,0.12525252525252525,0.3393939393939394,50.0,632,0.1360759493670886,0.34177215189873417,50.0
cr0,E0,co,ge,max,495,0.14343434343434344,0.25656565656565655,70.0,632,0.12341772151898735,0.2626582278481013,70.0
cr0,E01,co,ge,max,550,0.1618181818181818,0.24727272727272728,70.0,632,0.12025316455696203,0.22468354430379747,90.0
cr0,E0,co,none,max,495,0.12525252525252525,0.22626262626262628,75.0,632,0.10126582278481013,0.22151898734177214,75.0
cr0,E01,cg,none,max,550,0.09636363636363636,0.31272727272727274,50.0,632,0.0981012658227848,0.34968354430379744,45.0
cr0,E01,totg,none,max,550,0.08181818181818182,0.28909090909090907,50.0,632,0.09651898734177215,0.3291139240506329,50.0
cr0,E01,pg,none,max,550,0.08181818181818182,0.27636363636363637,50.0,632,0.09177215189873418,0.28639240506329117,50.0
cr0,E01,co,none,max,550,0.14363636363636365,0.22545454545454546,80.0,632,0.08544303797468354,0.16455696202531644,100.0
cr0,E01,neto,ge,max,550,0.10545454545454545,0.18363636363636363,100.0,632,0.08386075949367089,0.18829113924050633,100.0
cr0,E0,neto,ge,max,495,0.11515151515151516,0.2101010101010101,95.0,632,0.08227848101265822,0.1930379746835443,90.0
cr0,E01,neto,none,max,550,0.10181818181818182,0.1709090909090909,100.0,632,0.07911392405063292,0.18670886075949367,100.0
cr0,E0,pg,none,max,495,0.08484848484848485,0.2505050505050505,55.0,632,0.07753164556962025,0.21677215189873417,60.0
cr0,E0,neto,none,max,495,0.10909090909090909,0.20202020202020202,90.0,632,0.07753164556962025,0.189873417721519,90.0
cr0,E01,neto,le,max,550,0.05454545454545454,0.1618181818181818,100.0,632,0.05221518987341772,0.21360759493670886,62.5
cr0,E01,netg,le,max,550,0.038181818181818185,0.19090909090909092,75.0,632,0.0379746835443038,0.2231012658227848,60.0
cr0,E01,cg,le,max,550,0.034545454545454546,0.16727272727272727,75.0,632,0.03639240506329114,0.18670886075949367,60.0
cr0,E0,totg,le,max,495,0.04040404040404041,0.17575757575757575,75.0,632,0.03481012658227848,0.15664556962025317,70.0
cr0,E01,co,le,max,550,0.04181818181818182,0.09636363636363636,150.0,632,0.03481012658227848,0.0981012658227848,140.0
cr0,E0,cg,le,max,495,0.046464646464646465,0.20404040404040405,60.0,632,0.03322784810126582,0.18037974683544303,50.0
cr0,E01,netg,ge,min,550,0.04,0.3418181818181818,50.0,632,0.03322784810126582,0.36550632911392406,40.0
cr0,E01,totg,le,max,550,0.025454545454545455,0.15636363636363637,75.0,632,0.03164556962025317,0.1787974683544304,60.0
cr0,E0,co,le,max,495,0.044444444444444446,0.13131313131313133,95.0,632,0.028481012658227847,0.13132911392405064,90.0
cr0,E01,neto,ge,min,550,0.038181818181818185,0.22181818181818183,100.0,632,0.028481012658227847,0.2389240506329114,80.0
cr0,E0,neto,le,max,495,0.030303030303030304,0.16363636363636364,100.0,632,0.02531645569620253,0.18829113924050633,75.0
cr0,E0,pg,le,max,495,0.028282828282828285,0.13535353535353536,80.0,632,0.023734177215189875,0.10126582278481013,80.0
cr0,E01,pg,le,max,550,0.025454545454545455,0.14545454545454545,82.5,632,0.023734177215189875,0.13924050632911392,75.0
cr0,E0,netg,le,max,495,0.026262626262626262,0.1797979797979798,75.0,632,0.022151898734177215,0.2120253164556962,60.0
cr0,E0,netg,ge,min,495,0.03232323232323232,0.2404040404040404,75.0,632,0.020569620253164556,0.21044303797468356,85.0
cr0,E0,neto,ge,min,495,0.03636363636363636,0.21212121212121213,100.0,632,0.0189873417721519,0.189873417721519,100.0
cr0,E01,netg,none,min,550,0.01818181818181818,0.13818181818181818,100.0,632,0.0189873417721519,0.12974683544303797,80.0
cr0,E0,netg,none,min,495,0.01818181818181818,0.12727272727272726,95.0,632,0.011075949367088608,0.08227848101265822,95.0
cr0,E01,netg,le,min,550,0.0036363636363636364,0.07454545454545454,100.0,632,0.004746835443037975,0.04746835443037975,100.0
cr0,E0,netg,le,min,495,0.006060606060606061,0.06666666666666667,100.0,632,0.0015822784810126582,0.03955696202531646,100.0
cr0,E0,po,none,max,495,0.00404040404040404,0.012121212121212121,730.0,632,0.0,0.0015822784810126582,1050.0
cr0,E0,po,le,max,495,0.0,0.00202020202020202,730.0,632,0.0,0.0015822784810126582,1050.0
cr0,E0,neto,none,min,495,0.0,0.00404040404040404,745.0,632,0.0,0.0015822784810126582,1055.0
cr0,E0,neto,le,min,495,0.0,0.00202020202020202,745.0,632,0.0,0.0015822784810126582,1055.0
cr0,E01,po,none,max,550,0.007272727272727273,0.012727272727272728,700.0,632,0.0,0.0031645569620253164,1117.5
cr0,E01,po,le,max,550,0.0,0.0,705.0,632,0.0,0.0015822784810126582,1120.0
cr0,E01,neto,none,min,550,0.0,0.0018181818181818182,750.0,632,0.0,0.0015822784810126582,1200.0
cr0,E01,neto,le,min,550,0.0,0.0,750.0,632,0.0,0.0015822784810126582,1200.0
gw0,E01,netg,ge,max,550,0.22,0.5054545454545455,25.0,632,0.2879746835443038,0.6376582278481012,20.0
gw0,E0,cg,ge,max,495,0.22424242424242424,0.5737373737373738,25.0,632,0.28164556962025317,0.6756329113924051,20.0
gw0,E01,cg,ge,max,550,0.21454545454545454,0.5181818181818182,25.0,632,0.2800632911392405,0.6360759493670886,20.0
gw0,E01,totg,ge,max,550,0.20727272727272728,0.5018181818181818,25.0,632,0.2674050632911392,0.6170886075949367,20.0
gw0,E0,totg,ge,max,495,0.2080808080808081,0.5333333333333333,25.0,632,0.26424050632911394,0.6534810126582279,20.0
gw0,E0,pg,ge,max,495,0.1696969696969697,0.5070707070707071,25.0,632,0.23417721518987342,0.629746835443038,20.0
gw0,E01,pg,ge,max,550,0.18727272727272729,0.49454545454545457,30.0,632,0.23417721518987342,0.5933544303797469,25.0
gw0,E0,netg,ge,max,495,0.1898989898989899,0.5353535353535354,25.0,632,0.22784810126582278,0.6376582278481012,20.0
gw0,E0,po,ge,max,495,0.14545454545454545,0.3939393939393939,50.0,632,0.20094936708860758,0.5015822784810127,25.0
gw0,E01,po,ge,max,550,0.14545454545454545,0.3090909090909091,60.0,632,0.185126582278481,0.41930379746835444,42.5
gw0,E0,cg,none,max,495,0.1595959595959596,0.4161616161616162,45.0,632,0.16930379746835442,0.4525316455696203,35.0
gw0,E01,netg,none,max,550,0.14181818181818182,0.37272727272727274,40.0,632,0.16772151898734178,0.46677215189873417,30.0
gw0,E0,netg,none,max,495,0.14545454545454545,0.4303030303030303,35.0,632,0.1550632911392405,0.5031645569620253,25.0
gw0,E0,totg,none,max,495,0.12525252525252525,0.3393939393939394,50.0,632,0.1360759493670886,0.34177215189873417,50.0
