level,slice,meas,era,n,ratio_med,ratio_iqr,pearson,sign_agree
cr0,E0,cg,fit,380,1514002.4201929907,6894553.097395664,0.15578385905848063,0.7289473684210527
cr0,E0,cg,hold,516,3103965.4943702347,7928454.850379491,0.06001926037457355,0.8410852713178295
cr0,E0,netg,fit,380,2158318.703550936,11638123.019370606,0.37055069723011885,0.7552631578947369
cr0,E0,netg,hold,517,4423873.484903106,11324807.342698373,0.25864446632594384,0.8143133462282398
cr0,E0,totg,fit,381,977431.2755594231,4630598.307474519,0.07700322521332478,0.7270341207349081
cr0,E0,totg,hold,517,2280366.4869716144,6295918.871127635,0.02410306890673338,0.839458413926499
cr0,E01,cg,fit,308,2534445.441429197,1112379537911.0305,0.09323821782474108,0.7077922077922078
cr0,E01,cg,hold,442,55082525.786963746,43013112971819.195,0.19988605019479178,0.8371040723981901
cr0,E01,netg,fit,308,3191375.4815873727,1129071171321.9827,0.09432215752213319,0.685064935064935
cr0,E01,netg,hold,442,47274306.72052329,23538595745657.395,0.23443655408039915,0.8009049773755657
cr0,E01,totg,fit,308,1261050.9957243083,638868513771.8728,0.06929118586119155,0.7077922077922078
cr0,E01,totg,hold,442,44000183.21627237,38640829188617.664,0.14319057443516,0.8371040723981901
ps0,E0,pg,fit,386,-2698762.306416009,8949730.381751914,-0.12965576957106195,0.14507772020725387
ps0,E0,pg,hold,569,-1528391.2886520363,4920432.940974213,-0.022255685105244834,0.2530755711775044
ps0,E0,netg,fit,386,2964730.9746333268,12625629.444604196,0.360257518064809,0.7772020725388601
ps0,E0,netg,hold,570,2337299.058629481,9701021.14715062,0.2847305809407919,0.7385964912280701
ps0,E01,pg,fit,335,-30204380.113302477,1.286196758925171e+16,0.007348870409103365,0.14626865671641792
ps0,E01,pg,hold,430,-3637357.0276273815,3712990890942.5874,-0.11697456564047044,0.27209302325581397
ps0,E01,netg,fit,335,11886114.611211777,1.8607205813884556e+16,0.20094029441371383,0.8029850746268656
ps0,E01,netg,hold,431,2906275.141500245,2059757498538.0242,0.14154655754965942,0.6774941995359629
gw0,E0,cg,fit,381,1508985.1978895846,6833454.470535996,0.1546710550080989,0.7270341207349081
gw0,E0,cg,hold,516,3103965.4943702347,7928454.850379491,0.06001926037457355,0.8410852713178295
gw0,E0,netg,fit,381,2156808.726387433,11592388.83607249,0.370543771721292,0.7532808398950132
gw0,E0,netg,hold,517,4423873.484903106,11324807.342698373,0.25864446632594384,0.8143133462282398
gw0,E0,totg,fit,382,974726.2872298679,4607223.892624293,0.07573538225707542,0.725130890052356
gw0,E0,totg,hold,517,2280366.4869716144,6295918.871127635,0.02410306890673338,0.839458413926499
gw0,E01,cg,fit,308,2534445.441429197,1112379537911.0305,0.09323821782474108,0.7077922077922078
gw0,E01,cg,hold,442,55082525.786963746,43013112971819.195,0.19988605019479178,0.8371040723981901
gw0,E01,netg,fit,308,3191375.4815873727,1129071171321.9827,0.09432215752213319,0.685064935064935
gw0,E01,netg,hold,442,47274306.72052329,23538595745657.395,0.23443655408039915,0.8009049773755657
gw0,E01,totg,fit,308,1261050.9957243083,638868513771.8728,0.06929118586119155,0.7077922077922078
gw0,E01,totg,hold,442,44000183.21627237,38640829188617.664,0.14319057443516,0.8371040723981901
