Date,engine,book,net
2021-07-07,NEW,WT-L,282.5
2021-07-13,OLD,WT-S,357.5
2021-07-13,NEW,WT-S,357.5
2021-07-14,OLD,WT-S,95.0
2021-07-14,NEW,WT-S,95.0
2021-07-15,OLD,FADE,-217.5
2021-07-15,NEW,FADE,-217.5
2021-08-02,OLD,WT-S,1132.5
2021-08-02,OLD,WT-S,545.0
2021-08-02,NEW,WT-S,1132.5
2021-08-02,NEW,WT-S,545.0
2021-08-17,OLD,WT-S,-530.0
2021-08-17,NEW,WT-S,-530.0
2021-08-20,OLD,WT-S,-555.0
2021-08-20,OLD,WT-L,120.0
2021-08-20,NEW,WT-S,-555.0
2021-08-20,NEW,WT-L,120.0
2021-08-25,OLD,WT-L,-80.0
2021-08-25,NEW,WT-L,-80.0
2021-08-26,OLD,WT-S,-505.0
2021-08-26,OLD,WT-S,307.5
2021-08-26,NEW,WT-S,-505.0
2021-08-26,NEW,WT-S,307.5
2021-08-27,OLD,WT-L,232.5
2021-08-27,OLD,WT-L,-142.5
2021-08-27,NEW,WT-L,232.5
2021-08-27,NEW,WT-L,-142.5
2021-08-30,OLD,WT-L,-205.0
2021-08-30,NEW,WT-L,-205.0
2021-08-31,OLD,WT-L,195.0
2021-08-31,NEW,WT-L,195.0
2021-09-03,NEW,WT-S,-380.0
2021-09-08,OLD,WT-S,-330.0
2021-09-08,NEW,WT-S,-330.0
2021-09-10,OLD,FADE,-217.5
2021-09-10,OLD,FADE,1257.5
2021-09-10,NEW,FADE,-217.5
2021-09-10,NEW,FADE,1257.5
2021-09-14,OLD,FADE,-217.5
2021-09-14,NEW,FADE,-217.5
2021-09-16,OLD,WT-S,-505.0
2021-09-16,OLD,WT-L,7.5
2021-09-16,NEW,WT-S,-505.0
2021-09-16,NEW,WT-L,7.5
2021-09-17,OLD,WT-S,332.5
2021-09-17,NEW,WT-S,520.0
2021-09-17,NEW,WT-S,332.5
2021-09-27,OLD,WT-L,-367.5
2021-09-27,NEW,WT-L,-367.5
2021-10-01,OLD,FADE,-217.5
2021-10-01,OLD,WT-L,1507.5
2021-10-01,NEW,FADE,-217.5
2021-10-01,NEW,WT-L,1507.5
2021-10-04,OLD,WT-S,-867.5
2021-10-04,NEW,WT-S,-867.5
2021-10-05,OLD,WT-L,-867.5
2021-10-05,NEW,WT-L,-867.5
2021-10-18,OLD,WT-L,282.5
2021-10-18,NEW,WT-L,282.5
2021-10-19,OLD,WT-L,1007.5
2021-10-19,OLD,WT-L,782.5
2021-10-19,OLD,WT-L,357.5
2021-10-19,NEW,WT-L,1007.5
2021-10-19,NEW,WT-L,782.5
2021-10-19,NEW,WT-L,357.5
2021-10-20,OLD,WT-L,-42.5
2021-10-20,NEW,WT-L,-42.5
2021-10-22,OLD,WT-S,357.5
2021-10-22,OLD,WT-S,-617.5
2021-10-22,NEW,WT-S,357.5
2021-10-22,NEW,WT-S,-617.5
2021-10-27,OLD,WT-S,-505.0
2021-10-27,OLD,FADE,-217.5
2021-10-27,OLD,WT-L,-505.0
2021-10-27,NEW,WT-S,-505.0
2021-10-27,NEW,FADE,-217.5
2021-10-27,NEW,WT-L,-505.0
2021-10-28,OLD,WT-L,-480.0
2021-10-28,NEW,WT-L,-480.0
2021-10-29,OLD,WT-S,-467.5
2021-10-29,NEW,WT-S,-467.5
2021-11-04,OLD,WT-L,-505.0
2021-11-04,OLD,WT-S,-505.0
2021-11-04,NEW,WT-L,-505.0
2021-11-04,NEW,WT-S,-505.0
2021-11-05,OLD,WT-S,332.5
2021-11-09,OLD,WT-S,-467.5
2021-11-09,NEW,WT-S,-467.5
2021-11-15,OLD,WT-S,7.5
2021-11-15,NEW,WT-S,7.5
2021-11-15,NEW,WT-S,-267.5
2021-11-16,OLD,WT-L,-205.0
2021-11-16,OLD,WT-L,-492.5
2021-11-16,NEW,WT-L,-205.0
2021-11-16,NEW,WT-L,-492.5
2021-11-17,OLD,WT-S,-505.0
2021-11-17,NEW,WT-S,-505.0
2021-11-30,OLD,WT-S,-555.0
2021-11-30,NEW,WT-S,-555.0
2021-12-06,OLD,WT-L,-642.5
2021-12-06,OLD,WT-L,-642.5
2021-12-06,OLD,WT-L,-642.5
2021-12-06,NEW,WT-L,-642.5
2021-12-06,NEW,WT-L,-642.5
2021-12-06,NEW,WT-L,-642.5
2021-12-13,OLD,WT-S,357.5
2021-12-13,NEW,WT-L,-705.0
2021-12-13,NEW,WT-S,357.5
2021-12-15,OLD,WT-S,-755.0
2021-12-15,OLD,WT-L,4245.0
2021-12-15,NEW,WT-S,-755.0
2021-12-15,NEW,WT-L,4245.0
2021-12-16,OLD,WT-S,2270.0
2021-12-16,OLD,WT-S,1482.5
2021-12-16,NEW,WT-S,2270.0
2021-12-16,NEW,WT-S,1482.5
2021-12-27,OLD,WT-L,1045.0
