Date,gap,s0.2,s0.3,s0.4,s0.5
2021-07-06,0.04013285358427899,675.0,675.0,675.0,675.0
2021-07-09,0.08857763691473018,560.0,560.0,560.0,560.0
2021-07-09,0.08857763691473018,85.0,85.0,85.0,85.0
2021-07-13,0.14807705491190787,-530.0,-790.0,-1045.0,-1305.0
2021-07-13,0.14807705491190787,-530.0,-790.0,-1045.0,-1305.0
2021-07-16,0.32137487758789535,-605.0,-900.0,-1200.0,-1495.0
2021-07-19,0.7671711776701857,-650.0,-970.0,-1290.0,-1610.0
2021-07-20,0.19821605550049554,230.0,230.0,230.0,230.0
2021-07-21,0.12445894928989257,1060.0,1060.0,1060.0,1060.0
2021-07-23,0.22269280688571624,2215.0,2215.0,2215.0,2215.0
2021-07-23,0.22269280688571624,-120.0,-120.0,-120.0,-120.0
2021-07-23,0.22269280688571624,-280.0,-280.0,-280.0,-280.0
2021-07-29,0.0667593122428404,1450.0,1450.0,1450.0,1450.0
2021-08-04,0.033981704250431566,-645.0,-480.0,-480.0,-480.0
2021-08-10,0.11771710010012719,-585.0,-875.0,-1165.0,-400.0
2021-08-10,0.11771710010012719,470.0,470.0,470.0,470.0
2021-08-11,0.3112301064162329,300.0,300.0,300.0,300.0
2021-08-11,0.3112301064162329,-520.0,-775.0,-395.0,-395.0
2021-08-12,0.05581724616766956,385.0,385.0,385.0,385.0
2021-08-12,0.05581724616766956,20.0,20.0,20.0,20.0
2021-08-16,0.24622544509984307,-510.0,-760.0,-1010.0,-1260.0
2021-08-24,0.06291749775772747,20.0,20.0,20.0,20.0
2021-08-24,0.06291749775772747,-160.0,-160.0,-160.0,-160.0
2021-08-25,0.07083383451612472,-200.0,-200.0,-200.0,-200.0
2021-09-03,0.20187093454367933,680.0,680.0,680.0,680.0
2021-09-03,0.20187093454367933,-5.0,-5.0,-5.0,-5.0
2021-09-09,0.10017002543791435,1220.0,1220.0,1220.0,1220.0
2021-09-09,0.10017002543791435,520.0,520.0,520.0,520.0
2021-09-10,0.40172318101329385,-505.0,2495.0,2495.0,2495.0
2021-09-10,0.40172318101329385,-505.0,-755.0,-1005.0,-1255.0
2021-09-14,0.28317689914648086,415.0,415.0,415.0,415.0
2021-09-15,0.03330890680167877,560.0,560.0,560.0,560.0
2021-09-16,0.3074517287533628,-630.0,-940.0,-1250.0,-1560.0
2021-09-16,0.3074517287533628,-630.0,-940.0,-1250.0,-1560.0
2021-09-16,0.3074517287533628,1510.0,1510.0,1510.0,1510.0
2021-09-16,0.3074517287533628,360.0,360.0,360.0,360.0
2021-09-17,0.08084181509754028,-660.0,-105.0,-105.0,-105.0
2021-09-20,1.2106926662023894,-695.0,-1035.0,-1375.0,-1220.0
2021-09-22,0.4333015397193078,835.0,835.0,835.0,835.0
2021-09-27,0.7025667103819286,-815.0,-1215.0,-440.0,-440.0
2021-09-29,0.3283075607300015,-830.0,-1240.0,255.0,255.0
2021-09-29,0.3283075607300015,-830.0,-1240.0,-1650.0,-2060.0
2021-10-04,0.34057691247035465,1050.0,1050.0,1050.0,1050.0
2021-10-05,0.10782652532523002,-390.0,-390.0,-390.0,-390.0
