Date,dir,net,yr,tr
2021-07-06,L,705.0,2021,True
2021-07-09,L,595.0,2021,True
2021-07-09,L,120.0,2021,True
2021-07-13,L,-790.0,2021,True
2021-07-16,L,-900.0,2021,True
2021-07-21,L,1120.0,2021,True
2021-07-23,L,-65.0,2021,True
2021-07-23,L,-225.0,2021,True
2021-07-29,S,1515.0,2021,True
2021-08-04,L,-425.0,2021,True
2021-08-10,S,-875.0,2021,True
2021-08-10,S,515.0,2021,True
2021-08-11,S,335.0,2021,True
2021-08-11,S,-775.0,2021,True
2021-08-12,L,420.0,2021,True
2021-08-16,S,-760.0,2021,True
2021-08-24,L,80.0,2021,True
2021-08-24,L,-100.0,2021,True
2021-08-25,S,-145.0,2021,True
2021-09-03,L,715.0,2021,True
2021-09-03,L,30.0,2021,True
2021-09-09,S,1250.0,2021,True
2021-09-09,S,550.0,2021,True
2021-09-10,S,2530.0,2021,True
2021-09-10,L,-755.0,2021,True
2021-09-14,S,460.0,2021,True
2021-09-15,L,605.0,2021,True
2021-09-16,S,-940.0,2021,True
2021-09-16,S,-940.0,2021,True
2021-09-16,L,1560.0,2021,True
2021-09-16,L,410.0,2021,True
2021-09-17,S,-50.0,2021,True
2021-09-29,S,-1240.0,2021,True
2021-09-29,S,-1240.0,2021,True
2021-10-05,L,-1040.0,2021,True
2021-10-12,S,1160.0,2021,True
2021-10-15,S,-1305.0,2021,True
2021-10-18,L,1030.0,2021,True
2021-10-19,L,1470.0,2021,True
2021-10-19,L,950.0,2021,True
2021-10-19,L,725.0,2021,True
2021-10-19,L,560.0,2021,True
2021-10-19,L,580.0,2021,True
2021-10-21,S,-960.0,2021,True
2021-10-22,S,-965.0,2021,True
2021-10-25,L,2310.0,2021,True
2021-10-25,L,300.0,2021,True
2021-10-26,S,-985.0,2021,True
2021-11-01,S,-1085.0,2021,True
2021-11-01,L,-1085.0,2021,True
2021-11-03,L,2155.0,2021,True
2021-11-08,S,145.0,2021,True
2021-11-12,L,135.0,2021,True
2021-11-15,S,-600.0,2021,True
2021-11-15,S,-1090.0,2021,True
2021-11-19,S,145.0,2021,True
2021-11-26,L,-1240.0,2021,True
2021-12-06,L,2045.0,2021,True
2021-12-09,S,3290.0,2021,True
2021-12-13,S,1670.0,2021,True
2021-12-15,S,-1935.0,2021,True
2021-12-22,S,-1915.0,2021,True
2021-12-31,S,935.0,2021,True
2021-12-31,S,810.0,2021,True
2022-01-04,S,-1250.0,2022,True
2022-01-04,S,-1250.0,2022,True
2022-01-07,S,-1450.0,2022,True
2022-01-11,L,1290.0,2022,True
2022-01-13,L,-1830.0,2022,True
2022-01-18,S,3725.0,2022,True
2022-01-28,L,-2940.0,2022,True
2022-01-28,L,-2940.0,2022,True
2022-02-07,S,135.0,2022,True
2022-02-14,L,-2260.0,2022,True
2022-02-14,L,-2260.0,2022,True
2022-02-23,S,-1995.0,2022,True
2022-02-25,L,1500.0,2022,True
2022-02-25,L,995.0,2022,True
2022-03-02,L,1155.0,2022,True
2022-03-08,S,-2715.0,2022,True
2022-03-14,L,-2300.0,2022,True
2022-03-18,L,2340.0,2022,True
2022-03-21,S,-2505.0,2022,True
2022-03-25,S,-2195.0,2022,True
2022-03-28,L,2915.0,2022,True
2022-04-01,S,-1710.0,2022,True
2022-04-01,S,-1710.0,2022,True
2022-04-07,S,-1615.0,2022,True
2022-04-07,S,-1615.0,2022,True
2022-04-07,L,1090.0,2022,True
2022-04-14,S,3375.0,2022,True
2022-04-14,S,1935.0,2022,True
2022-04-18,S,-1775.0,2022,True
2022-05-02,S,-1045.0,2022,True
2022-05-02,S,-2660.0,2022,True
2022-05-02,S,-2660.0,2022,True
2022-05-04,L,-2635.0,2022,True
2022-05-04,L,-2635.0,2022,True
2022-05-23,L,900.0,2022,True
2022-06-14,L,-1950.0,2022,True
2022-06-17,L,-1030.0,2022,True
2022-06-28,S,2425.0,2022,True
2022-07-21,L,-700.0,2022,True
2022-07-22,S,565.0,2022,True
2022-08-04,S,-1785.0,2022,True
2022-08-08,S,-455.0,2022,True
2022-08-16,L,-1385.0,2022,True
2022-08-18,L,-1280.0,2022,True
2022-09-07,L,2430.0,2022,True
2022-09-08,S,-1300.0,2022,True
2022-09-12,L,790.0,2022,True
2022-09-14,L,-1695.0,2022,True
2022-09-21,L,-1430.0,2022,True
2022-09-21,L,-1430.0,2022,True
2022-09-28,L,2985.0,2022,True
2022-10-06,L,-1700.0,2022,True
2022-10-10,L,-65.0,2022,True
2022-10-11,L,-1750.0,2022,True
2022-10-11,L,-1750.0,2022,True
2022-10-12,S,300.0,2022,True
2022-10-20,L,-1830.0,2022,True
2022-10-20,S,940.0,2022,True
2022-10-21,L,2975.0,2022,True
2022-10-21,L,1360.0,2022,True
2022-10-27,S,5410.0,2022,True
2022-10-27,S,4830.0,2022,True
2022-10-27,S,4645.0,2022,True
2022-10-27,S,3895.0,2022,True
2022-11-08,L,-1840.0,2022,True
2022-11-16,S,-70.0,2022,True
2022-11-16,S,-185.0,2022,True
2022-11-22,L,1790.0,2022,True
2022-11-23,L,-1440.0,2022,True
2022-11-29,S,215.0,2022,True
2022-12-01,L,-50.0,2022,True
2022-12-05,S,1905.0,2022,True
2022-12-06,S,775.0,2022,True
2022-12-09,S,-1460.0,2022,True
2022-12-09,L,-1460.0,2022,True
2022-12-12,L,2085.0,2022,True
2022-12-19,S,815.0,2022,True
2022-12-19,S,790.0,2022,True
2022-12-21,L,260.0,2022,True
2022-12-21,L,-20.0,2022,True
2023-01-03,L,560.0,2023,True
2023-01-11,L,1495.0,2023,True
2023-01-20,L,2830.0,2023,True
2023-01-20,L,2615.0,2023,True
2023-01-20,L,2555.0,2023,True
2023-02-07,L,-1550.0,2023,True
2023-02-08,S,495.0,2023,True
2023-02-14,L,10.0,2023,True
2023-02-17,S,-1550.0,2023,True
2023-03-06,L,-1130.0,2023,True
2023-03-06,S,725.0,2023,True
2023-03-10,S,-1170.0,2023,True
2023-03-13,L,1130.0,2023,True
2023-03-16,L,6200.0,2023,True
2023-03-16,L,1070.0,2023,True
2023-03-20,S,-1630.0,2023,True
2023-03-21,L,2575.0,2023,True
2023-03-22,L,-1610.0,2023,True
2023-03-22,L,-1610.0,2023,True
2023-03-24,S,-1720.0,2023,True
2023-04-12,L,-985.0,2023,True
2023-04-12,L,-985.0,2023,True
2023-04-13,L,-105.0,2023,True
2023-04-14,S,-1085.0,2023,True
2023-04-17,L,-1145.0,2023,True
2023-04-21,L,-325.0,2023,True
2023-04-24,S,-1040.0,2023,True
2023-04-25,S,-1015.0,2023,True
2023-04-25,S,-1015.0,2023,True
2023-04-26,L,-1080.0,2023,True
2023-04-26,S,150.0,2023,True
2023-04-26,S,-1080.0,2023,True
2023-05-02,S,1945.0,2023,True
2023-05-04,S,280.0,2023,True
2023-05-08,L,665.0,2023,True
2023-05-09,S,35.0,2023,True
2023-05-12,S,-930.0,2023,True
2023-05-12,S,-930.0,2023,True
2023-05-16,L,-495.0,2023,True
2023-05-26,L,2405.0,2023,True
2023-05-26,L,1410.0,2023,True
2023-05-31,S,410.0,2023,True
2023-05-31,L,-1115.0,2023,True
2023-06-01,L,3855.0,2023,True
2023-06-01,L,750.0,2023,True
2023-06-05,L,-1135.0,2023,True
2023-06-06,L,-1155.0,2023,True
2023-06-06,S,-320.0,2023,True
2023-06-07,S,2180.0,2023,True
2023-06-07,S,1275.0,2023,True
2023-06-08,L,-1290.0,2023,True
2023-06-08,S,-1290.0,2023,True
2023-06-15,L,1935.0,2023,True
2023-06-15,L,1430.0,2023,True
2023-06-15,L,440.0,2023,True
2023-06-22,L,1835.0,2023,True
2023-06-22,L,1295.0,2023,True
2023-06-26,S,2600.0,2023,True
2023-06-26,S,350.0,2023,True
2023-06-29,S,-1425.0,2023,True
2023-06-29,S,-860.0,2023,True
2023-07-19,L,-1095.0,2023,True
2023-07-19,S,610.0,2023,True
2023-07-19,S,-1095.0,2023,True
2023-07-25,L,-1220.0,2023,True
2023-07-25,L,-1220.0,2023,True
2023-08-09,S,-1220.0,2023,True
2023-08-10,S,320.0,2023,True
2023-08-21,S,-1250.0,2023,True
2023-08-31,S,-410.0,2023,True
2023-09-05,L,110.0,2023,True
2023-09-12,L,-1075.0,2023,True
2023-09-12,S,585.0,2023,True
2023-09-15,L,-990.0,2023,True
2023-09-18,L,-1085.0,2023,True
2023-09-18,L,-1085.0,2023,True
2023-09-19,L,280.0,2023,True
2023-09-20,S,-1045.0,2023,True
2023-09-22,L,-1115.0,2023,True
2023-09-22,S,-1115.0,2023,True
2023-09-25,S,-1140.0,2023,True
2023-10-04,L,-1390.0,2023,True
2023-10-05,L,-80.0,2023,True
2023-10-10,L,-620.0,2023,True
2023-10-10,L,-1590.0,2023,True
2023-10-11,L,1735.0,2023,True
2023-10-12,L,-1555.0,2023,True
2023-10-12,L,-1555.0,2023,True
2023-10-13,S,220.0,2023,True
2023-10-19,S,-1525.0,2023,True
2023-10-20,L,-1575.0,2023,True
2023-10-23,L,-1445.0,2023,True
2023-10-26,S,730.0,2023,True
2023-10-27,L,-1640.0,2023,True
2023-11-01,S,-1540.0,2023,True
2023-11-01,S,-1540.0,2023,True
2023-11-03,L,95.0,2023,True
2023-11-06,S,-450.0,2023,True
2023-11-06,S,-1415.0,2023,True
2023-11-07,L,-85.0,2023,True
2023-11-07,L,-590.0,2023,True
2023-11-08,S,-545.0,2023,True
2023-11-08,S,-520.0,2023,True
2023-11-10,S,-1085.0,2023,True
