Date,book,net
2010-06-23,WT-S,-280.0
2010-06-25,WT-L,-267.5
2010-06-30,WT-S,757.5
2010-07-01,WT-L,-280.0
2010-07-12,WT-S,-305.0
2010-07-14,WT-L,-280.0
2010-07-15,WT-S,-267.5
2010-07-21,WT-S,707.5
2010-07-23,WT-L,170.0
2010-07-27,WT-S,-30.0
2010-07-29,WT-S,-292.5
2010-08-04,WT-L,132.5
2010-08-05,WT-S,-192.5
2010-08-13,WT-L,-217.5
2010-08-18,WT-L,-217.5
2010-08-19,WT-S,220.0
2010-08-19,WT-S,-217.5
2010-08-20,WT-S,-242.5
2010-08-23,WT-S,245.0
2010-08-30,WT-S,607.5
2010-08-30,WT-S,520.0
2010-08-31,WT-S,-55.0
2010-09-08,WT-L,-42.5
2010-09-10,WT-L,107.5
2010-09-13,WT-S,-192.5
2010-09-14,WT-S,-180.0
2010-09-22,WT-S,-5.0
2010-09-23,WT-L,-192.5
2010-09-28,WT-L,132.5
2010-09-29,WT-S,-217.5
2010-09-29,WT-L,-217.5
2010-10-04,WT-S,-230.0
2010-10-05,WT-L,245.0
2010-10-06,WT-S,-30.0
2010-10-07,WT-S,-192.5
2010-10-08,WT-L,232.5
2010-10-18,WT-L,157.5
2010-10-20,WT-L,-105.0
2010-10-21,WT-L,-217.5
2010-10-21,WT-S,-217.5
2010-10-25,WT-S,207.5
2010-10-25,WT-S,57.5
2010-10-26,WT-L,95.0
2010-10-27,WT-S,-217.5
2010-10-28,WT-S,-217.5
2010-11-01,WT-L,-205.0
2010-11-03,WT-S,-205.0
2010-11-09,WT-S,357.5
2010-11-22,WT-S,-217.5
2010-11-22,WT-S,-217.5
2010-12-02,WT-L,270.0
2010-12-03,WT-S,-205.0
2010-12-15,WT-S,95.0
2011-01-04,WT-S,-117.5
2011-01-07,WT-S,-130.0
2011-01-19,WT-S,120.0
2011-01-20,WT-L,107.5
2011-01-31,WT-L,107.5
2011-02-03,WT-S,-205.0
2011-02-22,WT-L,-155.0
2011-02-22,WT-S,70.0
2011-02-24,WT-S,-192.5
2011-02-28,WT-S,-192.5
2011-03-01,WT-S,720.0
2011-03-02,WT-S,157.5
2011-03-09,WT-L,-167.5
2011-03-11,WT-L,257.5
2011-03-25,WT-L,-105.0
2011-03-29,WT-L,307.5
2011-04-21,WT-S,57.5
2011-05-02,WT-L,-155.0
2011-05-03,WT-S,-167.5
2011-05-04,WT-S,-167.5
2011-05-04,WT-S,-167.5
2011-05-04,WT-S,-167.5
2011-05-04,WT-L,20.0
2011-05-06,WT-L,-192.5
2011-05-06,WT-S,145.0
2011-05-09,WT-S,-205.0
2011-05-10,WT-L,195.0
2011-05-13,WT-S,32.5
2011-05-17,WT-S,-267.5
2011-05-19,WT-L,70.0
2011-05-20,WT-S,-255.0
2011-05-20,WT-S,-255.0
2011-05-24,WT-S,57.5
2011-05-24,WT-L,-155.0
2011-06-06,WT-S,-205.0
2011-06-13,WT-S,145.0
2011-06-20,WT-L,-17.5
2011-06-21,WT-L,-42.5
2011-06-22,WT-L,-230.0
2011-06-27,WT-L,245.0
2011-07-05,WT-L,120.0
2011-07-12,WT-L,-205.0
2011-07-15,WT-S,-217.5
2011-07-19,WT-L,157.5
2011-07-21,WT-L,232.5
2011-07-26,WT-L,-242.5
2011-08-02,WT-S,1120.0
2011-08-03,WT-L,-305.0
2011-08-15,WT-L,182.5
2011-08-16,WT-S,-455.0
2011-08-26,WT-L,507.5
2011-08-26,WT-L,57.5
2011-08-30,WT-L,-167.5
2011-09-01,WT-S,220.0
2011-09-06,WT-L,670.0
2011-09-08,WT-S,70.0
2011-09-16,WT-S,-267.5
2011-09-21,WT-S,1945.0
2011-09-26,WT-L,-417.5
2011-09-28,WT-S,357.5
2011-10-05,WT-L,495.0
2011-10-18,WT-L,1170.0
2011-10-20,WT-L,-355.0
2011-10-20,WT-L,232.5
2011-11-04,WT-S,-330.0
2011-11-04,WT-L,-330.0
2011-11-08,WT-L,232.5
2011-11-14,WT-S,120.0
2011-11-15,WT-L,-180.0
2011-11-17,WT-L,-342.5
2011-11-18,WT-S,207.5
2011-11-18,WT-S,32.5
2011-11-22,WT-S,-330.0
2011-11-23,WT-S,-317.5
2011-11-29,WT-L,-292.5
2011-12-16,WT-S,70.0
2011-12-21,WT-S,-330.0
2011-12-28,WT-S,120.0
2012-01-04,WT-L,157.5
2012-01-11,WT-L,107.5
2012-01-12,WT-S,-180.0
2012-01-18,WT-L,307.5
2012-01-31,WT-S,-217.5
2012-02-02,WT-L,70.0
2012-02-06,WT-L,57.5
2012-02-13,WT-L,170.0
2012-02-22,WT-L,-67.5
2012-03-02,WT-S,-5.0
2012-03-09,WT-L,-180.0
2012-03-12,WT-S,-180.0
2012-03-21,WT-L,-67.5
2012-03-22,WT-S,-130.0
2012-03-23,WT-L,157.5
2012-03-29,WT-S,-180.0
2012-04-05,WT-S,107.5
2012-04-24,WT-L,-242.5
2012-05-02,WT-S,-192.5
2012-05-02,WT-L,57.5
2012-05-10,WT-L,-242.5
2012-05-15,WT-L,-255.0
2012-05-21,WT-L,532.5
2012-05-22,WT-L,-292.5
2012-05-24,WT-S,-292.5
2012-05-29,WT-S,-280.0
2012-05-31,WT-L,-192.5
2012-06-08,WT-L,670.0
2012-06-13,WT-L,-317.5
2012-06-14,WT-L,395.0
2012-06-15,WT-L,445.0
2012-06-21,WT-S,657.5
2012-06-26,WT-L,195.0
2012-07-03,WT-L,157.5
2012-07-10,WT-S,520.0
2012-07-16,WT-L,-80.0
2012-07-17,WT-S,-217.5
2012-07-19,WT-S,-242.5
2012-07-25,WT-S,-242.5
2012-07-25,WT-S,-242.5
2012-07-27,WT-S,-242.5
2012-07-30,WT-S,-92.5
2012-07-30,WT-L,82.5
2012-07-31,WT-S,470.0
2012-08-10,WT-L,270.0
2012-08-16,WT-L,157.5
2012-08-22,WT-S,-155.0
2012-08-28,WT-S,-167.5
2012-08-29,WT-S,-167.5
2012-09-14,WT-L,-205.0
2012-09-17,WT-S,-17.5
2012-09-18,WT-L,70.0
2012-09-18,WT-L,45.0
2012-10-01,WT-S,-192.5
2012-10-03,WT-L,-217.5
2012-10-05,WT-L,-217.5
2012-10-10,WT-S,132.5
2012-10-11,WT-S,270.0
2012-10-15,WT-S,-205.0
2012-10-19,WT-S,-205.0
2012-10-26,WT-S,-230.0
2012-10-26,WT-S,-230.0
2012-10-31,WT-S,-230.0
2012-11-02,WT-S,757.5
2012-11-08,WT-S,407.5
2012-11-14,WT-S,670.0
2012-11-15,WT-S,-305.0
2012-11-26,WT-L,-255.0
2012-11-27,WT-S,245.0
2012-12-03,WT-S,332.5
2012-12-05,WT-L,-205.0
2012-12-07,WT-S,-55.0
2012-12-10,WT-L,120.0
2012-12-12,WT-L,-205.0
2012-12-14,WT-S,57.5
2012-12-18,WT-L,270.0
2012-12-26,WT-S,-205.0
2012-12-28,WT-S,-217.5
2013-01-08,WT-L,157.5
2013-01-10,WT-S,-255.0
2013-01-11,WT-S,-80.0
2013-01-17,WT-L,95.0
2013-01-22,WT-S,-142.5
2013-01-25,WT-L,-155.0
2013-02-01,WT-L,-67.5
2013-02-04,WT-S,57.5
2013-02-13,WT-S,-55.0
2013-02-22,WT-S,-180.0
2013-02-26,WT-S,-217.5
2013-02-28,WT-S,-267.5
2013-03-07,WT-L,-17.5
2013-03-12,WT-L,-217.5
2013-03-19,WT-S,-142.5
2013-03-20,WT-S,-167.5
2013-03-21,WT-S,120.0
2013-04-01,WT-S,20.0
2013-04-03,WT-S,332.5
2013-04-08,WT-L,607.5
2013-04-18,WT-S,232.5
2013-04-26,WT-L,7.5
2013-04-30,WT-L,107.5
2013-05-10,WT-S,-180.0
2013-05-16,WT-L,-192.5
2013-05-22,WT-S,107.5
2013-05-24,WT-S,-255.0
2013-06-03,WT-S,-305.0
2013-06-03,WT-S,-305.0
2013-06-04,WT-L,-317.5
2013-06-05,WT-L,-330.0
2013-06-06,WT-S,-355.0
2013-06-07,WT-L,82.5
2013-06-07,WT-L,145.0
2013-06-13,WT-L,695.0
2013-07-08,WT-L,-42.5
2013-07-10,WT-S,-230.0
2013-07-12,WT-L,120.0
2013-07-16,WT-L,-205.0
2013-07-19,WT-L,370.0
2013-07-25,WT-L,145.0
2013-07-26,WT-L,320.0
2013-07-30,WT-S,-192.5
2013-08-05,WT-L,-30.0
2013-08-08,WT-S,-180.0
2013-08-13,WT-S,-180.0
2013-08-13,WT-L,-30.0
2013-08-15,WT-S,-180.0
2013-08-16,WT-L,-192.5
2013-08-16,WT-S,-192.5
2013-09-04,WT-L,57.5
2013-09-12,WT-L,-242.5
2013-10-03,WT-S,-217.5
2013-10-03,WT-S,-217.5
2013-10-08,WT-L,-230.0
2013-10-15,WT-S,470.0
2013-10-24,WT-L,307.5
2013-10-24,WT-L,157.5
2013-10-25,WT-S,-230.0
2013-11-07,WT-S,170.0
2013-11-14,WT-S,-242.5
2013-11-14,WT-L,120.0
2013-11-15,WT-L,182.5
2013-11-18,WT-S,370.0
2013-11-26,WT-S,57.5
2013-12-04,WT-L,-180.0
2013-12-12,WT-S,-192.5
2013-12-13,WT-S,-205.0
2013-12-17,WT-S,-192.5
2013-12-20,WT-S,-230.0
2014-01-21,WT-L,107.5
2014-02-03,WT-S,695.0
2014-02-04,WT-S,245.0
2014-02-05,WT-S,-330.0
2014-02-07,WT-L,520.0
2014-02-24,WT-L,-267.5
2014-03-05,WT-L,-17.5
2014-03-11,WT-S,345.0
2014-03-17,WT-S,70.0
2014-03-18,WT-L,-55.0
2014-03-24,WT-S,-5.0
2014-03-24,WT-S,-292.5
2014-04-07,WT-S,532.5
2014-04-07,WT-S,220.0
2014-04-07,WT-S,-280.0
2014-04-09,WT-L,632.5
2014-04-10,WT-L,-267.5
2014-04-15,WT-S,-342.5
2014-04-16,WT-L,220.0
2014-04-28,WT-S,-255.0
2014-04-29,WT-L,-17.5
2014-05-01,WT-L,-230.0
2014-05-05,WT-L,70.0
2014-05-05,WT-L,-5.0
2014-05-06,WT-L,-230.0
2014-05-06,WT-S,-17.5
2014-05-07,WT-S,-230.0
2014-05-09,WT-L,320.0
2014-05-12,WT-L,232.5
2014-05-13,WT-S,-17.5
2014-05-19,WT-S,-242.5
2014-05-29,WT-S,-192.5
2014-05-30,WT-L,107.5
2014-06-05,WT-L,32.5
2014-06-19,WT-S,-180.0
2014-06-26,WT-L,382.5
2014-07-02,WT-S,-5.0
2014-07-07,WT-S,-55.0
2014-07-16,WT-S,-167.5
2014-07-16,WT-L,-55.0
2014-07-17,WT-S,-167.5
2014-07-28,WT-S,-192.5
2014-07-29,WT-L,-205.0
2014-07-29,WT-L,-205.0
2014-08-01,WT-S,-230.0
2014-08-01,WT-L,-230.0
2014-08-05,WT-S,82.5
2014-08-08,WT-L,520.0
2014-08-11,WT-L,-342.5
