Date,yr,traded,n5m,n1m,flat1m,t_first,t_last,close,adr,bull,bear,neut,n_ent,n_gate,n_fill
2010-06-07,2010,False,81,405,0.0,08:30,15:10,1701.0,,0,0,0,0,0,0
2010-06-08,2010,False,81,405,0.0,08:30,15:10,1712.75,,0,0,0,0,0,0
2010-06-09,2010,False,81,405,0.0,08:30,15:10,1708.75,,0,0,0,0,0,0
2010-06-10,2010,False,81,405,0.0,08:30,15:10,1737.5,,0,0,0,0,0,0
2010-06-11,2010,False,81,405,0.0,08:30,15:10,1743.0,,0,0,0,0,0,0
2010-06-14,2010,False,81,405,0.0,08:30,15:10,1741.5,,0,0,0,0,0,0
2010-06-15,2010,False,81,405,0.0,08:30,15:10,1764.75,,0,0,0,0,0,0
2010-06-16,2010,False,81,405,0.0,08:30,15:10,1765.25,,0,0,0,0,0,0
2010-06-17,2010,False,81,405,0.0,08:30,15:10,1767.25,,0,0,0,0,0,0
2010-06-18,2010,False,81,405,0.0,08:30,15:10,1765.75,,0,0,0,0,0,0
2010-06-21,2010,False,81,405,0.0,08:30,15:10,1766.0,17.525,0,0,0,0,0,0
2010-06-22,2010,True,81,405,0.0,08:30,15:10,1745.75,17.575,6,29,46,2,1,0
2010-06-23,2010,True,81,405,0.0,08:30,15:10,1742.5,17.875,0,61,20,1,1,1
2010-06-24,2010,True,81,405,0.0,08:30,15:10,1725.75,16.775,41,18,22,3,1,0
2010-06-25,2010,True,81,405,0.0,08:30,15:10,1730.25,16.9,47,15,19,2,1,1
2010-06-28,2010,True,81,405,0.0,08:30,15:10,1726.0,16.95,28,8,45,3,0,0
2010-06-29,2010,False,81,405,0.0,08:30,15:10,1690.5,16.4,0,0,0,0,0,0
2010-06-30,2010,True,81,405,0.0,08:30,15:10,1680.0,16.925,0,51,30,3,1,1
2010-07-01,2010,True,81,405,0.0,08:30,15:10,1677.5,17.775,15,12,54,4,1,1
2010-07-02,2010,True,81,405,0.0,08:30,15:10,1669.75,18.85,6,54,21,1,0,0
2010-07-06,2010,False,81,405,0.0,08:30,15:10,1679.5,17.775,0,0,0,0,0,0
2010-07-07,2010,True,81,405,0.0,08:30,15:10,1714.75,17.775,76,0,5,1,0,0
2010-07-08,2010,True,81,405,0.0,08:30,15:10,1722.5,19.725,3,47,31,2,0,0
2010-07-09,2010,True,81,405,0.0,08:30,15:10,1727.75,19.45,35,9,37,2,0,0
2010-07-12,2010,True,81,405,0.0,08:30,15:10,1731.75,18.85,12,30,39,3,2,1
2010-07-13,2010,False,81,405,0.0,08:30,15:10,1745.0,18.725,0,0,0,0,0,0
2010-07-14,2010,True,81,405,0.0,08:30,15:10,1746.5,17.35,30,35,16,4,3,1
2010-07-15,2010,True,81,405,0.0,08:30,15:10,1745.75,16.475,0,67,14,1,1,1
2010-07-16,2010,True,81,405,0.0,08:30,15:10,1718.75,16.025,1,40,40,3,2,0
2010-07-19,2010,True,81,405,0.0,08:30,15:10,1719.5,16.95,23,5,53,2,0,0
2010-07-20,2010,False,81,405,0.0,08:30,15:10,1736.0,18.05,0,0,0,0,0,0
2010-07-21,2010,True,81,405,0.0,08:30,15:10,1719.25,18.325,4,36,41,3,2,1
2010-07-22,2010,False,81,405,0.0,08:30,15:10,1744.0,17.275,0,0,0,0,0,0
2010-07-23,2010,True,81,405,0.0,08:30,15:10,1756.5,17.475,38,6,37,4,3,1
2010-07-26,2010,True,81,405,0.0,08:30,15:10,1765.0,18.15,46,2,33,3,1,0
2010-07-27,2010,True,81,405,0.0,08:30,15:10,1766.75,18.475,13,26,42,4,2,1
2010-07-28,2010,True,81,405,0.0,08:30,15:10,1758.0,18.475,0,36,45,3,1,0
2010-07-29,2010,True,81,405,0.0,08:30,15:10,1752.25,18.5,0,71,10,1,1,1
2010-07-30,2010,False,81,405,0.0,08:30,15:10,1755.75,19.0,0,0,0,0,0,0
2010-08-02,2010,False,81,405,0.0,08:30,15:10,1777.0,18.15,0,0,0,0,0,0
2010-08-03,2010,True,81,405,0.0,08:30,15:10,1773.75,18.15,35,4,42,4,2,0
2010-08-04,2010,True,81,405,0.0,08:30,15:10,1780.25,16.325,51,2,28,5,4,1
2010-08-05,2010,True,81,405,0.0,08:30,15:10,1779.25,14.85,13,1,67,2,1,1
2010-08-06,2010,False,81,405,0.0,08:30,15:10,1775.25,14.05,0,0,0,0,0,0
2010-08-09,2010,True,81,405,0.0024691358024691358,08:30,15:10,1781.25,13.975,21,0,60,2,0,0
2010-08-10,2010,False,81,405,0.0,08:30,15:10,1775.0,13.45,0,0,0,0,0,0
2010-08-11,2010,False,81,405,0.0,08:30,15:10,1740.25,13.9,0,0,0,0,0,0
2010-08-12,2010,False,81,405,0.0,08:30,15:10,1734.75,14.375,0,0,0,0,0,0
2010-08-13,2010,True,81,405,0.0,08:30,15:10,1731.25,13.375,42,20,19,3,2,1
2010-08-16,2010,True,81,405,0.0,08:30,15:10,1732.75,12.35,28,7,46,1,0,0
2010-08-17,2010,True,81,405,0.0,08:30,15:10,1744.25,12.4,33,0,48,3,1,0
2010-08-18,2010,True,81,405,0.0,08:30,15:10,1741.5,12.975,33,16,32,5,4,1
2010-08-19,2010,True,81,405,0.0,08:30,15:10,1726.5,13.475,0,58,23,3,3,2
2010-08-20,2010,True,81,405,0.0,08:30,15:10,1726.5,14.725,21,23,37,4,2,1
2010-08-23,2010,True,81,405,0.0,08:30,15:10,1721.0,14.025,0,67,14,1,1,1
2010-08-24,2010,False,81,405,0.0,08:30,15:10,1705.25,14.75,0,0,0,0,0,0
2010-08-25,2010,True,81,405,0.0,08:30,15:10,1710.75,14.55,37,7,37,1,0,0
2010-08-26,2010,True,81,405,0.0,08:30,15:10,1700.25,14.925,5,42,34,4,2,0
2010-08-27,2010,True,81,405,0.0,08:30,15:10,1719.5,15.225,28,8,45,3,0,0
2010-08-30,2010,True,81,405,0.0,08:30,15:10,1700.25,17.075,0,69,12,5,3,2
2010-08-31,2010,True,81,405,0.0,08:30,15:10,1708.0,17.525,35,1,45,3,2,1
2010-09-01,2010,True,81,405,0.0,08:30,15:10,1737.5,17.5,34,1,46,3,0,0
2010-09-02,2010,True,81,405,0.0,08:30,15:10,1745.5,18.175,63,0,18,3,2,0
2010-09-03,2010,False,81,405,0.0,08:30,15:10,1758.75,17.2,0,0,0,0,0,0
2010-09-07,2010,True,81,405,0.0,08:30,15:10,1746.75,15.95,6,21,54,2,0,0
2010-09-08,2010,True,81,405,0.0,08:30,15:10,1754.75,15.5,43,4,34,2,1,1
2010-09-09,2010,False,81,405,0.0,08:30,15:10,1758.25,14.5,0,0,0,0,0,0
2010-09-10,2010,True,81,405,0.007407407407407408,08:30,15:10,1765.0,13.875,43,4,34,4,2,1
2010-09-13,2010,True,81,405,0.0,08:30,15:10,1771.25,11.9,12,43,26,2,1,1
2010-09-14,2010,True,81,405,0.0,08:30,15:10,1770.75,10.825,33,16,32,4,3,1
2010-09-15,2010,True,81,405,0.0,08:30,15:10,1776.0,10.55,37,0,44,2,0,0
2010-09-16,2010,True,81,405,0.0,08:30,15:10,1777.25,9.65,9,49,23,2,1,0
2010-09-17,2010,True,81,405,0.0,08:30,15:10,1774.5,9.65,20,5,56,2,0,0
2010-09-20,2010,True,81,405,0.0,08:30,15:10,1791.5,9.55,54,0,27,2,1,0
2010-09-21,2010,True,81,405,0.0,08:30,15:10,1789.75,11.2,28,18,35,2,1,0
2010-09-22,2010,True,81,405,0.0,08:30,15:10,1785.0,11.6,0,69,12,1,1,1
2010-09-23,2010,True,81,405,0.0,08:30,15:10,1775.5,11.85,56,10,15,2,2,1
2010-09-24,2010,False,81,405,0.0,08:30,15:10,1798.0,12.25,0,0,0,0,0,0
2010-09-27,2010,True,81,405,0.0,08:30,15:10,1792.75,12.775,8,44,29,4,2,0
2010-09-28,2010,True,81,405,0.0,08:30,15:10,1796.75,12.775,49,6,26,2,1,1
2010-09-29,2010,True,81,405,0.0,08:30,15:10,1796.0,13.425,14,27,40,3,2,2
2010-09-30,2010,True,81,405,0.0,08:30,15:10,1790.25,13.075,16,24,41,5,2,0
2010-10-01,2010,False,81,405,0.0,08:30,15:10,1797.25,14.175,0,0,0,0,0,0
2010-10-04,2010,True,81,405,0.0,08:30,15:10,1789.5,14.4,0,64,17,4,2,1
2010-10-05,2010,True,81,405,0.0,08:30,15:10,1810.0,14.2,76,0,5,5,5,1
2010-10-06,2010,True,81,405,0.0,08:30,15:10,1811.0,14.5,7,10,64,3,1,1
2010-10-07,2010,True,81,405,0.0,08:30,15:10,1811.75,13.95,15,25,41,3,1,1
2010-10-08,2010,True,81,405,0.0,08:30,15:10,1815.5,13.8,50,0,31,4,2,1
2010-10-11,2010,True,81,405,0.0,08:30,15:10,1817.5,13.775,18,0,63,3,1,0
2010-10-12,2010,True,81,405,0.0,08:30,15:10,1819.5,13.675,43,0,38,1,0,0
2010-10-13,2010,True,81,405,0.0,08:30,15:10,1829.75,13.525,49,9,23,3,3,0
2010-10-14,2010,True,81,405,0.0,08:30,15:10,1828.25,13.8,13,40,28,2,0,0
2010-10-15,2010,True,81,405,0.0,08:30,15:10,1830.0,12.875,21,13,47,3,0,0
2010-10-18,2010,True,81,405,0.0,08:30,15:10,1833.75,13.275,36,3,42,2,2,1
2010-10-19,2010,False,81,405,0.0,08:30,15:10,1819.0,12.75,0,0,0,0,0,0
2010-10-20,2010,True,81,405,0.0,08:30,15:10,1830.0,12.9,33,11,37,5,3,1
2010-10-21,2010,True,81,405,0.0,08:30,15:10,1830.75,13.725,13,44,24,5,4,2
2010-10-22,2010,True,81,405,0.0,08:30,15:10,1836.25,14.275,34,2,45,1,0,0
2010-10-25,2010,True,81,405,0.0,08:30,15:10,1838.25,13.625,7,33,41,4,2,2
2010-10-26,2010,True,81,405,0.0,08:30,15:10,1838.25,14.075,55,6,20,4,3,1
2010-10-27,2010,True,81,405,0.0,08:30,15:10,1834.0,13.325,16,39,26,3,2,1
2010-10-28,2010,True,81,405,0.0,08:30,15:10,1834.0,13.425,18,25,38,5,2,1
2010-10-29,2010,True,81,405,0.0,08:30,15:10,1835.5,13.425,2,5,74,3,0,0
2010-11-01,2010,True,81,405,0.0,08:30,15:10,1838.0,12.5,12,51,18,3,2,1
2010-11-02,2010,True,81,405,0.0,08:30,15:10,1848.0,13.225,34,8,39,4,1,0
2010-11-03,2010,True,81,405,0.0,08:30,15:10,1852.75,12.125,3,27,51,4,1,1
2010-11-04,2010,True,81,405,0.0,08:30,15:10,1873.5,12.375,70,0,11,1,0,0
2010-11-05,2010,True,81,405,0.0,08:30,15:10,1877.25,11.7,12,51,18,1,0,0
2010-11-08,2010,True,81,405,0.0,08:30,15:10,1875.0,11.85,32,2,47,4,1,0
2010-11-09,2010,True,81,405,0.0,08:30,15:10,1865.75,11.4,4,34,43,3,1,1
2010-11-10,2010,True,81,405,0.0,08:30,15:10,1869.0,12.275,68,0,13,1,0,0
2010-11-11,2010,True,81,405,0.0,08:30,15:10,1865.5,12.525,69,0,12,1,0,0
2010-11-12,2010,True,81,405,0.0,08:30,15:10,1849.75,12.35,8,30,43,1,0,0
2010-11-15,2010,True,81,405,0.0,08:30,15:10,1850.75,13.4,41,13,27,2,1,0
2010-11-16,2010,True,81,405,0.0,08:30,15:10,1830.0,12.6,0,61,20,2,0,0
2010-11-17,2010,True,81,405,0.0,08:30,15:10,1832.75,13.775,0,21,60,1,0,0
2010-11-18,2010,False,81,405,0.0,08:30,15:10,1853.0,12.775,0,0,0,0,0,0
2010-11-19,2010,True,81,405,0.0,08:30,15:10,1853.0,12.6,73,0,8,4,4,0
2010-11-22,2010,True,81,405,0.0,08:30,15:10,1852.25,13.1,9,47,25,7,3,2
2010-11-23,2010,False,81,405,0.0,08:30,15:10,1832.75,13.975,0,0,0,0,0,0
2010-11-24,2010,True,81,405,0.0,08:30,15:10,1851.25,13.15,71,0,10,1,0,0
2010-11-26,2010,False,45,225,0.0,08:30,12:10,1838.25,12.175,0,0,0,0,0,0
2010-11-29,2010,True,81,405,0.0,08:30,15:10,1841.75,11.475,41,0,40,1,0,0
2010-11-30,2010,False,81,405,0.0,08:30,15:10,1832.0,12.15,0,0,0,0,0,0
2010-12-01,2010,False,81,405,0.0,08:30,15:10,1859.75,11.65,0,0,0,0,0,0
2010-12-02,2010,True,81,405,0.0,08:30,15:10,1878.0,11.9,45,0,36,5,3,1
2010-12-03,2010,True,81,405,0.0,08:30,15:10,1878.75,12.55,29,4,48,2,1,1
2010-12-06,2010,True,81,405,0.0,08:30,15:10,1877.5,12.225,31,1,49,3,2,0
2010-12-07,2010,False,81,405,0.0,08:30,15:10,1877.5,11.175,0,0,0,0,0,0
2010-12-08,2010,True,81,405,0.0,08:30,15:10,1883.5,11.45,1,17,63,5,0,0
2010-12-09,2010,True,81,405,0.0,08:30,15:10,1887.5,11.375,0,56,25,1,0,0
2010-12-10,2010,True,81,405,0.0049382716049382715,08:30,15:10,1896.0,11.675,64,0,17,4,3,0
2010-12-13,2010,True,81,405,0.0,08:30,15:10,1894.5,11.575,65,0,16,3,3,0
2010-12-14,2010,True,81,405,0.0,08:30,15:10,1895.25,10.475,4,30,47,1,0,0
2010-12-15,2010,True,81,405,0.0,08:30,15:10,1890.75,10.025,20,33,28,3,2,1
2010-12-16,2010,True,81,405,0.0,08:30,15:10,1896.75,10.0,64,0,17,1,0,0
2010-12-17,2010,True,81,405,0.0,08:30,15:10,1897.0,9.525,44,3,34,4,2,0
2010-12-20,2010,True,81,405,0.0,08:30,15:10,1899.5,9.25,46,21,14,3,3,0
2010-12-21,2010,True,81,405,0.0,08:30,15:10,1909.0,9.65,56,1,24,5,3,0
2010-12-22,2010,True,81,405,0.0,08:30,15:10,1913.5,8.95,62,0,19,1,0,0
2010-12-23,2010,True,81,405,0.0049382716049382715,08:30,15:10,1911.25,8.375,18,22,41,1,0,0
2010-12-27,2010,True,81,405,0.0,08:30,15:10,1912.25,8.0,73,0,8,1,0,0
2010-12-28,2010,True,81,405,0.0,08:30,15:10,1912.75,7.8,14,51,16,1,1,0
2010-12-29,2010,True,81,405,0.0,08:30,15:10,1914.25,7.575,8,19,54,2,0,0
2010-12-30,2010,True,81,405,0.0,08:30,15:10,1913.25,6.975,5,36,40,2,1,0
2010-12-31,2010,True,81,405,0.0,08:30,15:10,1916.0,6.45,37,0,44,1,0,0
2011-01-03,2011,True,81,405,0.0,08:30,15:10,1923.5,6.05,32,25,24,3,3,0
2011-01-04,2011,True,81,405,0.0,08:30,15:10,1924.0,6.375,4,56,21,5,3,1
2011-01-05,2011,True,81,405,0.0,08:30,15:10,1930.25,6.6,66,0,15,3,1,0
2011-01-06,2011,True,81,405,0.0,08:30,15:10,1928.5,7.3,29,3,49,2,0,0
2011-01-07,2011,True,81,405,0.0,08:30,15:10,1925.75,7.675,10,42,29,5,3,1
2011-01-10,2011,True,81,405,0.0,08:30,15:10,1924.0,8.8,60,0,21,4,2,0
2011-01-11,2011,True,81,405,0.0024691358024691358,08:30,15:10,1928.5,9.075,29,3,49,3,0,0
