dir,regime,with_trend,net,adr,hold,wide,mae_pts,eod_move,fill_hour,Date,yr,gap,vix_prev
L,BEAR,False,-280.0,17.52,20,5.25,19.0,-11.75,09,2010-06-21,2010,0.92,23.95
L,NEUTRAL,False,-280.0,17.57,21,5.25,19.5,-18.75,11,2010-06-22,2010,0.042,24.88
S,BEAR,True,-280.0,17.88,45,5.25,10.25,-1.5,09,2010-06-23,2010,0.086,27.05
S,BULL,False,-267.5,16.77,19,5.0,8.25,3.25,10,2010-06-24,2010,0.258,26.91
L,BEAR,False,520.0,16.9,58,5.0,0.25,10.75,10,2010-06-25,2010,0.145,29.74
L,BULL,True,-267.5,16.9,17,5.0,6.0,-1.75,13,2010-06-25,2010,0.145,29.74
S,BULL,False,-267.5,16.95,9,5.0,6.25,1.75,09,2010-06-28,2010,0.043,28.53
S,BULL,False,195.0,16.95,18,5.0,1.75,4.25,13,2010-06-28,2010,0.043,28.53
S,NEUTRAL,False,220.0,16.95,15,5.0,1.25,4.75,13,2010-06-28,2010,0.043,28.53
L,BEAR,False,-267.5,16.4,57,5.0,10.25,-5.5,09,2010-06-29,2010,0.869,29.0
L,NEUTRAL,False,-267.5,16.4,27,5.0,10.0,-5.25,12,2010-06-29,2010,0.869,29.0
S,BEAR,True,757.5,16.93,68,5.0,3.75,15.5,09,2010-06-30,2010,0.059,34.13
L,NEUTRAL,False,132.5,17.77,36,5.25,3.25,3.0,12,2010-07-01,2010,0.104,34.54
L,BULL,True,-280.0,17.77,3,5.25,6.25,0.0,13,2010-07-01,2010,0.104,34.54
L,BEAR,False,-305.0,18.85,4,5.75,9.0,-5.5,10,2010-07-02,2010,0.238,32.86
L,BULL,True,-280.0,17.77,18,5.25,21.0,-10.5,09,2010-07-06,2010,1.154,30.12
S,BULL,False,-280.0,17.77,29,5.25,22.5,-22.0,09,2010-07-07,2010,0.104,29.65
L,BEAR,False,445.0,19.73,54,6.0,3.75,9.25,10,2010-07-08,2010,0.306,26.84
S,BULL,False,-117.5,19.45,67,5.75,4.75,-2.0,09,2010-07-09,2010,0.044,25.71
S,BEAR,True,-305.0,18.85,50,5.75,6.5,-5.5,11,2010-07-12,2010,0.072,24.98
L,BULL,True,-280.0,17.35,14,5.25,9.5,-2.0,11,2010-07-14,2010,0.1,24.56
S,BEAR,True,-267.5,16.48,35,5.0,12.5,-7.25,10,2010-07-15,2010,0.014,24.89
S,NEUTRAL,False,570.0,16.02,63,4.75,1.0,11.75,09,2010-07-16,2010,0.258,25.14
L,NEUTRAL,False,70.0,16.95,50,5.0,2.0,1.75,11,2010-07-19,2010,0.116,26.25
L,BULL,True,1020.0,18.05,66,5.5,0.75,20.75,09,2010-07-20,2010,0.625,25.97
L,BEAR,False,932.5,18.05,52,5.5,1.75,19.0,10,2010-07-20,2010,0.625,25.97
L,BULL,True,407.5,18.05,15,5.5,0.75,8.5,13,2010-07-20,2010,0.625,25.97
S,BEAR,True,707.5,18.32,51,5.5,3.25,14.5,10,2010-07-21,2010,0.259,23.93
L,NEUTRAL,False,-30.0,17.27,68,5.25,3.25,-0.25,09,2010-07-22,2010,0.843,25.64
L,BULL,True,-117.5,17.27,55,5.25,5.0,-2.0,10,2010-07-22,2010,0.843,25.64
L,BULL,True,170.0,17.48,22,5.25,3.75,3.75,13,2010-07-23,2010,0.072,24.63
S,NEUTRAL,False,-67.5,18.15,32,5.5,3.25,-1.0,12,2010-07-26,2010,0.014,23.47
S,BEAR,True,-30.0,18.48,48,5.5,2.0,-0.25,11,2010-07-27,2010,0.411,22.73
L,NEUTRAL,False,-292.5,18.48,14,5.5,6.0,-2.75,13,2010-07-28,2010,0.184,23.19
S,BEAR,True,-292.5,18.5,10,5.5,11.0,-3.25,11,2010-07-29,2010,0.427,24.25
L,BULL,True,232.5,19.0,55,5.75,5.0,5.0,10,2010-07-30,2010,0.585,24.13
S,BULL,False,-55.0,18.15,24,5.5,3.5,-0.75,13,2010-08-02,2010,0.812,23.5
S,NEUTRAL,False,20.0,18.15,24,5.5,1.0,0.75,13,2010-08-03,2010,0.098,22.01
L,BULL,True,132.5,16.32,37,5.0,2.5,3.0,12,2010-08-04,2010,0.113,22.63
L,NEUTRAL,False,182.5,14.85,65,4.5,3.25,4.0,09,2010-08-05,2010,0.421,22.21
S,BEAR,True,-192.5,14.85,54,4.5,3.75,-3.5,10,2010-08-05,2010,0.421,22.21
S,BULL,False,-230.0,14.05,36,4.25,11.0,-10.75,10,2010-08-06,2010,0.646,22.1
S,NEUTRAL,False,-230.0,13.97,45,4.25,5.25,-4.25,09,2010-08-09,2010,0.225,21.74
L,BEAR,False,-230.0,13.9,8,4.25,10.25,-10.0,09,2010-08-11,2010,1.028,22.37
S,BULL,False,-230.0,14.38,10,4.25,5.0,0.5,09,2010-08-12,2010,0.776,25.39
L,BULL,True,-217.5,13.38,21,4.0,5.5,-5.25,13,2010-08-13,2010,0.115,25.73
S,BULL,False,20.0,12.35,68,3.75,2.75,0.75,09,2010-08-16,2010,0.318,26.24
L,NEUTRAL,False,32.5,12.97,64,4.0,0.25,1.0,09,2010-08-18,2010,0.057,24.33
L,BULL,True,-217.5,12.97,23,4.0,10.0,-10.0,13,2010-08-18,2010,0.057,24.33
S,BEAR,True,220.0,13.47,58,4.0,2.25,4.75,10,2010-08-19,2010,0.029,24.59
S,BEAR,True,-217.5,13.47,35,4.0,7.0,0.0,11,2010-08-19,2010,0.029,24.59
S,BEAR,True,-242.5,14.72,22,4.5,6.25,-5.75,11,2010-08-20,2010,0.043,26.44
S,BEAR,True,245.0,14.03,48,4.25,3.25,5.25,11,2010-08-23,2010,0.217,25.49
L,BEAR,False,-192.5,14.75,43,4.5,4.25,-3.5,11,2010-08-24,2010,0.683,25.66
S,BULL,False,170.0,14.75,19,4.5,3.75,3.75,13,2010-08-24,2010,0.683,25.66
S,NEUTRAL,False,-230.0,14.55,8,4.25,14.5,-12.0,09,2010-08-25,2010,0.337,27.46
S,NEUTRAL,False,420.0,14.93,51,4.5,1.0,8.75,10,2010-08-26,2010,0.205,26.7
L,NEUTRAL,False,382.5,15.22,50,4.5,1.75,8.0,11,2010-08-27,2010,0.5,27.37
S,NEUTRAL,False,-242.5,15.22,3,4.5,8.75,-8.25,12,2010-08-27,2010,0.5,27.37
S,BEAR,True,607.5,17.07,42,5.0,1.75,12.5,11,2010-08-30,2010,0.218,24.45
S,BEAR,True,520.0,17.07,20,5.0,0.75,10.75,13,2010-08-30,2010,0.218,24.45
S,BEAR,True,-55.0,17.52,25,5.25,1.25,-0.75,13,2010-08-31,2010,0.074,27.21
S,BULL,False,-217.5,17.5,56,5.25,4.5,-4.0,10,2010-09-01,2010,0.527,26.05
L,NEUTRAL,False,307.5,18.18,60,5.5,2.0,6.5,10,2010-09-02,2010,0.014,23.89
L,BULL,True,70.0,17.2,18,5.25,2.5,1.75,13,2010-09-03,2010,0.559,23.19
