session,nt,py,match,shift,gaps,status
2026-06-29,39,39,39,1,0,SHIFT+1 (identical aligned)
2026-06-30,25,25,25,0,0,IDENTICAL
2026-07-01,28,28,28,0,0,IDENTICAL
2026-07-02,37,37,37,0,0,IDENTICAL
2026-07-03,16,16,16,0,0,IDENTICAL
2026-07-06,27,43,0,0,198,GAP(198 empty bins)
2026-07-07,32,32,32,0,0,IDENTICAL
2026-07-08,30,30,30,0,0,IDENTICAL
2026-07-09,25,25,25,0,0,IDENTICAL
2026-07-10,33,33,33,0,0,IDENTICAL
2026-07-13,36,36,36,0,0,IDENTICAL
2026-07-14,36,36,36,0,0,IDENTICAL
2026-07-15,33,33,33,0,0,IDENTICAL
2026-07-16,37,37,37,0,0,IDENTICAL
2026-07-17,24,26,8,0,13,GAP(13 empty bins)
2026-07-20,43,43,43,0,0,IDENTICAL
2026-07-21,39,39,39,0,0,IDENTICAL
2026-07-22,36,36,36,0,0,IDENTICAL
2026-07-23,40,40,40,0,0,IDENTICAL
2026-07-24,36,36,36,0,0,IDENTICAL
2026-07-27,25,25,25,0,0,IDENTICAL
2026-07-28,38,38,38,0,0,IDENTICAL
