Date,eod,reg,cut
2021-07-13,357.5,182.5,True
2021-07-14,95.0,-167.5,True
2021-08-02,1132.5,-280.0,True
2021-08-02,545.0,570.0,True
2021-08-17,-530.0,-530.0,False
2021-08-20,-555.0,-117.5,True
2021-08-20,120.0,232.5,True
2021-08-25,-80.0,-55.0,True
2021-08-26,-505.0,-192.5,True
2021-08-26,307.5,307.5,False
2021-08-27,232.5,332.5,True
2021-08-27,-142.5,-42.5,True
2021-08-30,-205.0,-205.0,False
2021-08-31,195.0,-67.5,True
2021-09-08,-330.0,-267.5,True
2021-09-16,-505.0,-455.0,True
2021-09-16,7.5,7.5,False
2021-09-17,332.5,332.5,False
2021-09-27,-367.5,-492.5,True
2021-10-01,1507.5,1370.0,True
2021-10-04,-867.5,-730.0,True
2021-10-05,-867.5,-30.0,True
2021-10-18,282.5,282.5,False
2021-10-19,1007.5,545.0,True
2021-10-19,782.5,320.0,True
2021-10-19,357.5,-105.0,True
2021-10-20,-42.5,-405.0,True
2021-10-22,357.5,-192.5,True
2021-10-22,-617.5,-292.5,True
2021-10-27,-505.0,-255.0,True
2021-10-27,-505.0,-192.5,True
2021-10-28,-480.0,-480.0,False
2021-10-29,-467.5,-392.5,True
2021-11-04,-505.0,-167.5,True
2021-11-04,-505.0,-480.0,True
2021-11-05,332.5,332.5,False
2021-11-09,-467.5,-217.5,True
2021-11-15,7.5,-117.5,True
2021-11-16,-205.0,282.5,True
2021-11-16,-492.5,70.0,True
2021-11-17,-505.0,-317.5,True
2021-11-30,-555.0,332.5,True
2021-12-06,-642.5,-642.5,False
2021-12-06,-642.5,-192.5,True
2021-12-06,-642.5,-167.5,True
2021-12-13,357.5,-117.5,True
2021-12-15,-755.0,-292.5,True
2021-12-15,4245.0,-80.0,True
2021-12-16,2270.0,1332.5,True
2021-12-16,1482.5,545.0,True
2021-12-27,1045.0,482.5,True
2021-12-29,-17.5,-205.0,True
2021-12-31,145.0,-380.0,True
2022-01-04,882.5,-180.0,True
2022-01-04,-642.5,-467.5,True
2022-01-05,3457.5,-117.5,True
2022-01-20,5757.5,670.0,True
2022-01-20,4907.5,-180.0,True
2022-01-21,2445.0,1182.5,True
2022-02-01,-1830.0,-1067.5,True
2022-02-02,-905.0,470.0,True
2022-02-07,-80.0,-55.0,True
2022-02-16,-1042.5,-305.0,True
2022-02-23,-1067.5,-642.5,True
2022-03-01,1482.5,1245.0,True
2022-03-01,1007.5,770.0,True
2022-03-02,70.0,457.5,True
2022-03-02,-805.0,-342.5,True
2022-03-07,2145.0,2145.0,False
2022-03-14,-1367.5,-342.5,True
2022-03-14,-1367.5,-355.0,True
2022-03-23,-1255.0,-330.0,True
2022-03-30,207.5,157.5,True
2022-04-07,-855.0,-67.5,True
2022-04-07,-855.0,-92.5,True
2022-04-07,-855.0,-280.0,True
2022-04-13,1557.5,1032.5,True
2022-04-13,907.5,382.5,True
2022-04-13,295.0,-230.0,True
2022-04-14,1832.5,32.5,True
2022-04-27,-1317.5,-905.0,True
2022-04-29,3407.5,-480.0,True
2022-05-04,-1567.5,-392.5,True
2022-05-16,457.5,1495.0,True
2022-05-16,7.5,1045.0,True
2022-05-19,-1542.5,-1067.5,True
2022-05-25,1095.0,-242.5,True
2022-05-26,-717.5,-142.5,True
2022-06-02,3732.5,2195.0,True
2022-06-02,2745.0,1207.5,True
2022-06-09,3632.5,3632.5,False
2022-06-14,907.5,245.0,True
2022-06-28,1832.5,1232.5,True
2022-06-28,1170.0,570.0,True
2022-07-21,107.5,107.5,False
2022-07-22,520.0,20.0,True
2022-07-28,1432.5,1432.5,False
2022-07-28,495.0,495.0,False
2022-08-02,-992.5,1282.5,True
2022-08-04,-980.0,-317.5,True
2022-08-24,-342.5,-142.5,True
2022-08-30,-5.0,-5.0,False
2022-08-30,-842.5,-842.5,False
2022-09-07,1695.0,1095.0,True
2022-09-08,-880.0,-430.0,True
2022-09-14,-555.0,532.5,True
