Date,dir,count,book,regime,fire_bar,sig_bar,fill,stop,R,net,Rpts
2021-06-18,S,1,T1,NEUTRAL,3,2,4967.0,4983.5,1.0,820.0,16.5
2021-06-18,S,1,T2,NEUTRAL,3,2,4967.0,4983.5,-1.0,-830.0,16.5
2021-06-18,S,1,T1,NEUTRAL,7,6,4962.75,4972.5,-1.0,-492.5,9.75
2021-06-18,S,1,T2,NEUTRAL,7,6,4962.75,4972.5,-1.0,-492.5,9.75
2021-06-18,S,1,T1,BEAR,11,10,4968.75,4973.0,-1.0,-217.5,4.25
2021-06-18,S,1,T2,BEAR,11,10,4968.75,4973.0,-1.0,-217.5,4.25
2021-06-18,L,1,T1,NEUTRAL,15,14,4973.5,4967.5,-1.0,-305.0,6.0
2021-06-18,L,1,T2,NEUTRAL,15,14,4973.5,4967.5,-1.0,-305.0,6.0
2021-06-18,L,2,T1,BEAR,19,18,4972.25,4964.75,-1.0,-380.0,7.5
2021-06-18,L,2,T2,BEAR,19,18,4972.25,4964.75,-1.0,-380.0,7.5
2021-06-18,S,1,T1,BEAR,26,25,4966.25,4974.0,1.0,382.5,7.75
2021-06-18,S,1,T2,BEAR,26,25,4966.25,4974.0,2.0,770.0,7.75
2021-06-18,S,1,T1,BEAR,27,26,4950.75,4974.5,-1.0,-1192.5,23.75
2021-06-18,S,1,T2,BEAR,27,26,4950.75,4974.5,-1.0,-1192.5,23.75
2021-06-21,S,1,T1,NEUTRAL,7,6,5001.5,5008.0,-1.0,-330.0,6.5
2021-06-21,S,1,T2,NEUTRAL,7,6,5001.5,5008.0,-1.0,-330.0,6.5
2021-06-21,S,1,T1,BULL,11,10,5005.25,5009.5,-1.0,-217.5,4.25
2021-06-21,S,1,T2,BULL,11,10,5005.25,5009.5,-1.0,-217.5,4.25
2021-06-21,S,2,T1,BULL,14,13,5003.5,5006.75,-1.0,-167.5,3.25
2021-06-21,S,2,T2,BULL,14,13,5003.5,5006.75,-1.0,-167.5,3.25
2021-06-22,S,1,T1,NEUTRAL,3,2,5005.25,5016.25,-1.0,-555.0,11.0
2021-06-22,S,1,T2,NEUTRAL,3,2,5005.25,5016.25,-1.0,-555.0,11.0
2021-06-22,S,1,T1,NEUTRAL,9,8,5027.25,5031.5,-1.0,-217.5,4.25
2021-06-22,S,1,T2,NEUTRAL,9,8,5027.25,5031.5,-1.0,-217.5,4.25
2021-06-22,S,2,T1,NEUTRAL,15,14,5026.75,5029.75,-1.0,-155.0,3.0
2021-06-22,S,2,T2,NEUTRAL,15,14,5026.75,5029.75,-1.0,-155.0,3.0
2021-06-23,L,1,T1,NEUTRAL,3,2,5043.0,5035.75,-1.0,-367.5,7.25
2021-06-23,L,1,T2,NEUTRAL,3,2,5043.0,5035.75,-1.0,-367.5,7.25
2021-06-23,L,1,T1,NEUTRAL,7,6,5041.25,5037.0,-1.0,-217.5,4.25
2021-06-23,L,1,T2,NEUTRAL,7,6,5041.25,5037.0,-1.0,-217.5,4.25
2021-06-23,L,2,T1,BEAR,10,9,5038.25,5033.5,-1.0,-242.5,4.75
2021-06-23,L,2,T2,BEAR,10,9,5038.25,5033.5,-1.0,-242.5,4.75
2021-06-24,S,1,T1,NEUTRAL,3,2,5051.75,5057.5,-1.0,-292.5,5.75
2021-06-24,S,1,T2,NEUTRAL,3,2,5051.75,5057.5,-1.0,-292.5,5.75
2021-06-24,S,1,T1,NEUTRAL,6,5,5057.25,5060.25,1.0,145.0,3.0
2021-06-24,S,1,T2,NEUTRAL,6,5,5057.25,5060.25,2.0,295.0,3.0
2021-06-24,S,2,T1,NEUTRAL,8,7,5054.0,5057.0,1.0,145.0,3.0
2021-06-24,S,2,T2,NEUTRAL,8,7,5054.0,5057.0,-1.0,-155.0,3.0
2021-06-24,S,1,T1,NEUTRAL,13,12,5053.5,5056.75,-1.0,-167.5,3.25
2021-06-24,S,1,T2,NEUTRAL,13,12,5053.5,5056.75,-1.0,-167.5,3.25
2021-06-24,S,2,T1,BULL,16,15,5056.0,5060.25,-1.0,-217.5,4.25
2021-06-24,S,2,T2,BULL,16,15,5056.0,5060.25,-1.0,-217.5,4.25
2021-06-25,L,1,T1,NEUTRAL,3,2,5065.5,5060.25,1.0,257.5,5.25
2021-06-25,L,1,T2,NEUTRAL,3,2,5065.5,5060.25,2.0,520.0,5.25
2021-06-25,L,1,T1,NEUTRAL,7,6,5066.75,5063.25,1.0,170.0,3.5
2021-06-25,L,1,T2,NEUTRAL,7,6,5066.75,5063.25,2.0,345.0,3.5
2021-06-25,L,2,T1,NEUTRAL,8,7,5067.25,5063.0,1.0,207.5,4.25
2021-06-25,L,2,T2,NEUTRAL,8,7,5067.25,5063.0,2.0,420.0,4.25
2021-06-25,L,1,T1,NEUTRAL,26,25,5073.25,5069.25,-1.0,-205.0,4.0
2021-06-25,L,1,T2,NEUTRAL,26,25,5073.25,5069.25,-1.0,-205.0,4.0
2021-06-28,L,1,T1,NEUTRAL,3,2,5072.75,5065.0,-1.0,-392.5,7.75
2021-06-28,L,1,T2,NEUTRAL,3,2,5072.75,5065.0,-1.0,-392.5,7.75
2021-06-28,L,1,T1,NEUTRAL,6,5,5073.0,5068.75,-1.0,-217.5,4.25
2021-06-28,L,1,T2,NEUTRAL,6,5,5073.0,5068.75,-1.0,-217.5,4.25
2021-06-28,L,2,T1,NEUTRAL,10,9,5070.0,5066.25,-1.0,-192.5,3.75
2021-06-28,L,2,T2,NEUTRAL,10,9,5070.0,5066.25,-1.0,-192.5,3.75
2021-06-29,S,1,T1,NEUTRAL,3,2,5084.75,5088.75,-1.0,-205.0,4.0
2021-06-29,S,1,T2,NEUTRAL,3,2,5084.75,5088.75,-1.0,-205.0,4.0
2021-06-29,S,1,T1,NEUTRAL,6,5,5086.0,5090.75,1.0,232.5,4.75
2021-06-29,S,1,T2,NEUTRAL,6,5,5086.0,5090.75,2.0,470.0,4.75
2021-06-29,S,2,T1,NEUTRAL,9,8,5084.75,5087.5,1.0,132.5,2.75
2021-06-29,S,2,T2,NEUTRAL,9,8,5084.75,5087.5,2.0,270.0,2.75
2021-06-29,S,1,T1,BEAR,16,15,5083.75,5085.75,1.0,95.0,2.0
2021-06-29,S,1,T2,BEAR,16,15,5083.75,5085.75,2.0,195.0,2.0
2021-06-29,L,1,T1,NEUTRAL,23,22,5081.0,5076.25,1.0,232.5,4.75
2021-06-29,L,1,T2,NEUTRAL,23,22,5081.0,5076.25,-1.0,-242.5,4.75
2021-06-29,L,2,T1,NEUTRAL,26,25,5082.75,5079.75,1.0,145.0,3.0
2021-06-29,L,2,T2,NEUTRAL,26,25,5082.75,5079.75,-1.0,-155.0,3.0
2021-06-30,L,1,T1,NEUTRAL,4,3,5084.25,5079.75,1.0,220.0,4.5
2021-06-30,L,1,T2,NEUTRAL,4,3,5084.25,5079.75,2.0,445.0,4.5
2021-06-30,L,1,T1,NEUTRAL,9,8,5085.75,5082.5,-1.0,-167.5,3.25
